Year,Continent,Value,source
2023,América do Norte e Centro,6353,annotated
2022,América do Norte e Centro,4435,annotated
2023,Outros,34,annotated
2022,Outros,44,annotated
2023,América do Sul,151686,annotated
2022,América do Sul,51439,annotated
2023,União Europeia,37965,annotated
2022,União Europeia,30053,annotated
2023,Europa (outros),16163,annotated
2022,Europa (outros),7563,annotated
2023,África,73301,annotated
2022,África,23620,annotated
2023,Ásia,43142,annotated
2022,Ásia,25690,annotated
2023,Oceânia,334,annotated
2022,Oceânia,237,annotated
