Age Group,Masculino,Feminino,source
>= 75,13352,12319,annotated
70 - 74,12584,11589,annotated
65 - 69,16315,16431,annotated
60 - 64,18256,20186,annotated
55 - 59,21836,24525,annotated
50 - 54,28788,29822,annotated
45 - 49,40737,38899,annotated
40 - 44,58604,51342,annotated
35 - 39,75268,60073,annotated
30 - 34,84221,64309,annotated
25 - 29,77571,60826,annotated
20 - 24,43970,41571,annotated
15 - 19,23393,22206,annotated
10 - 14,19398,18041,annotated
5 - 9,14775,13792,annotated
0 - 4,4897,4710,annotated
