DISTRITO,CONCELHO,TOTAL
Aveiro,Águeda,4937
Aveiro,Albergaria-a-Velha,1982
Aveiro,Anadia,2395
Aveiro,Arouca,521
Aveiro,Aveiro,13968
Aveiro,Castelo de Paiva,434
Aveiro,Espinho,1813
Aveiro,Estarreja,1762
Aveiro,Ílhavo,4062
Aveiro,Mealhada,1049
Aveiro,Murtosa,485
Aveiro,Oliveira de Azeméis,3316
Aveiro,Oliveira do Bairro,2669
Aveiro,Ovar,2827
Aveiro,Santa Maria da Feira,4676
Aveiro,São João da Madeira,2568
Aveiro,Sever do Vouga,927
Aveiro,Vagos,2256
Aveiro,Vale de Cambra,1263
Beja,Aljustrel,623
Beja,Almodôvar,649
Beja,Alvito,137
Beja,Barrancos,32
Beja,Beja,6846
Beja,Castro Verde,434
Beja,Cuba,428
Beja,Ferreira do Alentejo,2365
Beja,Mértola,316
Beja,Moura,455
Beja,Odemira,23269
Beja,Ourique,596
Beja,Serpa,1325
Beja,Vidigueira,403
Braga,Amares,1081
Braga,Barcelos,6285
Braga,Braga,28538
Braga,Cabeceiras de Basto,437
Braga,Celorico de Basto,311
Braga,Esposende,2959
Braga,Fafe,1608
Braga,Guimarães,8548
Braga,Póvoa de Lanhoso,1092
Braga,Terras de Bouro,189
Braga,Vieira do Minho,331
Braga,Vila Nova de Famalicão,8553
Braga,Vila Verde,2458
Braga,Vizela,841
Bragança,Alfandega da Fé,207
Bragança,Bragança,5670
Bragança,Carrazeda de Ansiães,246
Bragança,Freixo Espada à Cinta,164
Bragança,Macedo de Cavaleiros,599
Bragança,Miranda do Douro,284
Bragança,Mirandela,1170
Bragança,Mogadouro,257
Bragança,Torre de Moncorvo,154
Bragança,Vila Flor,304
Bragança,Vimioso,96
Bragança,Vinhais,87
Castelo Branco,Belmonte,254
Castelo Branco,Castelo Branco,5832
Castelo Branco,Covilhã,5324
Castelo Branco,Fundão,2744
Castelo Branco,Idanha-a-Nova,1087
Castelo Branco,Oleiros,308
Castelo Branco,Penamacor,491
Castelo Branco,Proença-a-Nova,435
Castelo Branco,Sertã,1276
Castelo Branco,Vila de Rei,222
Castelo Branco,Vila Velha de Rodão,392
Coimbra,Arganil,1190
Coimbra,Cantanhede,1944
Coimbra,Coimbra,20765
Coimbra,Condeixa-a-Nova,864
Coimbra,Figueira da Foz,7880
Coimbra,Góis,363
Coimbra,Lousã,1234
Coimbra,Mira,997
Coimbra,Miranda do Corvo,698
Coimbra,Montemor-o-Velho,968
Coimbra,Oliveira do Hospital,1558
Coimbra,Pampilhosa da Serra,118
Coimbra,Penacova,461
Coimbra,Penela,706
Coimbra,Soure,800
Coimbra,Tábua,1021
Coimbra,Vila Nova de Poiares,750
Évora,Alandroal,207
Évora,Arraiolos,255
Évora,Borba,174
Évora,Estremoz,664
Évora,Évora,5621
Évora,Montemor-o-Novo,1330
Évora,Mora,124
Évora,Mourão,149
Évora,Portel,221
Évora,Redondo,260
Évora,Reguengos de Monsaraz,710
Évora,Vendas Novas,1540
Évora,Viana do Alentejo,208
Évora,Vila Viçosa,291
Faro,Albufeira,26906
Faro,Alcoutim,341
Faro,Aljezur,3199
Faro,Castro Marim,1510
Faro,Faro,17986
Faro,Lagoa (Algarve),7552
Faro,Lagos,16234
Faro,Loulé,29578
Faro,Monchique,1149
Faro,Olhão,7641
Faro,Portimão,22728
Faro,São Brás de Alportel,2258
Faro,Silves,11701
Faro,Tavira,10671
Faro,Vila do Bispo,3092
Faro,Vila Real de Santo António,4775
Guarda,Aguiar da Beira,122
Guarda,Almeida,265
Guarda,Celorico da Beira,302
Guarda,Figueira de Castelo Rodrigo,85
Guarda,Fornos de Algodres,152
Guarda,Gouveia,469
Guarda,Guarda,2559
Guarda,Manteigas,151
Guarda,Meda,165
Guarda,Pinhel,266
Guarda,Sabugal,316
Guarda,Seia,1074
Guarda,Trancoso,304
Guarda,Vila Nova de Foz Coa,391
Leiria,Alcobaça,7384
Leiria,Alvaiázere,727
Leiria,Ansião,899
Leiria,Batalha,1565
Leiria,Bombarral,1898
Leiria,Caldas da Rainha,9997
Leiria,Castanheira de Pêra,216
Leiria,Figueiró dos Vinhos,439
Leiria,Leiria,18805
Leiria,Marinha Grande,7366
Leiria,Nazaré,2862
Leiria,Óbidos,2097
Leiria,Pedrógão Grande,876
Leiria,Peniche,3839
Leiria,Pombal,5165
Leiria,Porto de Mós,2317
Lisboa,Alenquer,7444
Lisboa,Amadora,55573
Lisboa,Arruda dos Vinhos,1394
Lisboa,Azambuja,2729
Lisboa,Cadaval,986
Lisboa,Cascais,56185
Lisboa,Lisboa,202430
Lisboa,Loures,51834
Lisboa,Lourinhã,3819
Lisboa,Mafra,12643
Lisboa,Odivelas,51032
Lisboa,Oeiras,27649
Lisboa,Sintra,96587
Lisboa,Sobral de Monte Agraço,1128
Lisboa,Torres Vedras,13784
Lisboa,Vila Franca de Xira,20962
Portalegre,Alter do Chão,175
Portalegre,Arronches,93
Portalegre,Avis,109
Portalegre,Campo Maior,285
Portalegre,Castelo de Vide,200
Portalegre,Crato,147
Portalegre,Elvas,1402
Portalegre,Fronteira,121
Portalegre,Gavião,35
Portalegre,Marvão,281
Portalegre,Monforte,88
Portalegre,Nisa,200
Portalegre,Ponte de Sor,865
Portalegre,Portalegre,1927
Portalegre,Sousel,242
Porto,Amarante,1486
Porto,Baião,377
Porto,Felgueiras,1980
Porto,Gondomar,9334
Porto,Lousada,1684
Porto,Maia,9530
Porto,Marco de Canaveses,1942
Porto,Matosinhos,15630
Porto,Paços de Ferreira,1679
Porto,Paredes,3331
Porto,Penafiel,2281
Porto,Porto,58161
Porto,Póvoa de Varzim,7166
Porto,Santo Tirso,2125
Porto,Trofa,3286
Porto,Valongo,4777
Porto,Vila do Conde,5947
Porto,Vila Nova de Gaia,27513
Santarém,Abrantes,2197
Santarém,Alcanena,1180
Santarém,Almeirim,2033
Santarém,Alpiarça,694
Santarém,Benavente,4598
Santarém,Cartaxo,2208
Santarém,Chamusca,360
Santarém,Constância,144
Santarém,Coruche,941
Santarém,Entroncamento,4768
Santarém,Ferreira do Zêzere,745
Santarém,Golegã,367
Santarém,Mação,351
Santarém,Ourém,6533
Santarém,Rio Maior,4891
Santarém,Salvaterra de Magos,1235
Santarém,Santarém,11836
Santarém,Sardoal,197
Santarém,Tomar,2707
Santarém,Torres Novas,2060
Santarém,Vila Nova da Barquinha,284
Setúbal,Alcácer do Sal,1072
Setúbal,Alcochete,2299
Setúbal,Almada,38237
Setúbal,Barreiro,16908
Setúbal,Grândola,2269
Setúbal,Moita,13251
Setúbal,Montijo,15689
Setúbal,Palmela,8425
Setúbal,Santiago do Cacém,3189
Setúbal,Seixal,34959
Setúbal,Sesimbra,6559
Setúbal,Setúbal,22912
Setúbal,Sines,3172
Viana do Castelo,Arcos de Valdevez,912
Viana do Castelo,Caminha,1606
Viana do Castelo,Melgaço,385
Viana do Castelo,Monção,1947
Viana do Castelo,Paredes de Coura,470
Viana do Castelo,Ponte da Barca,369
Viana do Castelo,Ponte de Lima,1917
Viana do Castelo,Valença,2886
Viana do Castelo,Viana do Castelo,8088
Viana do Castelo,Vila Nova de Cerveira,1610
Vila Real,Alijó,206
Vila Real,Boticas,125
Vila Real,Chaves,1776
Vila Real,Mesão Frio,48
Vila Real,Mondim de Basto,125
Vila Real,Montalegre,208
Vila Real,Murça,113
Vila Real,Peso da Régua,283
Vila Real,Ribeira de Pena,229
Vila Real,Sabrosa,107
Vila Real,Santa Marta de Penaguião,89
Vila Real,Valpaços,265
Vila Real,Vila Pouca de Aguiar,403
Vila Real,Vila Real,3283
Viseu,Armamar,336
Viseu,Carregal do Sal,666
Viseu,Castro Daire,409
Viseu,Cinfães,712
Viseu,Lamego,900
Viseu,Mangualde,1169
Viseu,Moimenta da Beira,498
Viseu,Mortágua,702
Viseu,Nelas,951
Viseu,Oliveira de Frades,1117
Viseu,Penalva do Castelo,201
Viseu,Penedono,99
Viseu,Resende,113
Viseu,Santa Comba Dão,832
