Nacionalidade,Pop_Residente_Total,Pop_Residente_Masculino,Pop_Residente_Feminino,Concessao_Total,Concessao_Masculino,Concessao_Feminino
Afeganistão,1231,728,503,219,119,100
África do Sul,4092,2076,2016,752,379,373
Albânia,147,85,62,15,7,8
Alemanha,24868,12896,11972,3691,1846,1845
Andorra,24,14,10,8,4,4
Angola,92348,43853,48495,33826,17106,16720
Anguilla,1,-,1,-,-,-
Antígua e Barbuda,28,17,11,9,6,3
Apátrida,12,7,5,-,-,-
Arábia Saudita,211,122,89,14,9,5
Argélia,13829,12477,1352,2036,1811,225
Argentina,7768,4255,3513,971,518,453
Arménia,287,131,156,102,55,47
Austrália,1161,646,515,252,134,118
Áustria,1979,964,1015,322,148,174
Azerbaijão,157,93,64,26,13,13
Bahamas,5,4,1,1,1,-
Bangladesh,55199,48128,7071,10848,9240,1608
Barbados,6,5,1,3,2,1
Barém,30,20,10,4,2,2
Bélgica,7286,4089,3197,981,550,431
Belize,8,4,4,1,1,-
Benim,64,52,12,16,13,3
Bermudas,8,3,5,1,-,1
Bielorrússia,2149,972,1177,501,237,264
Bolívia,238,98,140,48,24,24
Bósnia Herzegovina,72,29,43,7,3,4
Botswana,25,10,15,9,5,4
Brasil,484596,237583,247013,38713,19698,19015
Brunei,7,3,4,-,-,-
Bulgária,3950,1880,2070,173,84,89
Burkina Faso,51,40,11,6,6,-
Burundi,13,7,6,-,-,-
Butão,22,7,15,1,-,1
Cabo Verde,65507,32204,33303,15012,7605,7407
Camarões,719,503,216,94,66,28
Camboja,101,47,54,14,6,8
Canadá,2876,1508,1368,632,325,307
Cazaquistão,979,483,496,116,53,63
Chade,8,2,6,5,-,5
Checoslováquia,1,-,1,1,-,1
Chile,1708,846,862,411,199,212
China,30734,15275,15459,1991,913,1078
Chipre,245,136,109,45,23,22
Colômbia,11979,7209,4770,1751,1064,687
Costa do Marfim,357,254,103,32,18,14
Costa Rica,221,124,97,47,27,20
Croácia,598,254,344,126,62,64
Cuba,2638,1373,1265,437,228,209
Dinamarca,1946,1171,775,260,161,99
Dominica,57,44,13,20,13,7
Egipto,2738,2218,520,537,421,116
El Salvador,272,152,120,32,15,17
Emiratos Árabes Unidos,41,22,19,3,-,3
Equador,1584,832,752,374,205,169
Eritreia,126,96,30,7,3,4
Eslovénia,365,157,208,67,30,37
Espanha,22130,11457,10673,3304,1684,1620
Estados Unidos da América,19258,9647,9611,4941,2492,2449
Estónia,507,201,306,83,35,48
Etiópia,111,59,52,17,12,5
Filipinas,2193,592,1601,362,138,224
Finlândia,1424,667,757,198,92,106
França,29009,15350,13659,3650,1903,1747
Gabão,41,22,19,7,5,2
Gâmbia,1799,1684,115,326,311,15
Gana,974,704,270,80,63,17
Geórgia,729,436,293,89,54,35
Grã-Bretanha (British Subject),80,39,41,10,7,3
Granada,15,9,6,6,3,3
Grécia,1240,727,513,201,84,117
Guatemala,216,115,101,27,13,14
Guiana,15,8,7,1,-,1
Guiné Bissau,47252,28432,18820,11639,7348,4291
Guiné Conacri,1764,1337,427,200,160,40
Guiné Equatorial,58,24,34,3,1,2
Haiti,34,24,10,6,2,4
Honduras,140,67,73,21,9,12
Hong-Kong,316,146,170,71,32,39
Hungria,1692,715,977,326,139,187
Iémen,78,53,25,21,12,9
Ilhas Fiji,5,3,2,2,1,1
Ilhas Marshall,1,1,-,-,-,-
Ilhas Maurícias,74,39,35,7,4,3
Ilhas Salomão,1,1,-,-,-,-
Índia,98616,82907,15709,11221,8302,2919
Indonésia,1238,997,241,200,160,40
Irão,2934,1578,1356,433,203,230
Iraque,786,445,341,44,32,12
Irlanda,6081,3562,2519,924,527,397
Islândia,241,137,104,46,27,19
Israel,1628,888,740,577,318,259
Itália,40021,22592,17429,6421,3584,2837
Jamaica,33,14,19,5,3,2
Japão,760,309,451,113,50,63
Jibuti,8,6,2,-,-,-
Jordânia,701,420,281,91,60,31
Jugoslávia,1,-,1,-,-,-
Kosovo,45,20,25,9,1,8
Kuwait,89,50,39,5,5,-
Laos,8,1,7,4,1,3
Lesoto,4,1,3,-,-,-
Letónia,1031,422,609,186,93,93
Líbano,1449,852,597,329,176,153
Libéria,56,38,18,8,6,2
Líbia,194,125,69,25,16,9
Liechtenstein,11,5,6,-,-,-
Lituânia,1274,457,817,214,98,116
Luxemburgo,830,460,370,154,95,59
Macau,11,3,8,3,1,2
Macedónia,99,29,70,16,1,15
Madagáscar,41,16,25,7,1,6
Malásia,203,74,129,38,13,25
Malawi,37,14,23,2,1,1
Maldivas,9,1,8,1,1,-
Mali,140,125,15,23,18,5
Malta,208,115,93,32,16,16
Marrocos,12460,10087,2373,2347,1927,420
Mauritânia,62,58,4,10,10,-
México,1492,680,812,239,113,126
Moçambique,13704,6844,6860,4673,2466,2207
Moldávia,5955,3137,2818,288,171,117
Mongólia,53,13,40,11,4,7
Montenegro,33,18,15,6,4,2
Myanmar,30,10,20,8,2,6
Namíbia,80,32,48,11,7,4
Nauru,1,1,-,-,-,-
Nepal,58086,37704,20382,6091,3563,2528
Nicarágua,158,77,81,22,6,16
Níger,26,22,4,8,6,2
Nigéria,5269,3766,1503,768,545,223
Noruega,1356,800,556,243,139,104
Nova Zelândia,270,148,122,67,32,35
Oman,15,6,9,8,3,5
Países Baixos,15039,8055,6984,2352,1262,1090
Palau,1,1,0,-,-,-
Palestina,123,78,45,24,13,11
Panamá,160,73,87,29,15,14
Papuásia Nova Guiné,2,1,1,-,-,-
Paquistão,41508,35943,5565,7183,5949,1234
Paraguai,495,237,258,57,37,20
Peru,3336,2418,918,517,410,107
Polónia,5679,2190,3489,1000,400,600
Quatar,13,9,4,-,-,-
Quénia,259,114,145,53,26,27
Quirguistão,76,39,37,24,14,10
Reino Unido,48238,26734,21504,2894,1640,1254
Rep. Dem. Congo,449,254,195,42,27,15
República Centro Africana,3,1,2,-,-,-
República Checa,1014,418,596,232,94,138
República da Coreia,493,213,280,125,54,71
República do Congo,175,95,80,23,17,6
República do Sudão,231,132,99,26,15,11
República Dominicana,280,125,155,51,28,23
República Eslovaca,701,282,419,142,69,73
Roménia,18595,9460,9135,1005,544,461
Ruanda,62,29,33,10,6,4
Rússia,18509,8653,9856,5579,2600,2979
Samoa,2,1,1,-,-,-
Santa Lúcia,6,4,2,1,1,-
São Cristóvão e Nevis,85,54,31,14,10,4
São Tomé Príncipe,40112,19785,20327,11858,5747,6111
São Vicente e Grenadinas,2,2,-,1,1,-
Senegal,5256,4605,651,721,668,53
Serra Leoa,237,189,48,38,30,8
Sérvia,425,196,229,65,35,30
Seychelles,10,3,7,2,1,1
Singapura,197,86,111,38,23,15
Síria,1362,741,621,71,42,29
Somália,94,71,23,8,5,3
Sri Lanka,737,551,186,192,131,61
