Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
PT;PT;Portugal;5 241 773;99 530 408;87 136 949;18 988;4 803;7 377;8 350;8 850;10 406;12 499;15 525;19 736;22 594;26 100;38 884;4 764;7 328;8 311;8 820;10 034;11 934;14 634;18 345;20 772;23 570;32 986;41,3;3,2;6,9;;;;;;;;;;;
1;NUTS 1; Continente;5 011 615;95 349 679;83 351 802;19 026;4 824;7 389;8 358;8 856;10 424;12 525;15 551;19 755;22 620;26 137;38 923;4 785;7 339;8 317;8 820;10 041;11 950;14 646;18 343;20 774;23 578;32 966;41,3;3,2;6,9;;;;;;;;;;;
11;NUTS 2;  Norte;1 782 528;30 986 492;27 546 585;17 383;4 655;7 163;8 071;8 547;9 814;11 651;14 277;17 879;20 426;23 604;34 973;4 603;7 115;8 036;8 521;9 523;11 208;13 626;17 006;19 111;21 742;30 257;40,5;3,1;6,6;;;;;;;;;;;
111;NUTS 3;   Alto Minho;116 199;1 828 650;1 657 940;15 737;4 282;6 605;7 652;8 400;9 525;11 061;13 277;16 740;18 898;21 751;31 324;4 241;6 581;7 599;8 400;9 229;10 652;12 695;15 858;17 872;20 295;27 783;39,2;3,1;6,6;;;;;;;;;;;
1601;Município;Arcos de Valdevez;10 333;137 948;126 987;13 350;3 530;5 483;6 367;7 292;8 617;9 805;11 377;13 984;15 842;18 018;26 351;3 453;5 475;6 353;7 240;8 593;9 492;10 949;13 424;15 005;17 192;24 212;39,0;3,1;7,0;;;;;;;;;;;
1602;Município;Caminha;8 333;137 034;121 849;16 445;3 854;6 225;7 251;8 252;9 401;11 100;13 440;16 991;19 308;22 385;33 262;3 802;6 180;7 207;8 200;9 151;10 671;12 766;16 064;18 051;20 527;28 839;41,5;3,3;7,6;;;;;;;;;;;
1603;Município;Melgaço;3 790;51 759;47 421;13 657;3 934;5 914;6 954;7 880;8 891;10 152;12 000;14 644;16 570;18 779;26 945;3 850;5 796;6 881;7 832;8 878;9 784;11 501;14 036;15 437;17 458;24 072;37,3;3,0;6,3;;;;;;;;;;;
1604;Município;Monção;8 585;123 007;112 585;14 328;3 790;6 072;7 185;8 089;9 050;10 433;12 159;15 147;17 206;19 731;28 380;3 715;5 999;7 087;8 061;9 020;10 075;11 718;14 400;16 352;18 599;25 290;38,7;3,1;6,8;;;;;;;;;;;
1605;Município;Paredes de Coura;4 382;60 877;56 592;13 893;4 282;6 433;7 399;8 294;9 263;10 537;12 290;15 046;16 717;19 248;26 008;4 282;6 411;7 363;8 274;9 153;10 223;11 862;14 242;16 003;18 331;24 015;36,2;2,9;5,6;;;;;;;;;;;
1606;Município;Ponte da Barca;5 750;75 920;70 373;13 203;3 651;5 611;6 508;7 321;8 532;9 665;11 033;13 682;15 612;18 031;26 137;3 593;5 564;6 446;7 297;8 514;9 365;10 687;13 061;14 951;17 301;23 537;38,8;3,1;6,6;;;;;;;;;;;
1607;Município;Ponte de Lima;19 997;289 141;267 364;14 459;4 373;6 707;7 636;8 362;9 224;10 514;12 287;15 428;17 310;19 554;27 635;4 333;6 682;7 596;8 336;9 154;10 177;11 900;14 761;16 749;18 625;25 115;37,3;2,8;5,8;;;;;;;;;;;
1608;Município;Valença;7 052;101 459;93 730;14 387;4 221;6 684;7 596;8 400;9 496;10 899;12 764;15 787;17 563;20 247;27 906;4 199;6 621;7 563;8 400;9 185;10 512;12 264;14 919;16 783;19 093;25 112;36,5;2,9;6,0;;;;;;;;;;;
1609;Município;Viana do Castelo;43 452;779 190;695 329;17 932;4 725;7 338;8 349;8 889;10 418;12 371;15 272;19 333;22 014;25 265;36 773;4 682;7 280;8 305;8 853;10 050;11 841;14 440;18 167;20 457;23 118;31 703;39,7;3,2;6,8;;;;;;;;;;;
1610;Município;Vila Nova de Cerveira;4 525;72 314;65 710;15 981;4 191;6 981;7 952;8 657;10 009;11 561;13 932;17 248;19 470;22 348;30 812;4 155;6 815;7 900;8 603;9 656;11 099;13 280;16 245;18 448;20 933;27 275;38,5;3,1;6,6;;;;;;;;;;;
112;NUTS 3;   Cávado;199 488;3 466 056;3 103 055;17 375;4 800;7 362;8 295;8 676;9 952;11 827;14 537;18 191;20 602;23 698;34 815;4 746;7 332;8 262;8 655;9 642;11 371;13 886;17 350;19 374;21 974;30 295;39,7;3,0;6,4;;;;;;;;;;;
0301;Município;Amares;8 636;130 339;119 812;15 093;4 563;6 994;7 945;8 415;9 539;10 999;13 001;16 310;18 163;20 434;29 195;4 495;6 952;7 920;8 400;9 248;10 620;12 521;15 551;17 291;19 392;26 420;37,1;2,8;5,9;;;;;;;;;;;
0302;Município;Barcelos;56 337;853 290;784 408;15 146;4 984;7 305;8 180;8 497;9 463;10 941;13 129;16 384;17 963;20 230;28 170;4 960;7 260;8 154;8 477;9 164;10 537;12 626;15 700;17 360;19 264;25 721;36,4;2,7;5,2;;;;;;;;;;;
0303;Município;Braga;93 247;1 852 927;1 625 665;19 871;5 105;7 810;8 498;9 151;10 912;13 314;16 742;21 190;24 121;27 854;41 601;5 044;7 780;8 466;9 111;10 518;12 677;15 786;19 752;22 188;25 070;34 976;40,9;3,2;6,9;;;;;;;;;;;
0306;Município;Esposende;17 066;292 338;260 304;17 130;4 682;7 034;8 009;8 453;9 600;11 373;13 956;17 521;19 943;22 995;33 975;4 625;6 999;7 960;8 431;9 310;10 931;13 327;16 826;18 843;21 394;29 704;40,5;3,1;6,4;;;;;;;;;;;
0310;Município;Terras de Bouro;3 051;40 592;37 704;13 305;3 660;5 895;6 916;7 637;8 780;9 905;11 669;14 244;16 226;18 394;25 691;3 600;5 883;6 874;7 601;8 711;9 627;11 324;13 714;15 460;17 393;23 354;37,7;3,0;6,5;;;;;;;;;;;
0313;Município;Vila Verde;21 151;296 569;275 162;14 022;4 060;6 584;7 517;8 290;9 032;10 368;12 262;15 213;16 923;19 124;27 034;3 996;6 540;7 479;8 263;8 996;10 015;11 790;14 492;16 328;18 187;24 794;37,0;2,8;6,2;;;;;;;;;;;
119;NUTS 3;   Ave;210 845;3 344 206;3 050 677;15 861;5 017;7 465;8 280;8 600;9 703;11 360;13 634;16 800;18 529;21 149;30 101;4 976;7 433;8 257;8 579;9 387;10 951;13 131;16 142;17 788;20 016;27 078;37,4;2,7;5,4;;;;;;;;;;;
0304;Município;Cabeceiras de Basto;6 939;93 567;86 869;13 484;3 749;6 116;7 000;7 766;8 561;9 636;11 465;14 431;16 333;18 342;26 684;3 704;6 047;6 994;7 707;8 537;9 393;11 084;13 868;15 692;17 580;24 420;38,0;2,9;6,6;;;;;;;;;;;
0307;Município;Fafe;24 542;352 688;325 295;14 371;4 236;6 603;7 526;8 241;8 930;10 303;12 214;15 201;16 949;18 884;27 473;4 200;6 590;7 495;8 212;8 900;10 000;11 794;14 603;16 424;18 134;25 068;38,0;2,8;6,0;;;;;;;;;;;
0308;Município;Guimarães;80 798;1 328 385;1 203 522;16 441;5 459;7 800;8 400;8 744;9 890;11 631;13 954;17 025;18 852;21 354;30 731;5 430;7 784;8 400;8 722;9 555;11 188;13 435;16 471;18 050;20 280;27 505;37,4;2,6;5,1;;;;;;;;;;;
1705;Município;Mondim de Basto;2 946;37 050;34 557;12 576;3 839;5 875;6 742;7 425;8 400;9 190;10 599;13 153;15 381;17 348;24 636;3 821;5 852;6 692;7 394;8 400;9 146;10 336;12 677;14 640;16 517;22 271;36,7;2,8;5,8;;;;;;;;;;;
0309;Município;Póvoa de Lanhoso;9 585;132 001;122 670;13 772;3 934;6 540;7 442;8 219;8 945;10 251;12 121;14 934;16 800;18 551;26 096;3 908;6 523;7 407;8 203;8 919;9 935;11 649;14 336;16 172;17 838;23 919;36,8;2,7;6,1;;;;;;;;;;;
0311;Município;Vieira do Minho;5 419;72 281;66 952;13 339;3 792;5 870;6 780;7 582;8 600;9 736;11 449;14 365;16 311;18 615;26 129;3 782;5 826;6 780;7 557;8 595;9 505;11 075;13 718;15 450;17 669;23 785;37,7;3,0;6,3;;;;;;;;;;;
0312;Município;Vila Nova de Famalicão;68 178;1 143 754;1 039 555;16 776;5 406;7 879;8 429;8 959;10 322;12 148;14 594;17 836;20 118;22 801;32 449;5 398;7 846;8 411;8 938;9 946;11 666;13 990;17 137;19 082;21 462;28 723;37,1;2,7;5,3;;;;;;;;;;;
0314;Município;Vizela;12 438;184 480;171 256;14 832;5 459;7 800;8 390;8 636;9 539;11 115;13 321;16 199;17 595;19 320;26 440;5 455;7 786;8 379;8 614;9 237;10 740;12 865;15 671;17 202;18 594;24 451;34,6;2,4;4,5;;;;;;;;;;;
11A;NUTS 3;   A. M. Porto;886 569;16 961 288;14 803 992;19 131;4 856;7 479;8 400;8 890;10 463;12 529;15 465;19 666;22 526;26 084;39 094;4 813;7 440;8 365;8 851;10 085;11 979;14 613;18 314;20 765;23 546;33 034;41,4;3,2;6,9;;;;;;;;;;;
0104;Município;Arouca;10 137;146 567;135 486;14 459;4 631;6 838;7 753;8 400;9 222;10 611;12 582;15 612;17 361;19 612;27 578;4 601;6 803;7 722;8 373;9 151;10 316;12 120;14 937;16 780;18 691;25 065;36,4;2,7;5,4;;;;;;;;;;;
0107;Município;Espinho;16 029;299 339;261 889;18 675;4 919;7 457;8 400;8 877;10 290;12 175;14 870;18 874;21 767;25 516;38 965;4 852;7 378;8 361;8 832;9 947;11 682;14 090;17 644;20 065;23 148;32 740;41,0;3,1;6,7;;;;;;;;;;;
1304;Município;Gondomar;82 984;1 417 811;1 277 068;17 085;4 727;7 352;8 309;8 777;10 211;12 088;14 726;18 493;21 053;24 003;34 241;4 697;7 323;8 281;8 750;9 889;11 601;14 000;17 432;19 636;22 096;30 028;38,8;3,0;6,4;;;;;;;;;;;
1306;Município;Maia;67 664;1 457 576;1 264 529;21 541;5 453;8 181;8 827;9 646;11 712;14 476;18 187;23 461;26 749;30 867;45 516;5 408;8 129;8 786;9 340;11 216;13 680;17 025;21 459;24 093;27 276;37 974;41,1;3,4;7,0;;;;;;;;;;;
1308;Município;Matosinhos;89 442;1 911 893;1 642 450;21 376;5 272;8 009;8 717;9 487;11 442;14 006;17 364;22 315;25 489;29 625;44 685;5 229;7 958;8 679;9 188;10 994;13 293;16 268;20 401;22 939;26 169;36 868;41,8;3,3;7,1;;;;;;;;;;;
0113;Município;Oliveira de Azeméis;34 799;598 589;539 993;17 201;5 501;7 882;8 499;9 044;10 496;12 204;14 569;18 125;20 673;23 492;32 722;5 463;7 879;8 481;9 014;10 099;11 704;13 907;17 202;19 439;21 980;29 089;37,4;2,8;5,3;;;;;;;;;;;
1310;Município;Paredes;41 216;566 492;524 100;13 744;3 350;6 082;7 181;7 980;8 737;10 004;11 817;14 853;16 654;18 659;26 615;3 324;6 043;7 146;7 954;8 713;9 705;11 377;14 210;16 108;17 799;24 438;39,0;2,9;7,4;;;;;;;;;;;
1312;Município;Porto;125 053;3 122 097;2 528 726;24 966;4 577;7 307;8 398;9 044;11 066;13 918;18 090;24 661;29 064;34 810;55 512;4 506;7 221;8 322;8 970;10 568;13 063;16 556;21 635;24 780;28 864;43 517;47,3;4,0;9,7;;;;;;;;;;;
1313;Município;Póvoa de Varzim;31 820;542 884;483 570;17 061;4 271;6 649;7 615;8 400;9 438;11 284;13 943;17 499;20 037;23 315;34 617;4 224;6 600;7 567;8 381;9 156;10 888;13 320;16 705;18 844;21 573;30 068;41,4;3,3;7,1;;;;;;;;;;;
0109;Município;Santa Maria da Feira;68 885;1 136 427;1 029 381;16 497;4 926;7 363;8 251;8 701;10 010;11 694;13 990;17 322;19 744;22 619;31 873;4 885;7 323;8 221;8 674;9 682;11 220;13 375;16 570;18 621;21 149;28 387;38,1;2,9;5,8;;;;;;;;;;;
1314;Município;Santo Tirso;35 749;575 365;523 885;16 095;5 483;7 818;8 400;8 821;9 996;11 600;13 725;16 677;18 494;21 184;30 392;5 483;7 791;8 400;8 800;9 654;11 169;13 223;15 963;17 606;20 004;27 214;36,6;2,6;5,0;;;;;;;;;;;
0116;Município;São João da Madeira;12 073;212 671;189 470;17 615;5 001;7 503;8 358;8 806;10 174;11 875;14 384;18 040;20 773;23 872;35 210;4 951;7 479;8 328;8 776;9 829;11 369;13 751;17 197;19 460;21 976;30 592;39,7;2,9;6,2;;;;;;;;;;;
1318;Município;Trofa;19 667;327 548;297 046;16 655;5 366;7 856;8 448;9 001;10 426;12 191;14 564;17 805;20 007;22 715;31 504;5 315;7 809;8 421;8 972;10 026;11 670;13 838;16 922;18 993;21 280;28 141;36,7;2,7;5,3;;;;;;;;;;;
0119;Município;Vale de Cambra;11 053;189 516;171 722;17 146;5 476;7 820;8 494;9 088;10 507;12 193;14 773;18 180;20 770;23 703;33 105;5 459;7 784;8 469;9 051;10 136;11 712;14 021;17 155;19 481;22 080;29 531;37,2;2,8;5,4;;;;;;;;;;;
1315;Município;Valongo;47 518;824 575;743 559;17 353;4 796;7 529;8 400;8 914;10 468;12 439;15 250;19 049;21 647;24 639;34 810;4 760;7 500;8 397;8 884;10 105;11 923;14 443;17 937;20 128;22 610;30 510;38,5;3,0;6,4;;;;;;;;;;;
1316;Município;Vila do Conde;40 296;722 254;643 129;17 924;4 911;7 306;8 269;8 697;10 119;12 190;14 973;18 598;21 297;24 481;35 840;4 886;7 267;8 240;8 680;9 816;11 720;14 236;17 587;19 897;22 534;31 123;40,1;3,1;6,4;;;;;;;;;;;
1317;Município;Vila Nova de Gaia;152 184;2 909 682;2 547 989;19 120;4 900;7 591;8 400;9 017;10 670;12 770;15 743;20 016;22 852;26 273;39 121;4 855;7 548;8 400;8 977;10 291;12 203;14 854;18 597;20 989;23 726;33 045;40,8;3,1;6,8;;;;;;;;;;;
11B;NUTS 3;   Alto Tâmega;38 703;558 796;508 174;14 438;3 651;5 748;6 600;7 429;8 674;9 902;11 891;15 186;17 309;20 140;29 662;3 600;5 748;6 551;7 377;8 639;9 643;11 443;14 391;16 401;18 817;26 357;40,4;3,3;7,3;;;;;;;;;;;
1702;Município;Boticas;2 267;28 729;26 785;12 673;3 635;5 508;6 191;6 974;8 400;9 306;10 703;13 108;14 817;17 120;23 981;3 533;5 494;6 180;6 867;8 400;9 156;10 317;12 684;14 201;16 450;22 357;38,8;3,0;6,3;;;;;;;;;;;
1703;Município;Chaves;17 490;284 511;254 879;16 267;3 858;6 082;7 089;8 077;9 167;10 828;13 507;17 408;20 093;23 327;34 501;3 794;6 009;7 037;8 012;9 131;10 471;12 887;16 463;18 764;21 199;29 653;41,4;3,5;7,8;;;;;;;;;;;
1706;Município;Montalegre;4 360;56 743;51 934;13 015;3 600;5 449;6 180;6 820;8 375;9 285;10 853;13 500;15 403;17 922;26 292;3 475;5 370;6 103;6 780;8 290;9 151;10 499;12 859;14 559;16 955;23 336;39,4;3,2;6,7;;;;;;;;;;;
