Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
PT;PT;Portugal;7 323 072;99 530 408;87 136 949;13 591;4 107;5 751;6 548;7 281;8 573;9 880;11 630;14 113;15 897;18 253;26 624;4 071;5 725;6 492;7 202;8 480;9 539;11 070;13 103;14 469;16 248;22 251;36,5;2,8;5,5;;;;;;;;;;;
1;NUTS 1; Continente;7 000 833;95 349 679;83 351 802;13 620;4 122;5 768;6 567;7 298;8 576;9 893;11 651;14 134;15 914;18 266;26 664;4 090;5 744;6 508;7 214;8 482;9 545;11 079;13 108;14 467;16 237;22 237;36,4;2,8;5,4;;;;;;;;;;;
11;NUTS 2;  Norte;2 550 953;30 986 492;27 546 585;12 147;3 762;5 326;5 999;6 685;8 030;9 000;10 462;12 473;13 942;15 938;23 646;3 733;5 284;5 948;6 624;7 939;8 893;10 055;11 765;12 949;14 485;20 126;36,0;2,7;5,4;;;;;;;;;;;
111;NUTS 3;   Alto Minho;166 430;1 828 650;1 657 940;10 988;3 333;4 945;5 538;6 190;7 574;8 728;9 974;11 709;12 909;14 543;20 913;3 288;4 903;5 497;6 148;7 475;8 640;9 623;11 122;12 115;13 444;18 166;35,0;2,7;5,5;;;;;;;;;;;
1601;Município;Arcos de Valdevez;14 687;137 948;126 987;9 393;2 531;4 282;4 761;5 300;6 398;7 710;8 836;10 218;11 144;12 433;17 473;2 500;4 255;4 706;5 252;6 334;7 585;8 726;9 828;10 605;11 697;15 574;35,7;2,7;6,2;;;;;;;;;;;
1602;Município;Caminha;11 800;137 034;121 849;11 613;3 012;4 816;5 483;6 097;7 525;8 672;10 052;12 004;13 299;15 319;22 991;2 980;4 790;5 457;6 026;7 416;8 542;9 675;11 368;12 400;13 995;19 555;37,6;2,9;6,6;;;;;;;;;;;
1603;Município;Melgaço;5 347;51 759;47 421;9 680;2 662;4 400;5 049;5 674;6 885;8 112;9 061;10 486;11 496;12 995;18 336;2 615;4 372;4 996;5 563;6 820;8 017;8 962;10 004;10 859;12 003;16 168;34,5;2,7;6,2;;;;;;;;;;;
1604;Município;Monção;12 284;123 007;112 585;10 014;2 693;4 577;5 181;5 708;6 939;8 360;9 308;10 851;11 838;13 245;19 071;2 654;4 535;5 132;5 664;6 853;8 234;9 153;10 347;11 162;12 320;16 815;35,3;2,7;6,3;;;;;;;;;;;
1605;Município;Paredes de Coura;6 363;60 877;56 592;9 567;3 231;4 756;5 261;5 685;6 814;8 131;9 266;10 664;11 533;12 575;16 904;3 195;4 713;5 234;5 642;6 761;8 067;9 121;10 259;10 982;11 902;15 198;32,6;2,5;4,8;;;;;;;;;;;
1606;Município;Ponte da Barca;8 152;75 920;70 373;9 313;2 609;4 282;4 719;5 267;6 372;7 743;8 847;10 124;10 958;12 081;17 401;2 586;4 256;4 682;5 227;6 312;7 680;8 762;9 766;10 508;11 497;15 779;35,4;2,7;6,1;;;;;;;;;;;
1607;Município;Ponte de Lima;29 115;289 141;267 364;9 931;3 360;4 729;5 291;5 828;7 116;8 388;9 262;10 611;11 545;12 810;17 673;3 336;4 695;5 264;5 791;7 046;8 319;9 140;10 236;11 001;12 060;15 949;33,3;2,6;4,8;;;;;;;;;;;
1608;Município;Valença;9 847;101 459;93 730;10 304;3 440;5 245;5 816;6 492;7 778;8 778;10 047;11 513;12 435;13 681;18 018;3 392;5 184;5 748;6 395;7 689;8 682;9 646;10 902;11 696;12 733;16 198;31,7;2,5;4,8;;;;;;;;;;;
1609;Município;Viana do Castelo;62 396;779 190;695 329;12 488;3 942;5 534;6 279;7 023;8 400;9 601;11 191;13 335;14 876;16 977;24 523;3 934;5 490;6 221;6 941;8 347;9 301;10 688;12 467;13 690;15 295;20 833;34,8;2,8;5,3;;;;;;;;;;;
1610;Município;Vila Nova de Cerveira;6 439;72 314;65 710;11 231;3 513;5 238;5 952;6 671;7 995;9 169;10 554;12 186;13 258;14 700;20 154;3 408;5 215;5 906;6 606;7 902;9 040;10 135;11 564;12 581;13 594;17 667;33,7;2,6;5,2;;;;;;;;;;;
112;NUTS 3;   Cávado;287 267;3 466 056;3 103 055;12 066;3 945;5 483;6 180;6 877;8 220;9 100;10 472;12 431;13 861;15 847;23 373;3 934;5 457;6 139;6 814;8 140;9 000;10 094;11 772;12 920;14 458;19 992;34,9;2,6;5,1;;;;;;;;;;;
0301;Município;Amares;12 715;130 339;119 812;10 251;3 473;5 007;5 521;6 093;7 374;8 434;9 482;10 907;11 990;13 440;18 836;3 449;4 967;5 494;6 053;7 294;8 400;9 187;10 468;11 389;12 602;16 668;32,9;2,5;4,8;;;;;;;;;;;
0302;Município;Barcelos;81 820;853 290;784 408;10 429;3 949;5 348;5 958;6 571;7 808;8 628;9 515;10 917;11 854;13 149;18 079;3 934;5 301;5 913;6 525;7 742;8 573;9 231;10 483;11 279;12 354;16 130;31,3;2,3;4,1;;;;;;;;;;;
0303;Município;Braga;132 763;1 852 927;1 625 665;13 957;4 282;6 100;6 898;7 652;8 830;10 180;11 972;14 647;16 629;19 376;28 011;4 256;6 046;6 834;7 573;8 754;9 842;11 409;13 593;15 065;17 085;23 256;35,7;2,8;5,5;;;;;;;;;;;
0306;Município;Esposende;24 555;292 338;260 304;11 905;3 699;5 194;5 820;6 517;7 945;8 849;10 186;12 125;13 559;15 417;22 948;3 671;5 123;5 755;6 454;7 846;8 767;9 830;11 491;12 680;14 160;19 707;36,0;2,8;5,4;;;;;;;;;;;
0310;Município;Terras de Bouro;4 399;40 592;37 704;9 228;2 683;4 326;4 846;5 378;6 577;7 818;8 851;10 160;11 175;12 468;16 954;2 658;4 299;4 806;5 343;6 540;7 684;8 701;9 731;10 651;11 667;15 228;34,2;2,7;5,7;;;;;;;;;;;
0313;Município;Vila Verde;31 015;296 569;275 162;9 562;3 163;4 682;5 251;5 752;6 970;8 176;8 960;10 368;11 352;12 586;17 415;3 133;4 664;5 215;5 728;6 901;8 098;8 878;9 994;10 893;11 881;15 628;32,8;2,5;5,0;;;;;;;;;;;
119;NUTS 3;   Ave;304 419;3 344 206;3 050 677;10 986;4 060;5 614;6 251;6 859;8 007;8 765;9 806;11 329;12 389;13 831;19 692;4 033;5 581;6 213;6 814;7 937;8 704;9 501;10 844;11 726;12 903;17 312;32,0;2,3;4,3;;;;;;;;;;;
0304;Município;Cabeceiras de Basto;10 194;93 567;86 869;9 179;2 714;4 308;4 787;5 359;6 476;7 683;8 566;9 841;10 888;12 160;16 995;2 690;4 297;4 767;5 296;6 428;7 605;8 509;9 486;10 409;11 504;15 366;34,5;2,7;5,7;;;;;;;;;;;
0307;Município;Fafe;35 336;352 688;325 295;9 981;3 344;4 918;5 504;6 045;7 177;8 281;8 926;10 284;11 277;12 605;18 441;3 311;4 892;5 483;6 008;7 122;8 221;8 860;9 931;10 790;11 919;16 418;33,4;2,4;5,0;;;;;;;;;;;
0308;Município;Guimarães;116 107;1 328 385;1 203 522;11 441;4 343;5 969;6 601;7 190;8 240;8 903;9 941;11 444;12 507;13 986;20 250;4 326;5 936;6 567;7 142;8 178;8 832;9 631;10 957;11 835;13 034;17 696;31,8;2,2;4,1;;;;;;;;;;;
1705;Município;Mondim de Basto;4 224;37 050;34 557;8 771;2 696;4 199;4 533;5 017;6 053;7 473;8 410;9 598;10 296;11 588;16 453;2 659;4 173;4 500;5 003;6 010;7 396;8 400;9 292;9 917;10 832;14 848;34,3;2,6;5,6;;;;;;;;;;;
0309;Município;Póvoa de Lanhoso;13 999;132 001;122 670;9 429;2 952;4 540;5 152;5 712;7 004;8 213;8 925;10 234;11 103;12 320;16 770;2 902;4 509;5 100;5 673;6 931;8 141;8 832;9 863;10 620;11 649;15 137;33,0;2,6;5,2;;;;;;;;;;;
0311;Município;Vieira do Minho;7 856;72 281;66 952;9 201;2 803;4 308;4 790;5 246;6 328;7 636;8 670;10 213;11 172;12 323;17 226;2 772;4 306;4 775;5 221;6 288;7 529;8 593;9 733;10 581;11 589;15 321;34,4;2,7;5,5;;;;;;;;;;;
0312;Município;Vila Nova de Famalicão;98 845;1 143 754;1 039 555;11 571;4 345;6 016;6 654;7 254;8 400;9 236;10 484;12 113;13 298;14 853;20 815;4 330;5 984;6 624;7 209;8 336;9 134;10 111;11 519;12 462;13 701;18 107;31,2;2,3;4,2;;;;;;;;;;;
0314;Município;Vizela;17 858;184 480;171 256;10 330;4 342;5 902;6 540;7 072;8 092;8 702;9 378;10 642;11 475;12 573;17 146;4 324;5 873;6 501;7 030;8 040;8 656;9 153;10 273;11 003;11 877;15 337;28,5;2,0;3,5;;;;;;;;;;;
11A;NUTS 3;   A. M. Porto;1 251 922;16 961 288;14 803 992;13 548;4 152;5 755;6 524;7 226;8 481;9 772;11 470;13 893;15 613;17 992;26 658;4 125;5 738;6 467;7 179;8 400;9 427;10 930;12 902;14 231;16 009;22 188;36,5;2,8;5,4;;;;;;;;;;;
0104;Município;Arouca;15 002;146 567;135 486;9 770;3 515;4 784;5 359;5 826;7 023;8 209;9 076;10 449;11 332;12 660;17 698;3 470;4 761;5 293;5 778;6 951;8 123;8 969;10 065;10 886;11 943;15 663;32,5;2,5;4,5;;;;;;;;;;;
0107;Município;Espinho;22 497;299 339;261 889;13 306;4 127;5 684;6 356;7 006;8 382;9 485;11 098;13 418;15 330;17 898;27 430;4 091;5 621;6 309;6 932;8 268;9 170;10 610;12 568;13 964;16 038;22 707;36,6;2,9;5,6;;;;;;;;;;;
1304;Município;Gondomar;118 520;1 417 811;1 277 068;11 963;4 005;5 568;6 285;7 000;8 340;9 423;10 974;12 948;14 282;16 153;22 786;3 984;5 527;6 233;6 927;8 246;9 153;10 512;12 172;13 243;14 648;19 523;33,6;2,7;4,9;;;;;;;;;;;
1306;Município;Maia;96 957;1 457 576;1 264 529;15 033;4 569;6 520;7 362;8 178;9 490;11 220;13 389;16 370;18 422;21 227;29 734;4 533;6 459;7 280;8 071;9 188;10 725;12 522;14 830;16 359;18 431;24 332;35,2;2,9;5,4;;;;;;;;;;;
1308;Município;Matosinhos;125 590;1 911 893;1 642 450;15 223;4 535;6 379;7 200;7 957;9 216;10 848;12 912;15 886;18 032;20 949;30 490;4 504;6 323;7 129;7 843;9 061;10 371;12 087;14 442;16 055;18 162;24 729;36,7;2,9;5,5;;;;;;;;;;;
0113;Município;Oliveira de Azeméis;50 536;598 589;539 993;11 845;4 393;5 950;6 614;7 205;8 400;9 450;10 883;12 581;13 735;15 255;20 818;4 364;5 902;6 551;7 158;8 350;9 151;10 435;11 872;12 772;13 946;18 051;31,6;2,4;4,1;;;;;;;;;;;
1310;Município;Paredes;59 937;566 492;524 100;9 451;2 845;4 382;4 877;5 448;6 747;8 040;8 771;10 253;11 198;12 424;17 358;2 836;4 372;4 850;5 413;6 688;7 980;8 700;9 872;10 714;11 728;15 541;34,8;2,7;5,5;;;;;;;;;;;
1312;Município;Porto;163 917;3 122 097;2 528 726;19 047;4 327;6 419;7 294;8 168;9 692;11 864;15 045;20 016;23 420;27 652;40 509;4 282;6 338;7 200;8 052;9 302;11 181;13 684;17 350;19 811;22 684;30 932;41,7;3,6;7,2;;;;;;;;;;;
1313;Município;Póvoa de Varzim;45 495;542 884;483 570;11 933;3 463;5 015;5 672;6 362;7 716;8 734;10 221;12 315;13 854;15 814;23 715;3 424;4 991;5 626;6 300;7 628;8 655;9 843;11 683;12 942;14 414;20 271;36,9;2,9;5,9;;;;;;;;;;;
0109;Município;Santa Maria da Feira;99 760;1 136 427;1 029 381;11 392;4 059;5 501;6 167;6 780;8 036;9 007;10 388;12 054;13 199;14 732;20 918;4 026;5 459;6 117;6 727;7 942;8 897;9 998;11 434;12 358;13 572;18 182;32,9;2,5;4,5;;;;;;;;;;;
1314;Município;Santo Tirso;51 573;575 365;523 885;11 156;4 360;5 759;6 358;6 892;7 996;8 800;9 911;11 496;12 594;14 093;19 995;4 346;5 748;6 321;6 849;7 910;8 724;9 569;10 955;11 859;13 070;17 462;31,5;2,3;4,0;;;;;;;;;;;
0116;Município;São João da Madeira;16 718;212 671;189 470;12 721;4 374;6 029;6 734;7 372;8 525;9 662;11 079;13 066;14 468;16 581;24 426;4 356;5 993;6 691;7 324;8 462;9 350;10 610;12 255;13 469;14 990;20 625;33,7;2,5;4,7;;;;;;;;;;;
1318;Município;Trofa;28 495;327 548;297 046;11 495;4 236;5 805;6 513;7 199;8 384;9 320;10 621;12 286;13 368;14 791;20 377;4 214;5 761;6 458;7 119;8 299;9 151;10 207;11 637;12 518;13 591;17 693;31,3;2,4;4,2;;;;;;;;;;;
0119;Município;Vale de Cambra;16 153;189 516;171 722;11 733;4 401;5 748;6 393;7 030;8 292;9 344;10 913;12 600;13 763;15 380;21 226;4 366;5 693;6 355;6 951;8 174;9 153;10 446;11 926;12 873;14 095;18 412;31,9;2,5;4,2;;;;;;;;;;;
1315;Município;Valongo;67 941;824 575;743 559;12 137;4 147;5 779;6 545;7 271;8 480;9 713;11 281;13 314;14 761;16 556;23 116;4 125;5 748;6 495;7 201;8 400;9 387;10 769;12 463;13 606;14 952;19 761;32,8;2,6;4,8;;;;;;;;;;;
1316;Município;Vila do Conde;58 106;722 254;643 129;12 430;4 080;5 589;6 267;6 939;8 252;9 213;10 793;12 873;14 354;16 254;23 934;4 058;5 551;6 225;6 883;8 153;9 088;10 370;12 127;13 269;14 767;20 353;35,1;2,7;5,0;;;;;;;;;;;
1317;Município;Vila Nova de Gaia;214 725;2 909 682;2 547 989;13 551;4 200;5 860;6 620;7 347;8 630;9 977;11 720;14 178;15 912;18 259;26 402;4 178;5 807;6 569;7 260;8 529;9 624;11 139;13 126;14 479;16 198;22 076;35,9;2,8;5,3;;;;;;;;;;;
11B;NUTS 3;   Alto Tâmega;56 567;558 796;508 174;9 878;2 520;4 201;4 682;5 147;6 274;7 652;8 870;10 592;11 789;13 406;19 769;2 485;4 200;4 664;5 093;6 202;7 531;8 754;10 111;11 124;12 462;17 262;37,8;3,0;6,9;;;;;;;;;;;
1702;Município;Boticas;3 304;28 729;26 785;8 695;2 504;4 022;4 502;4 976;5 951;7 107;8 400;9 444;10 246;11 253;15 740;2 492;3 966;4 459;4 898;5 920;7 040;8 347;9 175;9 859;10 739;14 490;35,5;2,7;5,8;;;;;;;;;;;
1703;Município;Chaves;25 418;284 511;254 879;11 193;2 793;4 524;5 081;5 655;7 081;8 429;9 909;12 008;13 538;15 596;23 163;2 751;4 498;5 030;5 603;6 991;8 400;9 540;11 326;12 553;14 183;19 793;38,1;3,2;7,2;;;;;;;;;;;
1706;Município;Montalegre;6 273;56 743;51 934;9 046;2 341;3 824;4 443;4 808;5 800;7 030;8 403;9 874;10 922;12 303;17 871;2 251;3 761;4 366;4 758;5 748;6 937;8 400;9 368;10 343;11 483;15 598;37,4;3,1;6,9;;;;;;;;;;;
