Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;;Nº;Nº;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;
PT;PT;Portugal;7 367 625;100 984 256;88 396 099;13 706;4 051;5 830;6 629;7 428;8 854;10 023;11 772;14 269;16 072;18 474;27 024;4 018;5 775;6 574;7 343;8 752;9 665;11 187;13 217;14 601;16 399;22 506;36,4;2,8;5,6;;;;;;;;
1;NUTS 1; Continente;7 044 120;96 723 893;84 537 614;13 731;4 069;5 848;6 646;7 441;8 859;10 033;11 792;14 289;16 088;18 484;27 052;4 036;5 789;6 589;7 354;8 756;9 666;11 194;13 220;14 596;16 385;22 478;36,4;2,8;5,6;;;;;;;;
11;NUTS 2;  Norte;2 567 226;31 671 209;28 124 149;12 337;3 796;5 406;6 098;6 812;8 210;9 191;10 633;12 659;14 139;16 180;24 065;3 767;5 372;6 050;6 750;8 111;9 099;10 212;11 919;13 109;14 669;20 425;35,9;2,7;5,4;;;;;;;;
111;NUTS 3;   Alto Minho;167 421;1 874 087;1 696 482;11 194;3 370;5 065;5 690;6 350;7 746;8 951;10 166;11 899;13 100;14 813;21 366;3 337;5 026;5 641;6 287;7 639;8 890;9 790;11 283;12 288;13 618;18 504;34,8;2,7;5,5;;;;;;;;
1601;Município;Arcos de Valdevez;14 673;141 414;129 929;9 638;2 526;4 414;4 878;5 449;6 569;7 906;9 048;10 495;11 409;12 640;17 807;2 526;4 391;4 826;5 390;6 516;7 748;8 960;10 073;10 852;11 916;15 836;35,7;2,7;6,3;;;;;;;;
1602;Município;Caminha;11 848;140 862;124 964;11 889;3 214;5 040;5 604;6 253;7 727;9 001;10 435;12 395;13 698;15 696;23 492;3 190;4 970;5 572;6 178;7 613;8 890;9 973;11 677;12 744;14 168;19 847;37,2;2,9;6,2;;;;;;;;
1603;Município;Melgaço;5 304;53 488;48 809;10 084;2 610;4 618;5 280;5 961;7 180;8 570;9 504;10 950;11 983;13 605;19 128;2 601;4 585;5 217;5 883;7 099;8 409;9 315;10 369;11 277;12 490;16 755;34,5;2,7;6,4;;;;;;;;
1604;Município;Monção;12 339;127 979;116 784;10 372;2 880;4 792;5 446;5 965;7 306;8 653;9 618;11 112;12 158;13 623;19 457;2 843;4 792;5 389;5 917;7 175;8 544;9 324;10 564;11 453;12 653;17 137;34,8;2,6;6,0;;;;;;;;
1605;Município;Paredes de Coura;6 338;60 751;56 446;9 585;3 123;4 772;5 272;5 740;6 853;8 102;9 231;10 560;11 464;12 443;16 797;3 107;4 758;5 252;5 693;6 795;7 982;9 137;10 155;10 975;11 764;15 049;32,8;2,5;4,8;;;;;;;;
1606;Município;Ponte da Barca;8 061;76 750;71 064;9 521;2 526;4 349;4 827;5 352;6 477;7 841;9 071;10 368;11 169;12 340;17 499;2 526;4 340;4 796;5 309;6 432;7 784;8 985;9 979;10 704;11 743;15 828;35,8;2,7;6,3;;;;;;;;
1607;Município;Ponte de Lima;29 236;297 501;274 311;10 176;3 359;4 843;5 398;5 949;7 279;8 583;9 460;10 832;11 802;13 107;18 291;3 345;4 804;5 378;5 911;7 212;8 510;9 316;10 444;11 225;12 322;16 234;33,5;2,6;4,9;;;;;;;;
1608;Município;Valença;9 939;102 712;94 905;10 334;3 314;5 200;5 859;6 522;7 746;8 890;10 027;11 500;12 388;13 614;18 150;3 295;5 125;5 819;6 440;7 649;8 853;9 652;10 910;11 687;12 746;16 237;32,0;2,5;4,9;;;;;;;;
1609;Município;Viana do Castelo;63 056;799 368;712 405;12 677;3 994;5 679;6 423;7 188;8 637;9 762;11 340;13 537;15 103;17 214;25 092;3 958;5 633;6 365;7 093;8 514;9 425;10 817;12 614;13 873;15 492;21 143;34,6;2,8;5,3;;;;;;;;
1610;Município;Vila Nova de Cerveira;6 627;73 263;66 865;11 055;3 654;5 470;6 152;6 917;8 252;9 220;10 539;12 148;13 191;14 738;19 804;3 612;5 418;6 093;6 853;8 171;9 082;10 068;11 418;12 454;13 524;17 312;32,1;2,5;4,8;;;;;;;;
112;NUTS 3;   Cávado;290 699;3 596 140;3 213 405;12 371;4 002;5 602;6 318;7 048;8 459;9 313;10 700;12 676;14 126;16 162;24 004;3 997;5 576;6 273;6 986;8 361;9 213;10 302;11 957;13 124;14 684;20 418;35,0;2,6;5,1;;;;;;;;
0301;Município;Amares;12 934;135 585;124 611;10 483;3 603;5 118;5 648;6 265;7 659;8 860;9 730;11 242;12 243;13 686;19 337;3 584;5 080;5 610;6 220;7 572;8 775;9 405;10 756;11 641;12 767;17 019;32,7;2,5;4,7;;;;;;;;
0302;Município;Barcelos;82 606;879 438;807 338;10 646;4 004;5 460;6 090;6 741;8 037;8 905;9 724;11 158;12 127;13 427;18 525;4 002;5 420;6 034;6 686;7 949;8 890;9 424;10 711;11 500;12 535;16 348;31,1;2,3;4,1;;;;;;;;
0303;Município;Braga;134 570;1 921 714;1 683 118;14 280;4 372;6 181;7 003;7 783;9 025;10 366;12 169;14 878;16 912;19 742;28 666;4 347;6 133;6 937;7 703;8 947;10 003;11 557;13 758;15 278;17 372;23 650;36,2;2,8;5,4;;;;;;;;
0306;Município;Esposende;24 830;306 114;271 424;12 328;3 810;5 333;6 053;6 806;8 220;9 119;10 444;12 392;13 879;15 773;23 427;3 778;5 303;5 990;6 740;8 139;9 045;10 043;11 707;12 878;14 351;19 957;36,2;2,7;5,3;;;;;;;;
0310;Município;Terras de Bouro;4 400;42 166;39 062;9 583;2 912;4 599;5 179;5 685;6 915;8 253;9 233;10 624;11 561;12 801;17 804;2 908;4 586;5 116;5 636;6 854;8 157;9 107;10 099;10 926;12 050;15 694;33,3;2,6;5,4;;;;;;;;
0313;Município;Vila Verde;31 359;311 122;287 853;9 921;3 278;4 844;5 423;5 998;7 248;8 537;9 303;10 730;11 704;12 907;17 904;3 263;4 820;5 390;5 938;7 157;8 441;9 213;10 320;11 168;12 173;15 980;32,7;2,5;4,9;;;;;;;;
119;NUTS 3;   Ave;306 577;3 431 925;3 125 140;11 194;4 097;5 692;6 349;6 965;8 171;9 009;10 017;11 541;12 605;14 089;20 089;4 078;5 663;6 316;6 920;8 096;8 950;9 683;11 032;11 911;13 107;17 559;32,1;2,3;4,3;;;;;;;;
0304;Município;Cabeceiras de Basto;10 176;96 176;89 189;9 451;2 832;4 506;4 985;5 517;6 713;8 019;8 912;10 243;11 279;12 434;17 208;2 814;4 487;4 968;5 480;6 669;7 915;8 890;9 828;10 731;11 781;15 520;34,1;2,6;5,5;;;;;;;;
0307;Município;Fafe;35 401;360 969;332 945;10 197;3 280;5 004;5 580;6 141;7 318;8 498;9 191;10 588;11 616;12 992;18 993;3 258;4 972;5 559;6 103;7 261;8 431;9 126;10 203;11 109;12 250;16 854;33,6;2,5;5,2;;;;;;;;
0308;Município;Guimarães;116 543;1 353 221;1 224 086;11 611;4 421;6 028;6 681;7 276;8 416;9 102;10 109;11 588;12 665;14 192;20 533;4 403;5 998;6 652;7 233;8 343;9 048;9 767;11 089;11 970;13 195;17 908;31,9;2,2;4,1;;;;;;;;
1705;Município;Mondim de Basto;4 342;39 329;36 573;9 058;2 633;4 386;4 673;5 185;6 244;7 676;8 802;9 953;10 860;11 997;17 079;2 618;4 380;4 656;5 149;6 212;7 591;8 731;9 592;10 280;11 324;15 216;34,4;2,6;5,8;;;;;;;;
0309;Município;Póvoa de Lanhoso;14 167;139 330;128 822;9 835;3 192;4 759;5 389;5 983;7 255;8 511;9 242;10 590;11 509;12 691;17 168;3 182;4 726;5 341;5 933;7 174;8 419;9 157;10 212;10 964;11 914;15 446;32,6;2,5;4,9;;;;;;;;
0311;Município;Vieira do Minho;7 990;75 444;69 697;9 442;2 755;4 445;4 902;5 437;6 488;7 773;8 924;10 390;11 473;12 703;17 646;2 742;4 445;4 893;5 390;6 440;7 643;8 890;9 921;10 830;11 930;15 607;34,7;2,7;5,7;;;;;;;;
0312;Município;Vila Nova de Famalicão;99 885;1 179 060;1 069 105;11 804;4 445;6 112;6 766;7 396;8 611;9 439;10 668;12 356;13 521;15 146;21 255;4 445;6 076;6 717;7 342;8 535;9 315;10 283;11 699;12 642;13 908;18 414;31,3;2,3;4,1;;;;;;;;
0314;Município;Vizela;18 073;188 396;174 723;10 424;4 391;5 891;6 482;7 061;8 208;8 895;9 584;10 768;11 606;12 654;17 355;4 376;5 859;6 448;7 017;8 135;8 890;9 320;10 388;11 108;11 992;15 657;28,8;2,0;3,6;;;;;;;;
11A;NUTS 3;   A. M. Porto;1 259 185;17 224 136;15 021 679;13 679;4 136;5 840;6 602;7 353;8 745;9 882;11 603;14 036;15 778;18 200;27 079;4 109;5 783;6 542;7 271;8 641;9 535;11 039;13 013;14 353;16 156;22 443;36,5;2,8;5,5;;;;;;;;
0104;Município;Arouca;15 012;149 977;138 410;9 990;3 645;4 983;5 489;6 015;7 236;8 462;9 320;10 689;11 725;13 028;17 909;3 613;4 944;5 459;5 959;7 159;8 364;9 207;10 316;11 107;12 217;15 850;31,9;2,5;4,4;;;;;;;;
0107;Município;Espinho;22 618;304 650;265 987;13 469;4 122;5 704;6 423;7 140;8 530;9 602;11 216;13 625;15 431;18 181;27 734;4 099;5 656;6 377;7 065;8 411;9 315;10 715;12 648;14 096;16 110;22 744;36,6;2,8;5,5;;;;;;;;
1304;Município;Gondomar;119 037;1 445 919;1 299 151;12 147;4 002;5 644;6 395;7 125;8 524;9 565;11 107;13 122;14 526;16 450;23 129;3 998;5 610;6 345;7 042;8 416;9 315;10 615;12 300;13 401;14 860;19 780;33,6;2,6;4,9;;;;;;;;
1306;Município;Maia;97 221;1 469 445;1 273 981;15 114;4 550;6 560;7 459;8 285;9 592;11 312;13 428;16 488;18 572;21 424;30 191;4 523;6 494;7 369;8 173;9 315;10 812;12 533;14 884;16 448;18 552;24 581;35,2;2,9;5,4;;;;;;;;
1308;Município;Matosinhos;125 636;1 928 932;1 655 866;15 353;4 512;6 440;7 288;8 064;9 352;10 980;13 028;16 018;18 180;21 130;30 943;4 486;6 386;7 192;7 948;9 205;10 503;12 211;14 534;16 151;18 300;25 007;36,7;2,9;5,6;;;;;;;;
0113;Município;Oliveira de Azeméis;50 813;600 222;542 163;11 812;4 445;5 967;6 627;7 276;8 533;9 500;10 873;12 564;13 711;15 143;20 761;4 437;5 920;6 581;7 195;8 426;9 315;10 405;11 835;12 761;13 890;18 030;31,4;2,3;4,1;;;;;;;;
1310;Município;Paredes;60 562;587 849;542 474;9 707;2 903;4 520;5 010;5 588;6 954;8 299;9 047;10 464;11 437;12 694;17 663;2 891;4 515;4 983;5 548;6 895;8 224;8 986;10 090;10 923;11 957;15 785;34,7;2,6;5,5;;;;;;;;
1312;Município;Porto;164 992;3 137 764;2 543 488;19 018;4 218;6 365;7 346;8 255;9 684;11 865;15 041;20 071;23 596;27 837;40 798;4 171;6 288;7 244;8 124;9 315;11 182;13 683;17 377;19 902;22 785;31 102;41,8;3,6;7,5;;;;;;;;
1313;Município;Póvoa de Varzim;46 174;555 519;495 440;12 031;3 457;5 121;5 826;6 536;8 012;9 029;10 401;12 451;14 014;15 976;24 011;3 428;5 077;5 775;6 478;7 907;8 942;10 012;11 791;13 043;14 552;20 472;36,4;2,9;6,0;;;;;;;;
0109;Município;Santa Maria da Feira;100 464;1 159 412;1 048 393;11 541;4 034;5 553;6 218;6 854;8 166;9 156;10 504;12 222;13 375;14 948;21 169;4 006;5 519;6 171;6 796;8 066;9 070;10 095;11 561;12 515;13 734;18 378;33,0;2,5;4,6;;;;;;;;
1314;Município;Santo Tirso;51 608;595 058;539 498;11 530;4 450;5 875;6 492;7 051;8 207;9 073;10 195;11 804;12 932;14 529;20 614;4 445;5 859;6 460;7 009;8 129;9 006;9 811;11 205;12 166;13 404;17 896;31,8;2,3;4,0;;;;;;;;
0116;Município;São João da Madeira;16 868;214 284;190 694;12 704;4 391;5 946;6 605;7 258;8 536;9 540;11 011;13 033;14 516;16 589;24 699;4 372;5 914;6 566;7 204;8 464;9 316;10 586;12 253;13 441;14 951;20 784;34,1;2,5;4,8;;;;;;;;
1318;Município;Trofa;28 766;334 435;303 073;11 626;4 292;5 886;6 614;7 288;8 549;9 424;10 758;12 396;13 500;14 916;20 716;4 279;5 857;6 570;7 205;8 441;9 315;10 324;11 716;12 603;13 763;17 902;31,3;2,3;4,2;;;;;;;;
0119;Município;Vale de Cambra;16 276;194 448;175 884;11 947;4 427;5 859;6 488;7 106;8 438;9 565;11 079;12 937;14 090;15 572;21 542;4 397;5 791;6 440;7 031;8 316;9 320;10 611;12 141;13 101;14 266;18 722;32,1;2,5;4,3;;;;;;;;
1315;Município;Valongo;68 360;842 681;758 212;12 327;4 134;5 859;6 645;7 395;8 773;9 873;11 473;13 575;14 946;16 800;23 463;4 113;5 813;6 603;7 321;8 665;9 533;10 925;12 628;13 760;15 160;20 062;32,9;2,6;4,9;;;;;;;;
1316;Município;Vila do Conde;58 648;743 675;660 214;12 680;4 120;5 712;6 437;7 133;8 475;9 445;11 065;13 230;14 684;16 729;24 237;4 095;5 667;6 384;7 056;8 366;9 299;10 578;12 395;13 551;15 044;20 624;35,0;2,7;5,0;;;;;;;;
1317;Município;Vila Nova de Gaia;216 130;2 959 867;2 588 752;13 695;4 169;5 893;6 677;7 453;8 862;10 081;11 844;14 314;16 065;18 507;26 947;4 138;5 859;6 621;7 363;8 760;9 707;11 231;13 237;14 585;16 373;22 365;36,0;2,8;5,4;;;;;;;;
11B;NUTS 3;   Alto Tâmega;56 840;577 537;524 581;10 161;2 576;4 391;4 806;5 325;6 507;7 962;9 149;10 917;12 064;13 763;20 213;2 548;4 385;4 792;5 287;6 440;7 816;9 037;10 380;11 373;12 735;17 601;37,5;2,9;6,9;;;;;;;;
1702;Município;Boticas;3 284;29 446;27 420;8 967;2 431;4 294;4 675;5 111;6 178;7 440;8 768;9 798;10 543;11 609;16 475;2 405;4 280;4 670;5 066;6 101;7 352;8 675;9 397;10 089;11 014;14 896;35,6;2,6;6,2;;;;;;;;
1703;Município;Chaves;25 580;293 700;262 704;11 482;2 903;4 675;5 210;5 853;7 320;8 870;10 147;12 181;13 810;16 040;23 865;2 882;4 650;5 178;5 769;7 223;8 754;9 752;11 538;12 769;14 527;20 294;37,9;3,1;7,0;;;;;;;;
1706;Município;Montalegre;6 227;57 949;53 038;9 306;2 356;4 002;4 591;4 961;6 076;7 338;8 890;10 257;11 293;12 690;17 987;2 275;3 972;4 562;4 922;6 065;7 213;8 803;9 809;10 642;11 805;15 839;37,0;3,0;7,0;;;;;;;;
1709;Município;Ribeira de Pena;4 016;37 179;34 342;9 258;2 666;4 305;4 696;5 107;6 214;7 620;8 890;10 150;11 095;12 654;17 732;2 615;4 287;4 671;5 036;6 191;7 548;8 823;9 748;10 584;11 768;15 676;35,3;2,7;6,0;;;;;;;;
