Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por sujeito passivo (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (2019 - 2021);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2020);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2021);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2019;2021;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;;;;;;;;
PT;PT;Portugal;7 445 658;106 920 587;93 094 412;14 360;4 339;6 143;6 997;7 821;9 277;10 540;12 351;14 960;16 831;19 346;28 060;;;;;;4 302;6 082;6 921;7 714;9 168;10 128;11 675;13 768;15 183;17 057;23 264;36,5;36,1;2,8;5,4;3,0;1,3;1,3;0,9;5,3;4,8;4,0;;;;;;;;
1;NUTS 1; Continente;7 113 791;102 341 452;88 945 842;14 386;4 354;6 158;7 004;7 837;9 283;10 555;12 377;14 986;16 851;19 359;28 085;;;;;;4 317;6 096;6 935;7 724;9 174;10 132;11 682;13 770;15 175;17 037;23 217;36,4;36,0;2,8;5,4;3,0;1,3;1,3;0,9;5,2;4,8;4,0;;;;;;;;
11;NUTS 2;  Norte;2 594 770;33 708 503;29 767 044;12 991;4 064;5 729;6 458;7 195;8 675;9 706;11 250;13 400;14 939;17 074;25 207;;;;;;4 026;5 683;6 404;7 120;8 563;9 417;10 755;12 524;13 740;15 351;21 232;36,0;35,5;2,7;5,3;2,9;1,7;2,3;1,2;5,9;3,5;4,8;;;;;;;;
111;NUTS 3;   Alto Minho;169 543;2 000 644;1 802 086;11 800;3 608;5 387;6 045;6 758;8 222;9 427;10 776;12 543;13 819;15 583;22 400;100;100;100;100;100;3 572;5 332;6 010;6 682;8 104;9 310;10 339;11 828;12 870;14 259;19 269;35,0;34,5;2,7;5,4;3,8;2,6;2,9;1,4;6,5;4,7;4,7;;;;;;;;
1601;Município;Arcos de Valdevez;14 940;150 901;138 053;10 100;2 608;4 562;5 076;5 652;6 873;8 359;9 498;10 989;11 913;13 173;18 744;71;84;89;86;84;2 539;4 560;5 041;5 622;6 803;8 226;9 363;10 507;11 281;12 352;16 611;35,7;35,9;2,7;6,5;4,1;2,6;2,1;2,3;4,5;6,2;4,0;;;;;;;;
1602;Município;Caminha;11 980;150 187;132 411;12 536;3 324;5 383;5 989;6 656;8 174;9 456;11 009;13 010;14 376;16 633;24 655;92;99;100;104;110;3 298;5 320;5 922;6 566;8 051;9 310;10 520;12 137;13 320;14 883;20 727;37,6;36,9;2,8;6,3;4,4;2,1;4,1;2,8;6,3;4,7;4,5;;;;;;;;
1603;Município;Melgaço;5 372;56 516;51 285;10 521;2 803;4 890;5 585;6 253;7 553;8 928;9 977;11 518;12 639;13 931;19 400;77;92;95;91;87;2 760;4 784;5 540;6 143;7 401;8 751;9 569;10 839;11 786;12 821;16 900;34,5;34,1;2,7;6,1;4,5;4,4;4,9;3,8;6,2;4,1;4,5;;;;;;;;
