Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;;Nº;Nº;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;
PT;PT;Portugal;5 296 903;100 984 256;88 396 099;19 065;4 704;7 554;8 534;9 032;10 498;12 568;15 586;19 880;22 761;26 348;39 167;4 658;7 500;8 492;9 014;10 129;11 992;14 695;18 452;20 916;23 724;33 212;41,3;3,2;7,1;;;;;;;;
1;NUTS 1; Continente;5 065 122;96 723 893;84 537 614;19 096;4 714;7 559;8 538;9 031;10 504;12 591;15 605;19 894;22 778;26 377;39 191;4 667;7 507;8 495;9 009;10 135;12 003;14 702;18 444;20 907;23 721;33 180;41,3;3,2;7,1;;;;;;;;
11;NUTS 2;  Norte;1 802 934;31 671 209;28 124 149;17 566;4 550;7 287;8 268;8 890;9 969;11 782;14 373;18 096;20 648;23 908;35 413;4 508;7 255;8 237;8 890;9 655;11 319;13 706;17 196;19 276;21 969;30 518;40,4;3,0;6,8;;;;;;;;
111;NUTS 3;   Alto Minho;117 367;1 874 087;1 696 482;15 968;4 302;6 730;7 792;8 679;9 681;11 222;13 456;16 940;19 193;22 079;31 873;4 256;6 700;7 748;8 644;9 373;10 805;12 860;16 050;18 128;20 597;28 151;39,1;3,1;6,6;;;;;;;;
1601;Município;Arcos de Valdevez;10 330;141 414;129 929;13 690;3 579;5 610;6 554;7 525;8 890;9 942;11 590;14 194;16 134;18 575;27 007;3 526;5 593;6 507;7 469;8 890;9 649;11 148;13 596;15 254;17 696;24 493;39,0;3,2;6,9;;;;;;;;
1602;Município;Caminha;8 389;140 862;124 964;16 791;3 959;6 512;7 620;8 600;9 708;11 437;13 718;17 499;19 884;23 055;33 599;3 914;6 443;7 609;8 558;9 391;11 016;13 078;16 443;18 414;21 159;28 739;41,0;3,3;7,3;;;;;;;;
1603;Município;Melgaço;3 776;53 488;48 809;14 165;3 753;6 185;7 277;8 255;9 193;10 534;12 521;15 115;17 066;19 575;28 195;3 703;6 115;7 241;8 218;9 181;10 136;11 941;14 359;16 204;18 251;25 083;37,4;3,0;6,8;;;;;;;;
1604;Município;Monção;8 683;127 979;116 784;14 739;4 002;6 365;7 505;8 439;9 304;10 700;12 553;15 532;17 576;20 176;29 082;3 997;6 315;7 449;8 414;9 265;10 333;12 019;14 716;16 558;18 851;25 892;38,3;3,0;6,5;;;;;;;;
1605;Município;Paredes de Coura;4 370;60 751;56 446;13 902;4 391;6 356;7 297;8 159;9 213;10 480;12 237;14 967;16 873;19 179;26 072;4 334;6 321;7 273;8 123;9 191;10 153;11 788;14 334;16 021;18 360;24 057;36,4;2,9;5,6;;;;;;;;
1606;Município;Ponte da Barca;5 718;76 750;71 064;13 423;3 601;5 610;6 533;7 433;8 887;9 793;11 204;13 761;15 581;18 311;26 379;3 587;5 569;6 478;7 408;8 874;9 480;10 815;13 162;14 927;17 554;23 827;39,1;3,2;6,6;;;;;;;;
1607;Município;Ponte de Lima;20 141;297 501;274 311;14 771;4 391;6 728;7 735;8 565;9 389;10 665;12 520;15 707;17 765;20 002;28 158;4 391;6 713;7 713;8 542;9 318;10 351;12 082;15 063;17 058;19 031;25 648;37,5;2,8;5,8;;;;;;;;
1608;Município;Valença;7 134;102 712;94 905;14 398;4 002;6 660;7 600;8 429;9 468;10 875;12 747;15 641;17 567;20 328;27 841;3 990;6 633;7 592;8 383;9 321;10 516;12 202;14 893;16 661;18 944;25 155;36,8;2,9;6,3;;;;;;;;
1609;Município;Viana do Castelo;44 117;799 368;712 405;18 119;4 792;7 497;8 537;9 077;10 531;12 500;15 409;19 531;22 185;25 621;37 119;4 792;7 452;8 486;9 044;10 169;11 952;14 559;18 300;20 631;23 316;31 897;39,6;3,1;6,7;;;;;;;;
1610;Município;Vila Nova de Cerveira;4 709;73 263;66 865;15 558;4 306;7 178;8 126;8 886;9 946;11 524;13 818;17 026;19 002;21 628;30 551;4 252;7 087;8 084;8 852;9 583;11 054;13 102;16 063;17 949;20 352;27 146;37,3;2,9;6,4;;;;;;;;
112;NUTS 3;   Cávado;202 689;3 596 140;3 213 405;17 742;4 802;7 620;8 566;8 956;10 150;12 002;14 720;18 478;20 991;24 136;35 502;4 792;7 604;8 533;8 934;9 821;11 533;14 047;17 671;19 674;22 298;30 686;39,8;2,9;6,4;;;;;;;;
0301;Município;Amares;8 845;135 585;124 611;15 329;4 496;7 276;8 237;8 890;9 714;11 196;13 155;16 709;18 531;20 978;29 452;4 475;7 223;8 183;8 880;9 399;10 808;12 653;15 950;17 806;19 860;26 634;36,9;2,7;6,0;;;;;;;;
0302;Município;Barcelos;57 231;879 438;807 338;15 366;4 978;7 557;8 422;8 890;9 667;11 111;13 299;16 650;18 295;20 554;28 660;4 938;7 515;8 392;8 890;9 349;10 712;12 768;15 831;17 712;19 496;26 005;36,2;2,6;5,3;;;;;;;;
0303;Município;Braga;94 726;1 921 714;1 683 118;20 287;5 029;7 988;8 883;9 325;11 066;13 423;16 881;21 516;24 607;28 382;42 519;4 990;7 957;8 853;9 296;10 651;12 810;15 924;20 029;22 466;25 387;35 504;41,4;3,2;7,1;;;;;;;;
0306;Município;Esposende;17 321;306 114;271 424;17 673;4 792;7 418;8 359;8 890;9 861;11 686;14 261;17 905;20 277;23 508;34 997;4 756;7 379;8 316;8 890;9 541;11 175;13 558;17 174;19 058;21 781;30 300;40,5;3,0;6,4;;;;;;;;
0310;Município;Terras de Bouro;3 078;42 166;39 062;13 699;3 704;6 263;7 326;8 110;9 092;10 200;11 861;14 775;16 879;19 159;26 588;3 666;6 253;7 281;8 095;9 056;9 855;11 492;14 097;16 014;18 162;24 167;36,9;2,9;6,6;;;;;;;;
0313;Município;Vila Verde;21 488;311 122;287 853;14 479;4 245;6 876;7 871;8 636;9 330;10 624;12 503;15 557;17 504;19 693;27 772;4 216;6 854;7 830;8 614;9 304;10 269;12 033;14 861;16 720;18 701;25 337;36,9;2,7;6,0;;;;;;;;
119;NUTS 3;   Ave;213 476;3 431 925;3 125 140;16 076;4 948;7 630;8 526;8 890;9 881;11 515;13 740;16 968;18 787;21 414;30 559;4 922;7 620;8 499;8 890;9 558;11 082;13 208;16 248;18 047;20 271;27 341;37,3;2,7;5,6;;;;;;;;
0304;Município;Cabeceiras de Basto;6 962;96 176;89 189;13 814;4 002;6 365;7 330;8 129;8 956;10 021;11 736;14 625;16 648;18 780;27 171;3 990;6 322;7 292;8 102;8 939;9 735;11 343;14 078;15 854;17 921;24 694;37,4;2,8;6,2;;;;;;;;
0307;Município;Fafe;24 657;360 969;332 945;14 640;4 208;6 704;7 647;8 446;9 179;10 500;12 428;15 363;17 354;19 416;28 132;4 180;6 679;7 620;8 426;9 158;10 187;11 976;14 785;16 751;18 534;25 653;38,0;2,8;6,1;;;;;;;;
0308;Município;Guimarães;81 521;1 353 221;1 224 086;16 600;5 362;7 993;8 710;9 006;10 057;11 741;14 025;17 239;18 969;21 536;30 938;5 328;7 958;8 685;8 990;9 704;11 305;13 520;16 555;18 200;20 429;27 647;37,3;2,6;5,2;;;;;;;;
1705;Município;Mondim de Basto;3 027;39 329;36 573;12 993;3 678;5 959;7 019;7 743;8 859;9 618;11 136;13 514;15 862;17 691;25 286;3 655;5 949;6 992;7 701;8 839;9 344;10 756;12 979;14 867;17 028;22 875;36,8;2,9;6,3;;;;;;;;
0309;Município;Póvoa de Lanhoso;9 719;139 330;128 822;14 336;4 171;7 005;7 971;8 656;9 270;10 621;12 538;15 378;17 179;19 332;26 797;4 148;6 973;7 958;8 635;9 249;10 294;12 056;14 620;16 545;18 477;24 494;36,3;2,6;5,9;;;;;;;;
0311;Município;Vieira do Minho;5 535;75 444;69 697;13 630;3 712;5 960;6 954;7 780;8 921;10 048;11 803;14 532;16 322;18 844;26 958;3 686;5 955;6 940;7 755;8 898;9 785;11 426;13 981;15 496;17 980;24 386;37,9;3,0;6,6;;;;;;;;
0312;Município;Vila Nova de Famalicão;69 375;1 179 060;1 069 105;16 995;5 398;8 022;8 794;9 151;10 426;12 245;14 661;18 090;20 409;23 148;32 856;5 358;7 995;8 773;9 134;10 039;11 743;14 057;17 388;19 298;21 731;29 034;37,1;2,7;5,4;;;;;;;;
0314;Município;Vizela;12 680;188 396;174 723;14 858;5 317;7 958;8 632;8 890;9 743;11 161;13 132;16 061;17 770;19 480;26 718;5 286;7 936;8 619;8 890;9 412;10 753;12 709;15 448;17 294;18 687;24 552;34,5;2,4;4,6;;;;;;;;
11A;NUTS 3;   A. M. Porto;896 050;17 224 136;15 021 679;19 222;4 781;7 620;8 582;9 052;10 538;12 584;15 512;19 750;22 674;26 327;39 409;4 733;7 590;8 547;9 031;10 164;12 023;14 667;18 390;20 879;23 719;33 261;41,4;3,1;7,0;;;;;;;;
0104;Município;Arouca;10 210;149 977;138 410;14 689;4 792;7 139;8 011;8 745;9 520;10 813;12 826;15 825;17 738;19 867;27 837;4 749;7 114;7 995;8 714;9 315;10 511;12 337;15 041;16 888;18 854;25 408;35,8;2,7;5,4;;;;;;;;
0107;Município;Espinho;16 184;304 650;265 987;18 824;4 826;7 604;8 501;9 031;10 406;12 313;14 988;18 987;21 757;25 618;39 460;4 792;7 553;8 469;9 000;10 042;11 785;14 175;17 734;20 134;23 031;32 994;41,0;3,0;6,9;;;;;;;;
1304;Município;Gondomar;83 735;1 445 919;1 299 151;17 268;4 667;7 516;8 496;8 988;10 316;12 197;14 826;18 667;21 191;24 288;34 833;4 635;7 480;8 471;8 962;9 984;11 702;14 098;17 557;19 736;22 277;30 351;38,9;3,0;6,5;;;;;;;;
1306;Município;Maia;68 072;1 469 445;1 273 981;21 587;5 279;8 310;9 005;9 729;11 760;14 516;18 317;23 638;26 903;31 137;45 892;5 238;8 255;8 965;9 418;11 256;13 735;17 100;21 624;24 185;27 426;38 216;41,1;3,3;7,3;;;;;;;;
1308;Município;Matosinhos;89 938;1 928 932;1 655 866;21 447;5 129;8 118;8 890;9 569;11 533;14 024;17 477;22 452;25 758;29 830;45 155;5 079;8 063;8 890;9 315;11 042;13 326;16 313;20 547;23 092;26 247;37 056;41,8;3,3;7,3;;;;;;;;
0113;Município;Oliveira de Azeméis;35 117;600 222;542 163;17 092;5 476;7 977;8 785;9 201;10 500;12 188;14 572;17 978;20 503;23 387;32 467;5 428;7 958;8 755;9 175;10 121;11 687;13 863;17 105;19 205;21 849;28 843;37,1;2,7;5,3;;;;;;;;
1310;Município;Paredes;41 945;587 849;542 474;14 015;3 364;6 256;7 395;8 255;9 007;10 192;11 996;15 036;17 002;18 976;27 365;3 346;6 253;7 363;8 225;8 988;9 881;11 519;14 366;16 365;18 173;24 817;38,8;2,9;7,4;;;;;;;;
1312;Município;Porto;126 548;3 137 764;2 543 488;24 795;4 323;7 332;8 449;9 078;10 980;13 761;17 957;24 701;29 161;35 000;55 370;4 259;7 261;8 379;9 030;10 509;12 925;16 450;21 656;24 847;28 896;43 415;47,4;4,0;10,2;;;;;;;;
1313;Município;Póvoa de Varzim;32 475;555 519;495 440;17 106;4 200;6 854;7 897;8 678;9 656;11 486;14 118;17 791;20 260;23 541;34 728;4 158;6 820;7 844;8 655;9 358;11 054;13 456;16 946;18 951;21 724;30 102;40,8;3,2;7,2;;;;;;;;
0109;Município;Santa Maria da Feira;69 723;1 159 412;1 048 393;16 629;4 792;7 481;8 411;8 899;10 122;11 796;14 039;17 479;19 725;22 699;32 211;4 792;7 449;8 381;8 890;9 790;11 326;13 420;16 610;18 619;21 199;28 548;38,2;2,8;6,0;;;;;;;;
1314;Município;Santo Tirso;36 027;595 058;539 498;16 517;5 585;8 001;8 752;9 074;10 213;11 781;13 885;16 871;18 711;21 561;31 210;5 572;7 994;8 731;9 056;9 847;11 321;13 392;16 107;17 921;20 303;27 837;36,9;2,5;5,0;;;;;;;;
0116;Município;São João da Madeira;12 236;214 284;190 694;17 513;4 792;7 366;8 314;8 890;10 163;11 784;14 115;17 714;20 471;23 900;35 215;4 792;7 345;8 273;8 890;9 784;11 305;13 503;16 834;19 061;21 840;30 492;39,9;3,0;6,4;;;;;;;;
1318;Município;Trofa;20 028;334 435;303 073;16 698;5 142;7 943;8 737;9 100;10 390;12 135;14 500;17 886;20 129;22 843;31 813;5 098;7 892;8 715;9 084;10 020;11 632;13 816;16 981;18 996;21 440;28 245;36,9;2,7;5,5;;;;;;;;
0119;Município;Vale de Cambra;11 161;194 448;175 884;17 422;5 466;7 930;8 773;9 267;10 740;12 528;14 923;18 563;21 027;24 064;33 861;5 457;7 908;8 743;9 246;10 392;12 009;14 113;17 453;19 738;22 473;29 988;37,3;2,8;5,5;;;;;;;;
1315;Município;Valongo;48 126;842 681;758 212;17 510;4 721;7 620;8 596;9 070;10 534;12 529;15 330;19 265;21 840;24 973;35 143;4 697;7 620;8 572;9 041;10 166;11 986;14 512;18 031;20 307;22 861;30 738;38,6;3,0;6,5;;;;;;;;
1316;Município;Vila do Conde;40 888;743 675;660 214;18 188;4 891;7 584;8 498;8 960;10 343;12 343;15 104;18 853;21 578;25 017;36 456;4 853;7 539;8 458;8 930;9 993;11 841;14 375;17 815;20 103;22 887;31 508;40,0;3,0;6,5;;;;;;;;
1317;Município;Vila Nova de Gaia;153 637;2 959 867;2 588 752;19 265;4 791;7 691;8 674;9 151;10 753;12 816;15 832;20 176;23 076;26 690;39 476;4 742;7 647;8 636;9 120;10 365;12 248;14 941;18 729;21 184;23 976;33 381;41,0;3,1;7,0;;;;;;;;
11B;NUTS 3;Alto Tâmega e Barroso;39 030;577 537;524 581;14 797;3 717;5 963;6 854;7 758;9 006;10 224;12 190;15 588;17 843;20 664;30 212;3 683;5 932;6 812;7 720;8 978;9 911;11 719;14 765;16 908;19 244;26 756;40,1;3,2;7,3;;;;;;;;
1702;Município;Boticas;2 255;29 446;27 420;13 058;3 485;5 606;6 365;7 238;8 837;9 585;11 036;13 503;15 347;17 736;24 758;3 401;5 596;6 341;7 204;8 794;9 343;10 626;13 024;14 847;17 010;23 003;38,8;3,0;6,8;;;;;;;;
1703;Município;Chaves;17 702;293 700;262 704;16 591;3 884;6 277;7 400;8 404;9 421;11 104;13 757;17 810;20 550;23 734;34 988;3 833;6 256;7 357;8 370;9 315;10 724;13 089;16 858;19 021;21 556;30 209;41,2;3,4;7,9;;;;;;;;
1706;Município;Montalegre;4 321;57 949;53 038;13 411;3 679;5 778;6 430;7 123;8 795;9 654;11 279;14 068;16 154;18 769;27 000;3 633;5 723;6 365;7 087;8 757;9 411;10 838;13 389;15 157;17 397;23 862;38,5;3,0;6,6;;;;;;;;
1709;Município;Ribeira de Pena;2 764;37 179;34 342;13 451;3 771;5 874;6 855;7 787;8 913;9 861;11 550;14 334;16 359;18 298;26 388;3 701;5 864;6 783;7 731;8 890;9 659;10 991;13 611;15 291;17 444;23 844;37,6;3,0;6,4;;;;;;;;
