Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
PT;PT;Portugal;5 765 382;125 976 735;109 664 774;21 851;5 347;8 563;9 658;10 631;12 178;14 660;18 165;22 990;26 056;29 980;44 477;;;;;;5 316;8 488;9 572;10 539;11 732;13 842;16 918;21 323;23 846;26 912;37 474;41,1;40,9;3,2;7,0;5,4;4,4;5,4;3,6;3,9;5,5;6,2;;;;;;;;
1;NUTS 1; Continente;5 510 285;120 496 294;104 667 667;21 868;5 330;8 553;9 649;10 622;12 178;14 673;18 181;22 994;26 060;29 989;44 486;;;;;;5 299;8 475;9 561;10 532;11 722;13 839;16 912;21 303;23 811;26 873;37 392;41,1;40,9;3,2;7,1;5,4;4,2;5,4;3,5;3,8;5,4;6,1;;;;;;;;
11;NUTS 2;  Norte;1 930 590;39 760 592;35 070 231;20 595;5 400;8 445;9 561;10 523;11 870;14 118;17 303;21 793;24 473;27 942;41 125;;;;;;5 347;8 384;9 482;10 442;11 508;13 407;16 297;20 515;22 793;25 540;35 172;40,2;39,8;3,0;6,6;6,6;5,2;7,0;5,1;4,5;6,2;7,3;;;;;;;;
111;NUTS 3;   Alto Minho;126 059;2 357 904;2 122 997;18 705;5 014;7 893;9 120;10 176;11 515;13 462;16 167;20 481;22 996;26 063;36 918;100;100;100;100;100;4 966;7 828;9 054;10 080;11 264;12 809;15 301;19 173;21 662;24 150;32 306;39,0;38,5;3,1;6,5;6,4;5,2;6,0;6,0;5,3;6,7;7,6;;;;;;;;
1601;Município;Arcos de Valdevez;10 947;176 851;161 915;16 155;4 201;6 681;7 777;8 890;10 640;11 866;14 028;17 415;19 785;22 574;31 322;84;85;88;86;85;4 151;6 635;7 715;8 842;10 568;11 521;13 390;16 439;18 564;21 365;28 316;39,5;38,5;3,2;6,8;7,6;7,7;7,3;8,0;6,9;7,9;7,3;;;;;;;;
1602;Município;Caminha;8 951;173 895;153 931;19 427;4 770;7 491;8 794;9 863;11 447;13 589;16 390;20 993;23 513;26 851;38 789;95;96;101;102;105;4 665;7 443;8 743;9 778;11 198;12 939;15 497;19 474;21 875;24 514;33 365;41,0;40,2;3,3;7,2;6,0;4,3;4,3;5,4;5,7;7,8;6,2;;;;;;;;
1603;Município;Melgaço;3 940;63 531;57 841;16 125;4 199;6 975;8 342;9 411;10 802;12 357;14 487;17 794;20 097;22 944;31 434;84;91;92;87;85;4 043;6 923;8 279;9 309;10 733;11 827;13 767;16 661;18 782;21 370;27 789;37,2;36,6;3,1;6,9;6,5;5,1;5,7;6,9;4,4;7,3;6,7;;;;;;;;
1604;Município;Monção;9 526;162 058;147 692;17 012;4 430;7 492;8 792;9 791;10 987;12 713;14 991;18 636;21 140;23 811;33 292;88;96;94;92;90;4 331;7 386;8 724;9 694;10 847;12 171;14 235;17 487;19 877;22 251;29 476;37,6;37,4;3,0;6,8;5,3;3,5;4,7;5,3;5,0;5,9;6,8;;;;;;;;
1605;Município;Paredes de Coura;4 548;75 997;70 198;16 710;5 145;7 486;8 705;9 837;11 088;12 840;15 191;18 763;21 183;23 492;31 763;103;95;95;92;86;5 120;7 475;8 692;9 760;10 935;12 311;14 390;17 740;19 995;22 382;28 836;36,9;36,1;3,0;5,6;7,4;6,4;6,6;3,8;7,8;8,1;12,0;;;;;;;;
1606;Município;Ponte da Barca;5 881;93 705;86 159;15 933;4 304;6 793;7 874;8 888;10 640;11 819;13 709;16 956;19 458;22 279;30 981;86;86;88;85;84;4 257;6 759;7 794;8 834;10 600;11 519;13 121;16 026;18 141;21 382;27 869;38,6;38,0;3,2;6,5;8,6;5,7;7,9;7,8;7,0;9,2;8,6;;;;;;;;
1607;Município;Ponte de Lima;21 525;383 647;350 960;17 823;5 202;8 004;9 135;10 146;11 361;13 076;15 533;19 521;21 953;24 536;33 858;104;100;97;95;92;5 153;7 956;9 120;10 069;11 165;12 482;14 781;18 531;20 946;23 231;30 455;37,4;37,2;2,9;5,9;7,5;5,8;8,1;7,5;5,4;6,9;9,0;;;;;;;;
1608;Município;Valença;8 122;134 045;123 232;16 504;4 556;7 504;8 752;9 784;11 200;12 828;14 840;18 344;20 753;23 487;31 213;91;96;95;90;85;4 474;7 451;8 665;9 701;11 011;12 210;14 163;17 168;19 414;22 125;28 179;36,9;36,2;3,0;6,3;5,7;4,2;4,2;4,0;4,5;7,2;6,0;;;;;;;;
1609;Município;Viana do Castelo;47 332;1 001 642;886 675;21 162;5 548;8 748;9 975;10 732;12 572;14 932;18 347;23 159;26 102;29 650;43 152;111;109;111;114;117;5 488;8 667;9 876;10 665;12 016;14 097;17 210;21 704;24 055;26 916;36 705;39,2;38,9;3,1;6,7;5,9;5,2;5,5;4,2;4,9;6,3;7,0;;;;;;;;
1610;Município;Vila Nova de Cerveira;5 287;92 533;84 395;17 502;4 517;7 740;8 973;9 980;11 398;13 205;15 763;19 531;22 080;24 779;34 060;90;98;98;96;92;4 485;7 685;8 957;9 899;11 137;12 531;14 834;18 363;20 721;23 077;30 199;37,8;37,3;3,0;6,7;4,6;3,5;4,2;5,7;3,5;4,9;5,2;;;;;;;;
112;NUTS 3;   Cávado;220 772;4 625 390;4 099 162;20 951;5 600;8 755;9 895;10 640;12 109;14 514;17 963;22 405;25 042;28 495;41 703;100;100;100;100;100;5 549;8 684;9 826;10 640;11 701;13 781;16 863;21 255;23 444;26 110;35 753;39,5;39,4;3,0;6,4;6,8;4,8;6,8;4,9;5,2;6,9;7,8;;;;;;;;
0301;Município;Amares;9 633;177 468;161 897;18 423;5 361;8 562;9 665;10 604;11 647;13 650;16 613;20 830;22 957;25 756;35 337;96;98;94;92;85;5 321;8 499;9 570;10 520;11 395;13 019;15 771;19 754;21 891;24 134;31 476;36,9;36,5;2,8;5,9;7,2;6,1;7,8;7,4;4,9;6,7;8,7;;;;;;;;
0302;Município;Barcelos;61 166;1 127 798;1 027 550;18 438;5 870;8 696;9 760;10 570;11 580;13 566;16 442;20 648;22 549;24 935;34 207;105;99;93;90;82;5 822;8 632;9 690;10 507;11 303;12 940;15 628;19 470;21 588;23 630;30 632;36,1;36,0;2,7;5,3;7,5;4,9;7,9;7,0;4,6;7,1;8,4;;;;;;;;
0303;Município;Braga;103 599;2 450 959;2 126 227;23 658;5 677;9 068;10 275;10 928;13 072;15 929;19 994;25 227;28 560;32 871;48 832;101;104;110;114;117;5 621;8 997;10 194;10 822;12 443;15 041;18 689;23 395;25 945;29 100;40 703;41,0;41,1;3,2;7,2;6,0;4,4;5,6;3,7;5,7;6,4;6,5;;;;;;;;
0306;Município;Esposende;19 280;399 252;352 681;20 708;5 500;8 587;9 779;10 627;11 843;14 262;17 525;21 932;24 461;27 858;41 320;98;99;98;98;99;5 440;8 540;9 703;10 556;11 489;13 513;16 381;20 824;22 870;25 711;35 300;40,1;39,5;3,0;6,5;7,3;6,0;7,2;6,0;5,3;7,5;8,1;;;;;;;;
0310;Município;Terras de Bouro;3 237;52 002;48 085;16 065;4 738;7 369;8 611;9 428;10 745;12 302;14 521;17 931;20 337;22 814;31 100;85;87;85;81;75;4 673;7 359;8 547;9 384;10 668;11 919;13 857;16 751;19 076;21 583;27 871;37,1;35,8;2,9;6,0;7,3;6,5;6,0;7,8;5,6;8,6;8,6;;;;;;;;
0313;Município;Vila Verde;23 857;417 912;382 722;17 517;5 088;8 013;9 149;10 143;11 200;12 889;15 402;19 504;21 664;24 272;33 745;91;92;89;87;81;5 046;7 955;9 120;10 066;11 020;12 347;14 629;18 303;20 786;22 944;30 269;37,0;36,8;2,9;6,0;7,2;6,5;7,8;8,1;5,3;6,6;7,9;;;;;;;;
119;NUTS 3;   Ave;227 257;4 357 302;3 940 525;19 173;5 882;8 834;9 880;10 640;11 898;14 000;16 830;20 984;23 077;25 734;36 291;100;100;100;100;100;5 825;8 781;9 828;10 591;11 522;13 355;16 070;19 901;21 990;24 202;31 980;37,3;36,9;2,8;5,5;7,4;5,8;8,5;7,1;4,5;6,3;8,3;;;;;;;;
0304;Município;Cabeceiras de Basto;7 480;121 294;112 255;16 216;5 014;7 617;8 652;9 397;10 640;11 906;14 191;17 879;20 077;22 522;31 433;85;88;85;87;87;4 984;7 578;8 606;9 345;10 640;11 579;13 576;16 869;19 067;21 436;28 395;37,5;36,3;2,8;5,7;6,9;7,0;6,9;8,9;5,8;6,9;5,2;;;;;;;;
0307;Município;Fafe;26 252;455 232;416 932;17 341;5 053;7 880;9 056;9 941;10 951;12 605;15 028;18 833;21 141;23 444;33 179;86;92;90;92;91;5 014;7 814;9 010;9 890;10 858;12 140;14 433;17 919;20 180;22 386;29 661;38,0;37,4;2,9;5,9;7,2;6,1;8,1;8,4;5,9;6,3;7,2;;;;;;;;
