Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;%;Nº;Nº;;;;;;;;
PT;PT;Portugal;7 445 658;106 920 587;93 094 412;14 360;4 339;6 143;6 997;7 821;9 277;10 540;12 351;14 960;16 831;19 346;28 060;4 302;6 082;6 921;7 714;9 168;10 128;11 675;13 768;15 183;17 057;23 264;36,1;2,8;5,4;;;;;;;;
1;NUTS 1; Continente;7 113 791;102 341 452;88 945 842;14 386;4 354;6 158;7 004;7 837;9 283;10 555;12 377;14 986;16 851;19 359;28 085;4 317;6 096;6 935;7 724;9 174;10 132;11 682;13 770;15 175;17 037;23 217;36,0;2,8;5,4;;;;;;;;
11;NUTS 2;  Norte;2 594 770;33 708 503;29 767 044;12 991;4 064;5 729;6 458;7 195;8 675;9 706;11 250;13 400;14 939;17 074;25 207;4 026;5 683;6 404;7 120;8 563;9 417;10 755;12 524;13 740;15 351;21 232;35,5;2,7;5,3;;;;;;;;
111;NUTS 3;   Alto Minho;169 543;2 000 644;1 802 086;11 800;3 608;5 387;6 045;6 758;8 222;9 427;10 776;12 543;13 819;15 583;22 400;3 572;5 332;6 010;6 682;8 104;9 310;10 339;11 828;12 870;14 259;19 269;34,5;2,7;5,4;;;;;;;;
1601;Município;Arcos de Valdevez;14 940;150 901;138 053;10 100;2 608;4 562;5 076;5 652;6 873;8 359;9 498;10 989;11 913;13 173;18 744;2 539;4 560;5 041;5 622;6 803;8 226;9 363;10 507;11 281;12 352;16 611;35,9;2,7;6,5;;;;;;;;
1602;Município;Caminha;11 980;150 187;132 411;12 536;3 324;5 383;5 989;6 656;8 174;9 456;11 009;13 010;14 376;16 633;24 655;3 298;5 320;5 922;6 566;8 051;9 310;10 520;12 137;13 320;14 883;20 727;36,9;2,8;6,3;;;;;;;;
1603;Município;Melgaço;5 372;56 516;51 285;10 521;2 803;4 890;5 585;6 253;7 553;8 928;9 977;11 518;12 639;13 931;19 400;2 760;4 784;5 540;6 143;7 401;8 751;9 569;10 839;11 786;12 821;16 900;34,1;2,7;6,1;;;;;;;;
1604;Município;Monção;12 412;136 941;124 471;11 033;3 285;5 219;5 848;6 485;7 912;9 215;10 227;11 762;12 946;14 536;20 740;3 257;5 181;5 787;6 410;7 802;9 068;9 826;11 155;12 060;13 442;18 078;34,0;2,6;5,6;;;;;;;;
1605;Município;Paredes de Coura;6 368;64 622;59 619;10 148;3 258;4 995;5 558;6 111;7 296;8 637;9 837;11 203;12 034;13 229;17 791;3 253;4 966;5 520;6 025;7 214;8 503;9 486;10 702;11 473;12 367;15 860;32,8;2,5;4,9;;;;;;;;
1606;Município;Ponte da Barca;8 192;80 835;74 806;9 868;2 690;4 562;5 034;5 611;6 848;8 290;9 439;10 808;11 720;12 952;18 244;2 640;4 560;4 999;5 574;6 787;8 196;9 348;10 421;11 222;12 230;16 333;35,2;2,7;6,2;;;;;;;;
1607;Município;Ponte de Lima;29 544;320 140;292 938;10 836;3 722;5 180;5 744;6 400;7 749;9 102;10 088;11 471;12 478;13 863;19 335;3 665;5 138;5 705;6 342;7 658;9 008;9 748;10 992;11 808;12 956;17 212;33,2;2,5;4,7;;;;;;;;
1608;Município;Valença;10 134;110 590;101 751;10 913;3 542;5 495;6 166;6 840;8 290;9 390;10 648;12 077;13 044;14 434;19 218;3 471;5 445;6 096;6 758;8 164;9 310;10 232;11 444;12 265;13 440;16 974;31,7;2,5;4,9;;;;;;;;
1609;Município;Viana do Castelo;63 831;850 963;754 913;13 332;4 274;6 032;6 839;7 633;9 172;10 363;11 989;14 254;15 884;18 034;26 120;4 227;6 004;6 764;7 519;9 032;10 002;11 376;13 217;14 517;16 106;21 918;34,1;2,7;5,2;;;;;;;;
1610;Município;Vila Nova de Cerveira;6 770;78 949;71 837;11 662;3 710;5 658;6 479;7 222;8 576;9 661;11 025;12 756;13 916;15 301;21 028;3 637;5 595;6 409;7 128;8 484;9 424;10 541;12 010;13 035;14 215;18 370;32,7;2,5;5,1;;;;;;;;
112;NUTS 3;   Cávado;296 269;3 864 580;3 429 233;13 044;4 322;5 958;6 724;7 468;8 945;9 897;11 376;13 496;15 004;17 086;25 278;4 282;5 908;6 655;7 381;8 833;9 567;10 879;12 627;13 828;15 402;21 315;34,4;2,6;5,0;;;;;;;;
0301;Município;Amares;13 255;148 182;135 202;11 179;3 891;5 422;6 037;6 724;8 146;9 310;10 394;12 026;13 202;14 654;20 454;3 842;5 374;6 001;6 653;8 041;9 300;9 997;11 482;12 389;13 590;17 906;32,2;2,5;4,7;;;;;;;;
0302;Município;Barcelos;83 772;948 845;865 084;11 327;4 410;5 827;6 506;7 165;8 554;9 390;10 421;11 880;12 939;14 310;19 756;4 373;5 782;6 453;7 096;8 439;9 310;10 049;11 308;12 163;13 275;17 278;30,7;2,3;4,0;;;;;;;;
0303;Município;Braga;136 809;2 051 934;1 783 134;14 999;4 655;6 528;7 385;8 223;9 513;10 993;12 913;15 745;17 866;20 868;30 017;4 627;6 469;7 309;8 113;9 391;10 566;12 184;14 416;15 994;18 154;24 600;35,5;2,8;5,3;;;;;;;;
0306;Município;Esposende;25 515;330 007;291 123;12 934;4 039;5 642;6 393;7 174;8 787;9 704;11 192;13 270;14 756;16 742;24 658;4 006;5 583;6 327;7 087;8 648;9 415;10 690;12 437;13 600;15 059;20 817;35,5;2,7;5,2;;;;;;;;
0310;Município;Terras de Bouro;4 521;45 626;42 035;10 092;3 035;4 813;5 490;6 075;7 264;8 616;9 635;11 131;12 022;13 580;18 176;3 018;4 763;5 469;6 030;7 189;8 487;9 415;10 551;11 344;12 680;16 168;33,1;2,7;5,4;;;;;;;;
0313;Município;Vila Verde;32 397;339 987;312 655;10 494;3 502;5 114;5 736;6 360;7 721;9 022;9 844;11 386;12 395;13 769;19 033;3 462;5 081;5 687;6 300;7 604;8 910;9 532;10 889;11 735;12 869;16 813;32,5;2,5;4,9;;;;;;;;
119;NUTS 3;   Ave;310 861;3 687 611;3 339 116;11 863;4 408;6 028;6 708;7 340;8 645;9 506;10 702;12 337;13 511;15 050;21 296;4 374;6 015;6 665;7 280;8 549;9 405;10 295;11 698;12 645;13 879;18 469;31,9;2,3;4,2;;;;;;;;
0304;Município;Cabeceiras de Basto;10 362;102 901;95 196;9 931;3 017;4 777;5 278;5 847;7 114;8 424;9 351;10 652;11 710;13 124;18 269;3 014;4 711;5 250;5 805;7 045;8 318;9 310;10 231;11 156;12 310;16 268;33,8;2,6;5,4;;;;;;;;
0307;Município;Fafe;36 104;387 227;354 837;10 725;3 467;5 216;5 874;6 433;7 729;8 991;9 705;11 209;12 246;13 766;19 948;3 415;5 180;5 829;6 399;7 660;8 908;9 425;10 757;11 648;12 872;17 527;33,4;2,5;5,1;;;;;;;;
0308;Município;Guimarães;117 847;1 451 405;1 305 506;12 316;4 716;6 404;7 028;7 639;8 894;9 655;10 858;12 485;13 633;15 204;21 855;4 704;6 365;6 993;7 581;8 792;9 415;10 443;11 823;12 767;14 000;18 903;31,6;2,2;4,0;;;;;;;;
1705;Município;Mondim de Basto;4 425;41 974;38 855;9 486;2 763;4 571;4 902;5 448;6 647;8 093;9 306;10 357;11 193;12 613;17 715;2 744;4 562;4 883;5 417;6 612;8 006;9 207;9 876;10 632;11 861;15 679;34,2;2,6;5,7;;;;;;;;
0309;Município;Póvoa de Lanhoso;14 593;152 289;140 414;10 436;3 303;5 091;5 734;6 345;7 761;9 046;9 800;11 180;12 169;13 542;18 203;3 244;5 054;5 680;6 287;7 631;8 972;9 466;10 715;11 519;12 618;16 198;33,0;2,5;5,0;;;;;;;;
0311;Município;Vieira do Minho;8 090;80 528;74 275;9 954;2 993;4 693;5 148;5 688;6 937;8 277;9 381;10 966;11 954;13 291;18 485;2 968;4 671;5 139;5 673;6 825;8 157;9 310;10 429;11 287;12 427;16 467;34,3;2,7;5,5;;;;;;;;
0312;Município;Vila Nova de Famalicão;101 033;1 265 123;1 140 441;12 522;4 756;6 471;7 141;7 809;9 107;10 038;11 401;13 209;14 500;16 220;22 628;4 708;6 439;7 094;7 734;9 008;9 700;10 905;12 408;13 424;14 759;19 426;31,0;2,3;4,1;;;;;;;;
0314;Município;Vizela;18 407;206 165;189 592;11 200;4 674;6 240;6 864;7 443;8 777;9 432;10 395;11 674;12 585;13 869;18 686;4 660;6 215;6 835;7 392;8 692;9 363;10 025;11 175;11 909;12 959;16 620;28,8;2,1;3,6;;;;;;;;
11A;NUTS 3;   A. M. Porto;1 269 337;18 258 429;15 829 462;14 384;4 431;6 153;6 962;7 747;9 203;10 443;12 228;14 787;16 650;19 200;28 225;4 395;6 095;6 889;7 642;9 079;10 029;11 569;13 607;15 006;16 896;23 261;36,2;2,8;5,3;;;;;;;;
0104;Município;Arouca;15 218;162 013;148 355;10 646;3 857;5 295;5 871;6 433;7 709;8 949;9 887;11 377;12 304;13 791;19 122;3 813;5 249;5 815;6 373;7 593;8 837;9 560;10 881;11 725;12 863;16 792;31,9;2,5;4,4;;;;;;;;
0107;Município;Espinho;22 651;319 054;277 757;14 086;4 525;6 160;6 914;7 617;9 022;10 161;11 881;14 400;16 328;19 112;28 692;4 478;6 068;6 847;7 510;8 866;9 753;11 300;13 242;14 724;16 799;23 459;35,7;2,8;5,2;;;;;;;;
1304;Município;Gondomar;119 806;1 529 097;1 366 920;12 763;4 346;6 005;6 752;7 519;8 998;10 075;11 699;13 803;15 250;17 254;24 143;4 325;5 954;6 697;7 430;8 871;9 727;11 134;12 845;13 991;15 491;20 520;33,1;2,6;4,7;;;;;;;;
1306;Município;Maia;97 732;1 553 780;1 337 927;15 898;4 850;6 876;7 800;8 663;10 049;11 892;14 160;17 351;19 626;22 523;31 524;4 800;6 797;7 681;8 545;9 682;11 290;13 145;15 582;17 223;19 347;25 474;35,0;2,8;5,3;;;;;;;;
1308;Município;Matosinhos;126 251;2 026 118;1 728 511;16 048;4 755;6 748;7 624;8 427;9 750;11 460;13 646;16 783;19 111;22 134;32 212;4 708;6 680;7 515;8 285;9 415;10 927;12 690;15 112;16 823;19 044;25 835;36,5;2,9;5,5;;;;;;;;
0113;Município;Oliveira de Azeméis;51 088;630 759;567 971;12 347;4 688;6 288;6 983;7 652;8 998;10 059;11 474;13 230;14 402;15 917;21 670;4 659;6 233;6 917;7 546;8 874;9 696;10 922;12 374;13 288;14 454;18 712;30,9;2,3;4,0;;;;;;;;
1310;Município;Paredes;61 209;631 082;578 996;10 310;3 066;4 780;5 335;5 933;7 389;8 824;9 560;11 180;12 197;13 621;18 898;3 055;4 754;5 301;5 881;7 307;8 734;9 415;10 673;11 557;12 690;16 710;34,3;2,7;5,5;;;;;;;;
1312;Município;Porto;166 552;3 310 775;2 661 387;19 878;4 425;6 639;7 645;8 574;10 063;12 322;15 663;20 902;24 428;28 738;41 987;4 350;6 549;7 512;8 409;9 629;11 568;14 141;17 969;20 489;23 422;31 813;42,0;3,6;7,3;;;;;;;;
1313;Município;Póvoa de Varzim;47 012;596 552;530 030;12 689;3 748;5 459;6 176;6 954;8 498;9 549;11 156;13 350;14 899;17 063;25 265;3 711;5 411;6 120;6 872;8 366;9 415;10 672;12 508;13 761;15 396;21 309;35,9;2,8;5,7;;;;;;;;
0109;Município;Santa Maria da Feira;101 702;1 250 052;1 121 548;12 291;4 363;5 927;6 608;7 282;8 645;9 696;11 181;12 991;14 210;15 904;22 466;4 342;5 871;6 557;7 204;8 528;9 415;10 708;12 213;13 178;14 455;19 305;32,8;2,5;4,4;;;;;;;;
1314;Município;Santo Tirso;51 892;629 684;567 775;12 135;4 740;6 239;6 863;7 421;8 673;9 574;10 884;12 600;13 809;15 473;21 691;4 708;6 194;6 818;7 362;8 582;9 415;10 440;11 859;12 841;14 126;18 752;31,3;2,3;4,0;;;;;;;;
0116;Município;São João da Madeira;16 918;225 202;199 351;13 311;4 590;6 212;6 893;7 618;8 960;10 096;11 674;13 758;15 331;17 349;25 484;4 562;6 145;6 859;7 554;8 869;9 771;11 095;12 847;14 080;15 579;21 424;34,0;2,5;4,7;;;;;;;;
1318;Município;Trofa;29 169;359 104;323 333;12 311;4 562;6 245;7 004;7 705;9 040;9 944;11 382;13 223;14 351;15 949;21 836;4 551;6 197;6 944;7 619;8 909;9 611;10 854;12 381;13 305;14 528;18 847;31,1;2,3;4,1;;;;;;;;
0119;Município;Vale de Cambra;16 287;205 130;184 526;12 595;4 698;6 182;6 883;7 567;8 978;10 160;11 769;13 650;14 867;16 500;22 700;4 677;6 121;6 814;7 452;8 842;9 786;11 179;12 714;13 694;14 962;19 533;31,6;2,4;4,2;;;;;;;;
1315;Município;Valongo;68 993;896 399;802 179;12 993;4 438;6 190;7 010;7 818;9 259;10 466;12 098;14 234;15 733;17 780;24 730;4 418;6 132;6 956;7 717;9 142;10 057;11 474;13 236;14 368;15 899;20 969;32,6;2,6;4,7;;;;;;;;
1316;Município;Vila do Conde;59 353;800 874;706 055;13 493;4 486;6 073;6 854;7 580;9 027;10 073;11 795;14 115;15 664;17 891;25 902;4 441;6 028;6 786;7 487;8 896;9 713;11 217;13 088;14 303;15 935;21 780;34,6;2,6;4,9;;;;;;;;
1317;Município;Vila Nova de Gaia;217 504;3 132 755;2 726 840;14 403;4 486;6 244;7 052;7 841;9 293;10 634;12 457;15 057;16 954;19 514;28 178;4 452;6 186;6 983;7 736;9 188;10 214;11 755;13 835;15 246;17 143;23 316;35,8;2,8;5,2;;;;;;;;
11B;NUTS 3;Alto Tâmega e Barroso;57 885;608 480;551 695;10 512;2 700;4 602;5 039;5 599;6 849;8 350;9 560;11 288;12 525;14 176;20 802;2 667;4 571;4 998;5 547;6 778;8 202;9 388;10 763;11 766;13 132;18 069;36,9;2,9;6,8;;;;;;;;
1702;Município;Boticas;3 363;31 585;29 284;9 392;2 585;4 399;4 841;5 261;6 455;7 796;9 226;10 242;11 111;12 028;17 359;2 533;4 388;4 815;5 204;6 423;7 747;9 143;9 826;10 628;11 488;15 712;35,2;2,6;6,2;;;;;;;;
1703;Município;Chaves;26 052;308 837;275 821;11 855;3 014;4 906;5 508;6 151;7 692;9 290;10 587;12 669;14 219;16 454;24 361;2 991;4 866;5 452;6 074;7 569;9 155;10 103;11 903;13 159;14 850;20 733;37,3;3,1;6,9;;;;;;;;
1706;Município;Montalegre;6 367;60 976;55 637;9 577;2 362;4 083;4 705;5 139;6 309;7 620;9 271;10 595;11 589;13 044;18 803;2 291;3 991;4 655;5 092;6 228;7 519;9 113;10 118;10 922;12 135;16 426;37,0;3,0;7,2;;;;;;;;
1709;Município;Ribeira de Pena;4 018;38 341;35 346;9 542;2 906;4 562;4 922;5 397;6 583;7 826;9 239;10 504;11 494;12 976;17 605;2 875;4 561;4 865;5 323;6 507;7 741;9 155;10 021;10 869;11 995;15 841;34,5;2,6;5,5;;;;;;;;
