Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por sujeito passivo (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
PT;PT;Portugal;7 910 155;125 976 735;109 664 774;15 926;4 843;6 919;7 868;8 790;10 475;11 845;13 819;16 693;18 758;21 423;30 749;;;;;;4 794;6 840;7 777;8 674;10 308;11 446;13 023;15 271;16 851;18 852;25 392;36,1;35,5;2,8;5,3;6,3;6,7;5,4;5,5;5,3;7,2;5,2;;;;;;;;
1;NUTS 1; Continente;7 560 495;120 496 294;104 667 667;15 938;4 843;6 918;7 867;8 789;10 471;11 842;13 825;16 704;18 766;21 425;30 756;;;;;;4 793;6 840;7 775;8 670;10 302;11 435;13 014;15 255;16 829;18 815;25 316;36,0;35,5;2,8;5,3;6,2;6,6;5,3;5,5;5,2;7,1;5,2;;;;;;;;
11;NUTS 2;  Norte;2 725 231;39 760 592;35 070 231;14 590;4 659;6 570;7 362;8 200;9 858;11 085;12 717;15 095;16 867;19 277;27 932;;;;;;4 617;6 521;7 291;8 116;9 711;10 885;12 136;14 049;15 402;17 220;23 395;35,5;34,7;2,6;5,1;7,5;7,6;7,5;5,9;5,8;7,5;5,8;;;;;;;;
111;NUTS 3;   Alto Minho;178 610;2 357 904;2 122 997;13 201;4 159;6 165;6 892;7 701;9 332;10 755;12 196;14 167;15 562;17 517;24 650;100;100;100;100;100;4 115;6 103;6 819;7 615;9 189;10 640;11 725;13 312;14 385;15 912;21 203;34,5;33,5;2,6;5,2;6,9;6,3;6,1;5,5;6,7;7,7;5,9;;;;;;;;
1601;Município;Arcos de Valdevez;15 461;176 851;161 915;11 439;3 288;5 340;5 935;6 600;7 995;9 591;10 878;12 549;13 707;15 157;21 234;79;86;89;88;86;3 259;5 320;5 880;6 549;7 889;9 393;10 730;11 990;12 893;14 038;18 636;35,9;34,3;2,6;5,7;6,9;8,7;6,7;6,2;7,4;7,0;7,7;;;;;;;;
1602;Município;Caminha;12 558;173 895;153 931;13 847;3 877;6 053;6 777;7 574;9 183;10 751;12 311;14 630;16 297;18 381;26 821;93;98;100;105;109;3 846;6 008;6 705;7 470;9 054;10 640;11 790;13 591;14 882;16 551;22 551;36,9;35,8;2,8;5,9;6,9;7,0;6,0;5,5;5,8;7,8;5,9;;;;;;;;
1603;Município;Melgaço;5 471;63 531;57 841;11 612;3 179;5 475;6 320;7 062;8 613;10 175;11 388;12 906;14 040;15 470;21 141;76;92;95;90;86;3 079;5 440;6 219;6 973;8 420;10 004;11 027;12 163;13 045;14 167;18 391;34,1;33,1;2,6;6,0;6,9;5,0;7,2;5,2;6,9;6,7;5,3;;;;;;;;
1604;Município;Monção;13 382;162 058;147 692;12 110;3 595;5 820;6 560;7 241;8 848;10 375;11 479;13 252;14 465;16 202;22 230;86;95;96;93;90;3 510;5 776;6 494;7 170;8 697;10 174;11 140;12 507;13 504;14 776;19 511;34,0;33,2;2,6;5,6;5,9;5,4;5,7;5,5;6,5;6,1;6,1;;;;;;;;
1605;Município;Paredes de Coura;6 612;75 997;70 198;11 494;3 862;5 797;6 374;7 013;8 455;10 005;11 194;12 980;14 039;15 305;20 202;93;92;93;90;82;3 833;5 747;6 323;6 964;8 376;9 876;10 964;12 350;13 218;14 179;17 910;32,8;31,6;2,5;4,7;7,8;6,1;6,8;7,0;8,0;8,7;7,7;;;;;;;;
1606;Município;Ponte da Barca;8 316;93 705;86 159;11 268;3 288;5 326;5 850;6 511;7 885;9 512;10 898;12 545;13 481;14 862;20 813;79;85;88;87;84;3 238;5 320;5 833;6 476;7 802;9 346;10 770;11 980;12 805;13 820;18 297;35,2;33,9;2,6;5,7;6,8;7,6;6,4;5,6;8,5;7,2;8,0;;;;;;;;
1607;Município;Ponte de Lima;31 027;383 647;350 960;12 365;4 224;6 008;6 646;7 395;8 979;10 498;11 636;13 350;14 464;16 080;22 032;102;96;98;93;89;4 193;5 961;6 610;7 338;8 864;10 373;11 346;12 686;13 553;14 870;19 405;33,2;32,4;2,5;4,6;7,3;7,6;6,8;6,8;7,7;7,9;7,5;;;;;;;;
1608;Município;Valença;11 146;134 045;123 232;12 026;4 141;6 264;6 927;7 675;9 159;10 640;11 924;13 362;14 365;15 759;20 799;100;101;99;92;84;4 086;6 191;6 830;7 581;9 070;10 580;11 492;12 634;13 435;14 567;18 363;31,7;30,5;2,4;4,5;6,6;6,5;5,9;3,7;5,2;7,3;5,6;;;;;;;;
1609;Município;Viana do Castelo;67 318;1 001 642;886 675;14 879;4 908;6 844;7 756;8 639;10 367;11 688;13 456;15 885;17 748;20 218;28 689;118;113;109;114;116;4 866;6 788;7 667;8 528;10 203;11 334;12 737;14 664;16 089;17 923;23 964;34,1;33,4;2,6;4,9;6,4;6,0;5,2;5,1;6,9;7,7;5,5;;;;;;;;
1610;Município;Vila Nova de Cerveira;7 319;92 533;84 395;12 643;3 976;6 277;7 068;7 980;9 518;10 893;12 241;13 984;15 250;16 807;22 450;96;103;101;98;91;3 947;6 205;6 986;7 912;9 390;10 721;11 710;13 171;14 164;15 431;19 500;32,7;31,5;2,5;4,9;6,7;5,7;6,4;4,3;3,1;6,9;4,2;;;;;;;;
112;NUTS 3;   Cávado;315 210;4 625 390;4 099 162;14 674;4 919;6 750;7 603;8 453;10 118;11 240;12 844;15 200;16 986;19 379;28 058;100;100;100;100;100;4 880;6 693;7 529;8 364;9 989;11 023;12 269;14 167;15 537;17 340;23 532;34,4;34,0;2,6;4,8;7,3;6,7;7,0;6,0;6,0;7,7;6,0;;;;;;;;
0301;Município;Amares;14 035;177 468;161 897;12 645;4 493;6 150;6 904;7 711;9 397;10 681;11 898;13 689;15 012;16 829;23 096;91;91;95;88;82;4 468;6 113;6 852;7 647;9 269;10 640;11 531;13 036;14 080;15 381;20 039;32,2;31,5;2,5;4,5;7,0;7,5;6,1;6,1;6,3;7,8;7,1;;;;;;;;
0302;Município;Barcelos;88 067;1 127 798;1 027 550;12 806;5 050;6 662;7 417;8 165;9 665;10 706;11 832;13 473;14 613;16 275;22 299;103;98;95;86;79;5 016;6 624;7 355;8 080;9 527;10 640;11 472;12 792;13 739;14 960;19 427;30,7;30,1;2,3;3,9;6,9;7,7;6,3;5,9;5,8;7,5;6,7;;;;;;;;
0303;Município;Braga;146 486;2 450 959;2 126 227;16 732;5 194;7 263;8 247;9 148;10 718;12 313;14 393;17 675;20 007;23 069;32 917;106;108;110;118;117;5 151;7 195;8 166;9 068;10 640;11 842;13 560;16 068;17 842;20 093;26 858;35,5;35,4;2,8;5,2;5,9;5,6;4,6;5,6;5,8;7,1;5,6;;;;;;;;
0306;Município;Esposende;27 434;399 252;352 681;14 553;4 719;6 520;7 392;8 247;9 996;11 104;12 654;15 075;16 870;19 141;27 642;96;97;99;99;99;4 662;6 457;7 289;8 136;9 880;10 896;12 074;14 072;15 394;17 114;23 174;35,5;34,5;2,7;5,0;7,6;7,8;7,3;6,4;6,9;7,8;6,4;;;;;;;;
0310;Município;Terras de Bouro;4 576;52 002;48 085;11 364;3 728;5 718;6 344;6 977;8 468;9 925;11 092;12 776;13 844;15 138;20 337;76;83;88;82;72;3 655;5 680;6 320;6 911;8 375;9 824;10 866;12 107;12 965;14 105;17 959;33,1;31,5;2,5;4,9;7,6;6,7;7,1;7,4;8,3;8,0;6,4;;;;;;;;
0313;Município;Vila Verde;34 612;417 912;382 722;12 074;4 174;5 938;6 576;7 267;8 891;10 426;11 413;13 115;14 302;16 038;21 702;85;86;93;84;77;4 111;5 892;6 545;7 197;8 772;10 287;11 138;12 479;13 462;14 746;19 080;32,5;31,9;2,5;4,6;7,4;8,0;7,6;6,9;6,5;7,3;7,3;;;;;;;;
119;NUTS 3;   Ave;326 342;4 357 302;3 940 525;13 352;5 072;6 822;7 577;8 293;9 762;10 819;12 061;13 869;15 161;17 048;23 875;100;100;100;100;100;5 038;6 789;7 519;8 229;9 651;10 711;11 660;13 133;14 152;15 601;20 642;31,9;31,2;2,3;4,1;6,7;7,8;6,2;5,8;4,6;7,2;5,8;;;;;;;;
0304;Município;Cabeceiras de Basto;10 789;121 294;112 255;11 242;3 673;5 497;6 100;6 744;8 171;9 583;10 656;12 208;13 371;14 918;20 312;72;81;89;88;85;3 650;5 482;6 065;6 703;8 109;9 449;10 640;11 683;12 719;13 935;18 045;33,8;32,4;2,5;4,9;6,6;8,1;8,1;6,1;6,9;5,1;7,5;;;;;;;;
0307;Município;Fafe;37 577;455 232;416 932;12 115;4 217;6 055;6 666;7 327;8 792;10 178;11 098;12 633;13 840;15 558;22 069;83;88;94;91;92;4 150;6 014;6 634;7 280;8 698;10 071;10 928;12 142;13 119;14 433;19 350;33,4;32,5;2,4;4,7;6,3;8,8;6,5;5,6;4,6;6,1;6,7;;;;;;;;
