
Quadro extraído em 11 de Julho de 2026 (12:10:17)
http://www.ine.pt



Período de referência dos dados;Produto interno bruto (B.1*g) a preços correntes (Taxa de variação homóloga - Base 2021 - %) -  Trimestral;
;Localização geográfica (Portugal);
;PT: Portugal;
;% ;
1.º Trimestre de 2026;6,4;
4.º Trimestre de 2025;6;
3.º Trimestre de 2025;6,5;
2.º Trimestre de 2025;5,8;
1.º Trimestre de 2025;5,1;
4.º Trimestre de 2024;7,4;
3.º Trimestre de 2024;6,9;
2.º Trimestre de 2024;7;
1.º Trimestre de 2024;7,4;
4.º Trimestre de 2023;8,4;
3.º Trimestre de 2023;10,7;
2.º Trimestre de 2023;11,6;
1.º Trimestre de 2023;12,8;
4.º Trimestre de 2022;12,3;
3.º Trimestre de 2022;11,4;
2.º Trimestre de 2022;12,9;
1.º Trimestre de 2022;14,3;
4.º Trimestre de 2021;9,3;
3.º Trimestre de 2021;7,7;
2.º Trimestre de 2021;17,2;
1.º Trimestre de 2021;-2,2;
4.º Trimestre de 2020;-5;
3.º Trimestre de 2020;-4,7;
2.º Trimestre de 2020;-14,5;
1.º Trimestre de 2020;-0,9;
4.º Trimestre de 2019;4,6;
3.º Trimestre de 2019;4,5;
2.º Trimestre de 2019;4,4;
1.º Trimestre de 2019;5,1;
4.º Trimestre de 2018;4,7;
3.º Trimestre de 2018;4,9;
2.º Trimestre de 2018;4,8;
1.º Trimestre de 2018;5;
4.º Trimestre de 2017;4,7;
3.º Trimestre de 2017;5;
2.º Trimestre de 2017;5,3;
1.º Trimestre de 2017;4,5;
4.º Trimestre de 2016;4,9;
3.º Trimestre de 2016;4;
2.º Trimestre de 2016;3,3;
1.º Trimestre de 2016;3,4;
4.º Trimestre de 2015;4,1;
3.º Trimestre de 2015;3,6;
2.º Trimestre de 2015;3,6;
1.º Trimestre de 2015;2,9;
4.º Trimestre de 2014;0,5;
3.º Trimestre de 2014;1,2;
2.º Trimestre de 2014;1,6;
1.º Trimestre de 2014;2,5;
4.º Trimestre de 2013;3,7;
3.º Trimestre de 2013;2,3;
2.º Trimestre de 2013;1;
1.º Trimestre de 2013;-1,8;
4.º Trimestre de 2012;-3,4;
3.º Trimestre de 2012;-4,8;
2.º Trimestre de 2012;-5,1;
1.º Trimestre de 2012;-4,4;
4.º Trimestre de 2011;-4,3;
3.º Trimestre de 2011;-2,5;
2.º Trimestre de 2011;-1,1;
1.º Trimestre de 2011;0;
4.º Trimestre de 2010;1,7;
3.º Trimestre de 2010;2,7;
2.º Trimestre de 2010;2,4;
1.º Trimestre de 2010;3,3;
4.º Trimestre de 2009;-0,4;
3.º Trimestre de 2009;-1,7;
2.º Trimestre de 2009;-2,7;
1.º Trimestre de 2009;-3,4;
4.º Trimestre de 2008;-0,4;
3.º Trimestre de 2008;2;
2.º Trimestre de 2008;3;
1.º Trimestre de 2008;3,7;
4.º Trimestre de 2007;5,2;
3.º Trimestre de 2007;5,2;
2.º Trimestre de 2007;5,4;
1.º Trimestre de 2007;6,4;
4.º Trimestre de 2006;5,5;
3.º Trimestre de 2006;5;
2.º Trimestre de 2006;4,6;
1.º Trimestre de 2006;4,4;
4.º Trimestre de 2005;4,1;
3.º Trimestre de 2005;4,1;
2.º Trimestre de 2005;4,2;
1.º Trimestre de 2005;4,2;
4.º Trimestre de 2004;4,4;
3.º Trimestre de 2004;4,3;
2.º Trimestre de 2004;4,6;
1.º Trimestre de 2004;3,7;
4.º Trimestre de 2003;3,4;
3.º Trimestre de 2003;2,3;
2.º Trimestre de 2003;2,2;
1.º Trimestre de 2003;2;
4.º Trimestre de 2002;2,8;
3.º Trimestre de 2002;5,1;
2.º Trimestre de 2002;5,5;
1.º Trimestre de 2002;6,7;
4.º Trimestre de 2001;6,3;
3.º Trimestre de 2001;4,9;
2.º Trimestre de 2001;6,5;
1.º Trimestre de 2001;5,2;
4.º Trimestre de 2000;7,4;
3.º Trimestre de 2000;8,1;
2.º Trimestre de 2000;6,7;
1.º Trimestre de 2000;7,3;
4.º Trimestre de 1999;6,8;
3.º Trimestre de 1999;6,6;
2.º Trimestre de 1999;7,5;
1.º Trimestre de 1999;8,8;
4.º Trimestre de 1998;9,1;
3.º Trimestre de 1998;8,8;
2.º Trimestre de 1998;9,1;
1.º Trimestre de 1998;8,3;
4.º Trimestre de 1997;8,7;
3.º Trimestre de 1997;8;
2.º Trimestre de 1997;8,6;
1.º Trimestre de 1997;8,6;
4.º Trimestre de 1996;6,5;
3.º Trimestre de 1996;7;
2.º Trimestre de 1996;5,1;
1.º Trimestre de 1996;5,2;

Produto interno bruto (B.1*g) a preços correntes (Taxa de variação homóloga - Base 2021 - %) -  Trimestral - INE, Contas nacionais trimestrais


Última atualização destes dados: 24 de junho de 2026


Metainformação associada ao quadro

Produto interno bruto (B.1*g) a preços correntes (Taxa de variação homóloga - Base 2021 - %)
Designação;Produto interno bruto (B.1*g) a preços correntes (Taxa de variação homóloga - Base 2021 - %) -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Contas nacionais trimestrais
Primeiro período disponível;1.º Trimestre de 1996
Último período disponível;1.º Trimestre de 2026
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (Portugal)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     PRODUTO INTERNO BRUTO;Resultado final da atividade de produção das unidades produtivas residentes na região ou no país no período de referência e que é calculado segundo a ótica da produção, da despesa e do rendimento.
     TERRITÓRIO ECONÓMICO;Território que consiste em: a) a área (território geográfico) sob a administração efetiva e o controlo económico de uma única administração pública; b) as zonas francas, incluindo entrepostos e fábricas sob controlo aduaneiro; c) o espaço aéreo nacional, as águas territoriais e a plataforma continental situada em águas internacionais em relação à qual o país dispõe de direitos exclusivos; d) os enclaves territoriais, isto é, os territórios geográficos situados no resto do mundo e utilizados, em virtude de tratados internacionais ou de acordos entre Estados, por administrações públicas do país (embaixadas, consulados, bases militares, bases científicas, etc.); e) os jazigos (de petróleo, gás natural, etc.) situados em águas internacionais fora da plataforma continental do país, explorados por unidades residentes no território.
Definição;A variação homóloga compara o nível da variável entre o período corrente e o mesmo período do ano anterior. Esta taxa de variação, perante um padrão estável de sazonalidade, não é afectada por oscilações desta natureza, podendo, no entanto, ser influenciada por efeitos não periódicos localizados num (ou em ambos) dos períodos comparados.
Fórmula;&lt - p&gt - Quociente do valor do &uacute - ltimo per&iacute - odo, pelo per&iacute - odo id&ecirc - ntico do ano anterior.&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
