
Quadro extraído em 11 de Julho de 2026 (12:10:45)
http://www.ine.pt



Período de referência dos dados;Produto interno bruto dados encadeados em volume (B.1*g) (Base 2021 - ?) -  Trimestral;
;Localização geográfica (Portugal);
;PT: Portugal;
;? (milhões);
1.º Trimestre de 2026;62915,273;
4.º Trimestre de 2025;62885,097;
3.º Trimestre de 2025;62302,804;
2.º Trimestre de 2025;61931,393;
1.º Trimestre de 2025;61510,004;
4.º Trimestre de 2024;61684,19;
3.º Trimestre de 2024;60964,596;
2.º Trimestre de 2024;60876,587;
1.º Trimestre de 2024;60560,798;
4.º Trimestre de 2023;60131,158;
3.º Trimestre de 2023;59692,307;
2.º Trimestre de 2023;59631,229;
1.º Trimestre de 2023;59343,06;
4.º Trimestre de 2022;58598,716;
3.º Trimestre de 2022;58182,336;
2.º Trimestre de 2022;57529,752;
1.º Trimestre de 2022;57306,851;
4.º Trimestre de 2021;56478,382;
3.º Trimestre de 2021;55392,655;
2.º Trimestre de 2021;53492,658;
1.º Trimestre de 2021;51130,05;
4.º Trimestre de 2020;52665,233;
3.º Trimestre de 2020;52485,789;
2.º Trimestre de 2020;45906,173;
1.º Trimestre de 2020;54035,923;
4.º Trimestre de 2019;56437,182;
3.º Trimestre de 2019;55917,986;
2.º Trimestre de 2019;55688,092;
1.º Trimestre de 2019;55380,995;
4.º Trimestre de 2018;54928,548;
3.º Trimestre de 2018;54588,738;
2.º Trimestre de 2018;54224,892;
1.º Trimestre de 2018;53711,486;
4.º Trimestre de 2017;53398,541;
3.º Trimestre de 2017;52900,092;
2.º Trimestre de 2017;52540,941;
1.º Trimestre de 2017;52390,649;
4.º Trimestre de 2016;51888,004;
3.º Trimestre de 2016;51307,722;
2.º Trimestre de 2016;50746,451;
1.º Trimestre de 2016;50510,995;
4.º Trimestre de 2015;50337,298;
3.º Trimestre de 2015;50099,863;
2.º Trimestre de 2015;50017,132;
1.º Trimestre de 2015;49981,856;
4.º Trimestre de 2014;49683,979;
3.º Trimestre de 2014;49285,081;
2.º Trimestre de 2014;49233,148;
1.º Trimestre de 2014;49097,277;
4.º Trimestre de 2013;49451,938;
3.º Trimestre de 2013;48845,071;
2.º Trimestre de 2013;48983,071;
1.º Trimestre de 2013;48567,409;
4.º Trimestre de 2012;48394,616;
3.º Trimestre de 2012;49203,595;
2.º Trimestre de 2012;49716,488;
1.º Trimestre de 2012;50479,294;
4.º Trimestre de 2011;50749,539;
3.º Trimestre de 2011;51436,789;
2.º Trimestre de 2011;51796,158;
1.º Trimestre de 2011;52162,228;
4.º Trimestre de 2010;52397,421;
3.º Trimestre de 2010;52635,853;
2.º Trimestre de 2010;52443,24;
1.º Trimestre de 2010;52262,13;
4.º Trimestre de 2009;51800,855;
3.º Trimestre de 2009;51762,652;
2.º Trimestre de 2009;51323,966;
1.º Trimestre de 2009;51268,946;
4.º Trimestre de 2008;52600,214;
3.º Trimestre de 2008;53261,783;
2.º Trimestre de 2008;53334,802;
1.º Trimestre de 2008;53603,409;
4.º Trimestre de 2007;53615,257;
3.º Trimestre de 2007;52985,233;
2.º Trimestre de 2007;52836,202;
1.º Trimestre de 2007;52686,319;
4.º Trimestre de 2006;52068,767;
3.º Trimestre de 2006;51731,013;
2.º Trimestre de 2006;51798,865;
1.º Trimestre de 2006;51337,351;
4.º Trimestre de 2005;50901,606;
3.º Trimestre de 2005;50825,892;
2.º Trimestre de 2005;51019,251;
1.º Trimestre de 2005;50880,237;
4.º Trimestre de 2004;50418,599;
3.º Trimestre de 2004;50664,227;
2.º Trimestre de 2004;50638,312;
1.º Trimestre de 2004;50326,146;
4.º Trimestre de 2003;49833,278;
3.º Trimestre de 2003;49693,646;
2.º Trimestre de 2003;49275,941;
1.º Trimestre de 2003;49693,838;
4.º Trimestre de 2002;49611,129;
3.º Trimestre de 2002;49979,449;
2.º Trimestre de 2002;50244,791;
1.º Trimestre de 2002;50525,736;
4.º Trimestre de 2001;50410,098;
3.º Trimestre de 2001;49711,838;
2.º Trimestre de 2001;49612,236;
1.º Trimestre de 2001;49094,117;
4.º Trimestre de 2000;49270,659;
3.º Trimestre de 2000;48993,667;
2.º Trimestre de 2000;48225,58;
1.º Trimestre de 2000;48547,495;
4.º Trimestre de 1999;47464,041;
3.º Trimestre de 1999;47183,862;
2.º Trimestre de 1999;46732,218;
1.º Trimestre de 1999;46487,903;
4.º Trimestre de 1998;45913,711;
3.º Trimestre de 1998;45529,539;
2.º Trimestre de 1998;44998,265;
1.º Trimestre de 1998;44363,231;
4.º Trimestre de 1997;43700,585;
3.º Trimestre de 1997;43445,311;
2.º Trimestre de 1997;42875,802;
1.º Trimestre de 1997;42488,807;
4.º Trimestre de 1996;41796,29;
3.º Trimestre de 1996;41706,896;
2.º Trimestre de 1996;41144,532;
1.º Trimestre de 1996;40590,856;
4.º Trimestre de 1995;40324,82;
3.º Trimestre de 1995;40047,565;
2.º Trimestre de 1995;39863,075;
1.º Trimestre de 1995;39408,786;

Produto interno bruto dados encadeados em volume (B.1*g) (Base 2021 - ?) -  Trimestral - INE, Contas nacionais trimestrais


Última atualização destes dados: 24 de junho de 2026


Metainformação associada ao quadro

Produto interno bruto dados encadeados em volume (B.1*g) (Base 2021 - ?)
Designação;Produto interno bruto dados encadeados em volume (B.1*g) (Base 2021 - ?) -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Contas nacionais trimestrais
Primeiro período disponível;1.º Trimestre de 1995
Último período disponível;1.º Trimestre de 2026
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (Portugal)
Conceitos
     TERRITÓRIO ECONÓMICO;Território que consiste em: a) a área (território geográfico) sob a administração efetiva e o controlo económico de uma única administração pública; b) as zonas francas, incluindo entrepostos e fábricas sob controlo aduaneiro; c) o espaço aéreo nacional, as águas territoriais e a plataforma continental situada em águas internacionais em relação à qual o país dispõe de direitos exclusivos; d) os enclaves territoriais, isto é, os territórios geográficos situados no resto do mundo e utilizados, em virtude de tratados internacionais ou de acordos entre Estados, por administrações públicas do país (embaixadas, consulados, bases militares, bases científicas, etc.); e) os jazigos (de petróleo, gás natural, etc.) situados em águas internacionais fora da plataforma continental do país, explorados por unidades residentes no território.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     PRODUTO INTERNO BRUTO A PREÇOS DE MERCADO;O produto interno bruto a preços de mercado representa o resultado final da atividade de produção das unidades produtivas residentes. Pode ser definido de outras três formas: 1) o PIBpm é igual à soma dos valores acrescentados brutos dos diferentes setores institucionais ou ramos de atividade, aumentada dos impostos menos os subsídios aos produtos (que não sejam afetados aos setores e ramos de atividade). É igualmente o saldo da conta de produção total da economia; 2) o PIBpm é igual à soma dos empregos finais internos de bens e serviços (consumo final efetivo, formação bruta de capital), mais as exportações e menos as importações de bens e serviços; 3) o PIB é igual à soma dos empregos da conta de exploração do total da economia (remunerações dos trabalhadores, impostos sobre a produção e importações menos subsídios, excedente bruto de exploração e rendimento misto do total da economia). Deduzindo ao PIBpm o consumo de capital fixo, obtém-se o Produto Interno Líquido a preços de mercado (PILpm).
     TERRITÓRIO ECONÓMICO;Por território económico entende-se: a) o território geográfico administrado por um Estado no interior do qual pessoas, bens, serviços e capital circulam livremente; b) as zonas francas, incluindo entrepostos e fábricas sob controlo aduaneiro; c) o espaço aéreo nacional, as águas territoriais e a plataforma continental situada em águas internacionais em relação à qual o país dispõe de direitos exclusivos; d) os enclaves territoriais, i.e., territórios geográficos situados no resto do mundo e utilizados, em virtude de tratados internacionais ou de acordos entre Estados, por administrações públicas do país (embaixadas, consulados, bases militares, bases científicas, etc.); e) os jazigos mineiros (petróleo, gás natural, etc.) situados em águas internacionais fora da plataforma continental do país, explorados por unidades residentes no território.
Definição;
Fórmula;
Unidade de Medida (símbolo);Euro (?)
Potência de 10;6
Observações;Base 2021 -  Os dados encontram-se ajustados de efeitos de calendário e de sazonalidade -  Dados encadeados em volume (ano de referência=2021).
Data da última atualização;24-Jun-2026
