
Quadro extraído em 11 de Julho de 2026 (12:11:23)
http://www.ine.pt



Período de referência dos dados;Produto interno bruto dados encadeados em volume (B.1*g) (Taxa de variação homóloga - Base 2021 - %) -  Trimestral;
;Localização geográfica (Portugal);
;PT: Portugal;
;% ;
1.º Trimestre de 2026;2,3;
4.º Trimestre de 2025;1,9;
3.º Trimestre de 2025;2,2;
2.º Trimestre de 2025;1,7;
1.º Trimestre de 2025;1,6;
4.º Trimestre de 2024;2,6;
3.º Trimestre de 2024;2,1;
2.º Trimestre de 2024;2,1;
1.º Trimestre de 2024;2,1;
4.º Trimestre de 2023;2,6;
3.º Trimestre de 2023;2,6;
2.º Trimestre de 2023;3,7;
1.º Trimestre de 2023;3,6;
4.º Trimestre de 2022;3,8;
3.º Trimestre de 2022;5;
2.º Trimestre de 2022;7,5;
1.º Trimestre de 2022;12,1;
4.º Trimestre de 2021;7,2;
3.º Trimestre de 2021;5,5;
2.º Trimestre de 2021;16,5;
1.º Trimestre de 2021;-5,4;
4.º Trimestre de 2020;-6,7;
3.º Trimestre de 2020;-6,1;
2.º Trimestre de 2020;-17,6;
1.º Trimestre de 2020;-2,4;
4.º Trimestre de 2019;2,7;
3.º Trimestre de 2019;2,4;
2.º Trimestre de 2019;2,7;
1.º Trimestre de 2019;3,1;
4.º Trimestre de 2018;2,9;
3.º Trimestre de 2018;3,2;
2.º Trimestre de 2018;3,2;
1.º Trimestre de 2018;2,5;
4.º Trimestre de 2017;2,9;
3.º Trimestre de 2017;3,1;
2.º Trimestre de 2017;3,5;
1.º Trimestre de 2017;3,7;
4.º Trimestre de 2016;3,1;
3.º Trimestre de 2016;2,4;
2.º Trimestre de 2016;1,5;
1.º Trimestre de 2016;1,1;
4.º Trimestre de 2015;1,3;
3.º Trimestre de 2015;1,7;
2.º Trimestre de 2015;1,6;
1.º Trimestre de 2015;1,8;
4.º Trimestre de 2014;0,5;
3.º Trimestre de 2014;0,9;
2.º Trimestre de 2014;0,5;
1.º Trimestre de 2014;1,1;
4.º Trimestre de 2013;2,2;
3.º Trimestre de 2013;-0,7;
2.º Trimestre de 2013;-1,5;
1.º Trimestre de 2013;-3,8;
4.º Trimestre de 2012;-4,6;
3.º Trimestre de 2012;-4,3;
2.º Trimestre de 2012;-4;
1.º Trimestre de 2012;-3,2;
4.º Trimestre de 2011;-3,1;
3.º Trimestre de 2011;-2,3;
2.º Trimestre de 2011;-1,2;
1.º Trimestre de 2011;-0,2;
4.º Trimestre de 2010;1,2;
3.º Trimestre de 2010;1,7;
2.º Trimestre de 2010;2,2;
1.º Trimestre de 2010;1,9;
4.º Trimestre de 2009;-1,5;
3.º Trimestre de 2009;-2,8;
2.º Trimestre de 2009;-3,8;
1.º Trimestre de 2009;-4,4;
4.º Trimestre de 2008;-1,9;
3.º Trimestre de 2008;0,5;
2.º Trimestre de 2008;0,9;
1.º Trimestre de 2008;1,7;
4.º Trimestre de 2007;3;
3.º Trimestre de 2007;2,4;
2.º Trimestre de 2007;2;
1.º Trimestre de 2007;2,6;
4.º Trimestre de 2006;2,3;
3.º Trimestre de 2006;1,8;
2.º Trimestre de 2006;1,5;
1.º Trimestre de 2006;0,9;
4.º Trimestre de 2005;1;
3.º Trimestre de 2005;0,3;
2.º Trimestre de 2005;0,8;
1.º Trimestre de 2005;1,1;
4.º Trimestre de 2004;1,2;
3.º Trimestre de 2004;2;
2.º Trimestre de 2004;2,8;
1.º Trimestre de 2004;1,3;
4.º Trimestre de 2003;0,4;
3.º Trimestre de 2003;-0,6;
2.º Trimestre de 2003;-1,9;
1.º Trimestre de 2003;-1,6;
4.º Trimestre de 2002;-1,6;
3.º Trimestre de 2002;0,5;
2.º Trimestre de 2002;1,3;
1.º Trimestre de 2002;2,9;
4.º Trimestre de 2001;2,3;
3.º Trimestre de 2001;1,5;
2.º Trimestre de 2001;2,9;
1.º Trimestre de 2001;1,1;
4.º Trimestre de 2000;3,8;
3.º Trimestre de 2000;3,8;
2.º Trimestre de 2000;3,2;
1.º Trimestre de 2000;4,4;
4.º Trimestre de 1999;3,4;
3.º Trimestre de 1999;3,6;
2.º Trimestre de 1999;3,9;
1.º Trimestre de 1999;4,8;
4.º Trimestre de 1998;5,1;
3.º Trimestre de 1998;4,8;
2.º Trimestre de 1998;5;
1.º Trimestre de 1998;4,4;
4.º Trimestre de 1997;4,6;
3.º Trimestre de 1997;4,2;
2.º Trimestre de 1997;4,2;
1.º Trimestre de 1997;4,7;
4.º Trimestre de 1996;3,6;
3.º Trimestre de 1996;4,1;
2.º Trimestre de 1996;3,2;
1.º Trimestre de 1996;3;

Produto interno bruto dados encadeados em volume (B.1*g) (Taxa de variação homóloga - Base 2021 - %) -  Trimestral - INE, Contas nacionais trimestrais


Última atualização destes dados: 24 de junho de 2026


Metainformação associada ao quadro

Produto interno bruto dados encadeados em volume (B.1*g) (Taxa de variação homóloga - Base 2021 - %)
Designação;Produto interno bruto dados encadeados em volume (B.1*g) (Taxa de variação homóloga - Base 2021 - %) -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Contas nacionais trimestrais
Primeiro período disponível;1.º Trimestre de 1996
Último período disponível;1.º Trimestre de 2026
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (Portugal)
Conceitos
     TERRITÓRIO ECONÓMICO;Território que consiste em: a) a área (território geográfico) sob a administração efetiva e o controlo económico de uma única administração pública; b) as zonas francas, incluindo entrepostos e fábricas sob controlo aduaneiro; c) o espaço aéreo nacional, as águas territoriais e a plataforma continental situada em águas internacionais em relação à qual o país dispõe de direitos exclusivos; d) os enclaves territoriais, isto é, os territórios geográficos situados no resto do mundo e utilizados, em virtude de tratados internacionais ou de acordos entre Estados, por administrações públicas do país (embaixadas, consulados, bases militares, bases científicas, etc.); e) os jazigos (de petróleo, gás natural, etc.) situados em águas internacionais fora da plataforma continental do país, explorados por unidades residentes no território.
     PRODUTO INTERNO BRUTO A PREÇOS DE MERCADO;O produto interno bruto a preços de mercado representa o resultado final da atividade de produção das unidades produtivas residentes. Pode ser definido de outras três formas: 1) o PIBpm é igual à soma dos valores acrescentados brutos dos diferentes setores institucionais ou ramos de atividade, aumentada dos impostos menos os subsídios aos produtos (que não sejam afetados aos setores e ramos de atividade). É igualmente o saldo da conta de produção total da economia; 2) o PIBpm é igual à soma dos empregos finais internos de bens e serviços (consumo final efetivo, formação bruta de capital), mais as exportações e menos as importações de bens e serviços; 3) o PIB é igual à soma dos empregos da conta de exploração do total da economia (remunerações dos trabalhadores, impostos sobre a produção e importações menos subsídios, excedente bruto de exploração e rendimento misto do total da economia). Deduzindo ao PIBpm o consumo de capital fixo, obtém-se o Produto Interno Líquido a preços de mercado (PILpm).
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     TERRITÓRIO ECONÓMICO;Por território económico entende-se: a) o território geográfico administrado por um Estado no interior do qual pessoas, bens, serviços e capital circulam livremente; b) as zonas francas, incluindo entrepostos e fábricas sob controlo aduaneiro; c) o espaço aéreo nacional, as águas territoriais e a plataforma continental situada em águas internacionais em relação à qual o país dispõe de direitos exclusivos; d) os enclaves territoriais, i.e., territórios geográficos situados no resto do mundo e utilizados, em virtude de tratados internacionais ou de acordos entre Estados, por administrações públicas do país (embaixadas, consulados, bases militares, bases científicas, etc.); e) os jazigos mineiros (petróleo, gás natural, etc.) situados em águas internacionais fora da plataforma continental do país, explorados por unidades residentes no território.
Definição;A variação homóloga compara o nível da variável entre o período corrente e o mesmo período do ano anterior. Esta taxa de variação, perante um padrão estável de sazonalidade, não é afectada por oscilações desta natureza, podendo, no entanto, ser influenciada por efeitos não periódicos localizados num (ou em ambos) dos períodos comparados.
Fórmula;&lt - p&gt - Quociente do valor do &uacute - ltimo per&iacute - odo, pelo per&iacute - odo id&ecirc - ntico do ano anterior.&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Observações;Base 2021 -  Os dados encontram-se ajustados de efeitos de calendário e de sazonalidade -  Dados encadeados em volume (ano de referência=2021).
Data da última atualização;24-Jun-2026
