
Quadro extraído em 21 de Junho de 2026 (20:24:57)
http://www.ine.pt



Período de referência dos dados;Produto interno bruto real per capita (Taxa de variação anual - Base 2021 - %) -  Anual;
;Localização geográfica (Portugal);
;PT: Portugal;
;% ;
2025;0,8 //;
2024;1,1 &;
2023;2;
2022;6,4;
2021;5,3;

Produto interno bruto real per capita (Taxa de variação anual - Base 2021 - %) -  Anual - INE, Contas nacionais trimestrais


Última atualização destes dados: 02 de junho de 2026


Metainformação associada ao quadro

Produto interno bruto real per capita (Taxa de variação anual - Base 2021 - %)
Designação;Produto interno bruto real per capita (Taxa de variação anual - Base 2021 - %) -  Anual
Periodicidade;Anual
Fonte;INE, Contas nacionais trimestrais
Primeiro período disponível;1996
Último período disponível;2025
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (Portugal)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     TERRITÓRIO ECONÓMICO;Território que consiste em: a) a área (território geográfico) sob a administração efetiva e o controlo económico de uma única administração pública; b) as zonas francas, incluindo entrepostos e fábricas sob controlo aduaneiro; c) o espaço aéreo nacional, as águas territoriais e a plataforma continental situada em águas internacionais em relação à qual o país dispõe de direitos exclusivos; d) os enclaves territoriais, isto é, os territórios geográficos situados no resto do mundo e utilizados, em virtude de tratados internacionais ou de acordos entre Estados, por administrações públicas do país (embaixadas, consulados, bases militares, bases científicas, etc.); e) os jazigos (de petróleo, gás natural, etc.) situados em águas internacionais fora da plataforma continental do país, explorados por unidades residentes no território.
     TAXA DE VARIAÇÃO ANUAL;Taxa que traduz a variação entre dois valores anuais (ano t e ano t-1) relativos a uma determinada variável.
     POPULAÇÃO MÉDIA;População calculada pela média aritmética dos efetivos em dois momentos de observação, habitualmente em dois finais de anos consecutivos.
     DADOS ENCADEADOS EM VOLUME;Séries de valores, normalmente trimestrais ou anuais, que adotam um determinado ano de referência e cujos dados refletem as taxas de variação em volume entre quaisquer dois períodos da respetiva série.
     PRODUTO INTERNO BRUTO;Resultado final da atividade de produção das unidades produtivas residentes na região ou no país no período de referência e que é calculado segundo a ótica da produção, da despesa e do rendimento.
Definição;
Fórmula;&lt - p&gt - PIB/ Popula&ccedil - &atilde - o m&eacute - dia&lt - /p&gt - 
&lt - p&gt - Quociente do valor do &uacute - ltimo ano, pelo ano anterior.&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;02-Jun-2026
