
Quadro extraído em 11 de Julho de 2026 (12:12:37)
http://www.ine.pt



Período de referência dos dados;Saldo das Administrações Públicas no ano terminado no trimestre (% do PIB) -  Trimestral;
;Localização geográfica (Portugal);
;PT: Portugal;
;% ;
1.º Trimestre de 2026;0,5;
4.º Trimestre de 2025;0,7;
3.º Trimestre de 2025;0,2;
2.º Trimestre de 2025;0,7;
1.º Trimestre de 2025;0,6;
4.º Trimestre de 2024;0,6;
3.º Trimestre de 2024;0,7;
2.º Trimestre de 2024;1;
1.º Trimestre de 2024;0,9;
4.º Trimestre de 2023;1,1;
3.º Trimestre de 2023;0,5;
2.º Trimestre de 2023;0,1;
1.º Trimestre de 2023;0,2;
4.º Trimestre de 2022;-0,3;
3.º Trimestre de 2022;1;
2.º Trimestre de 2022;0,1;
1.º Trimestre de 2022;-1,7;
4.º Trimestre de 2021;-2,8;
3.º Trimestre de 2021;-3,9;
2.º Trimestre de 2021;-5,9;
1.º Trimestre de 2021;-6,9;
4.º Trimestre de 2020;-5,8;
3.º Trimestre de 2020;-4,1;
2.º Trimestre de 2020;-1,9;
1.º Trimestre de 2020;-0,1;
4.º Trimestre de 2019;0,1;
3.º Trimestre de 2019;-0,2;
2.º Trimestre de 2019;0;
1.º Trimestre de 2019;-0,2;
4.º Trimestre de 2018;-0,4;
3.º Trimestre de 2018;-0,1;
2.º Trimestre de 2018;-1;
1.º Trimestre de 2018;-0,8;
4.º Trimestre de 2017;-3;
3.º Trimestre de 2017;-2,5;
2.º Trimestre de 2017;-3,6;
1.º Trimestre de 2017;-3,8;
4.º Trimestre de 2016;-1,9;
3.º Trimestre de 2016;-3,7;
2.º Trimestre de 2016;-3,5;
1.º Trimestre de 2016;-3,8;
4.º Trimestre de 2015;-4,5;
3.º Trimestre de 2015;-3,4;
2.º Trimestre de 2015;-6,7;
1.º Trimestre de 2015;-7,4;
4.º Trimestre de 2014;-7,4;
3.º Trimestre de 2014;-7,6;
2.º Trimestre de 2014;-4,9;
