gender;age_group;year;social_security_contributors
Feminino;<60;2015;4063
Feminino;<60;2016;2173
Feminino;<60;2017;1717
Feminino;<60;2018;2267
Feminino;<60;2019;2698
Feminino;<60;2020;2530
Feminino;<60;2021;2486
Feminino;<60;2022;9935
Feminino;<60;2023;9869
Feminino;<60;2024;6882
Feminino;<60;2025;3212
Feminino;>20;2015;3654
Feminino;>20;2016;3434
Feminino;>20;2017;4438
Feminino;>20;2018;7101
Feminino;>20;2019;10169
Feminino;>20;2020;10727
Feminino;>20;2021;9957
Feminino;>20;2022;47051
Feminino;>20;2023;39572
Feminino;>20;2024;22016
Feminino;>20;2025;11676
Feminino;>29;2015;5912
Feminino;>29;2016;6308
Feminino;>29;2017;9399
Feminino;>29;2018;15350
Feminino;>29;2019;21985
Feminino;>29;2020;17748
Feminino;>29;2021;14355
Feminino;>29;2022;59857
Feminino;>29;2023;53974
Feminino;>29;2024;30731
Feminino;>29;2025;22342
Feminino;>39;2015;4266
Feminino;>39;2016;4390
Feminino;>39;2017;7419
Feminino;>39;2018;13143
Feminino;>39;2019;18813
Feminino;>39;2020;15402
Feminino;>39;2021;10931
Feminino;>39;2022;51697
Feminino;>39;2023;45135
Feminino;>39;2024;26073
Feminino;>39;2025;17920
Feminino;>49;2015;2297
Feminino;>49;2016;2365
Feminino;>49;2017;3791
Feminino;>49;2018;6947
Feminino;>49;2019;9955
Feminino;>49;2020;8250
Feminino;>49;2021;5967
Feminino;>49;2022;27822
Feminino;>49;2023;24892
Feminino;>49;2024;14169
Feminino;>49;2025;9637
Feminino;>59;2015;1580
Feminino;>59;2016;1477
Feminino;>59;2017;1847
Feminino;>59;2018;3226
Feminino;>59;2019;4404
Feminino;>59;2020;3786
Feminino;>59;2021;2984
Feminino;>59;2022;13731
Feminino;>59;2023;13020
Feminino;>59;2024;7521
Feminino;>59;2025;4316
Masculino;<60;2015;4166
Masculino;<60;2016;2097
Masculino;<60;2017;2256
Masculino;<60;2018;2966
Masculino;<60;2019;3112
Masculino;<60;2020;2532
Masculino;<60;2021;2514
Masculino;<60;2022;6212
Masculino;<60;2023;7301
Masculino;<60;2024;5617
Masculino;<60;2025;2885
Masculino;>20;2015;4219
Masculino;>20;2016;3896
Masculino;>20;2017;5179
Masculino;>20;2018;8511
Masculino;>20;2019;12048
Masculino;>20;2020;11859
Masculino;>20;2021;11203
Masculino;>20;2022;49948
Masculino;>20;2023;41205
Masculino;>20;2024;23886
Masculino;>20;2025;12325
Masculino;>29;2015;10031
Masculino;>29;2016;9566
Masculino;>29;2017;12632
Masculino;>29;2018;22692
Masculino;>29;2019;36131
Masculino;>29;2020;32109
Masculino;>29;2021;26559
Masculino;>29;2022;100690
Masculino;>29;2023;90922
Masculino;>29;2024;51209
Masculino;>29;2025;28649
Masculino;>39;2015;7081
Masculino;>39;2016;6857
Masculino;>39;2017;9295
Masculino;>39;2018;17873
Masculino;>39;2019;28148
Masculino;>39;2020;27866
Masculino;>39;2021;22681
Masculino;>39;2022;81158
Masculino;>39;2023;78159
Masculino;>39;2024;45675
Masculino;>39;2025;25496
Masculino;>49;2015;3581
Masculino;>49;2016;3489
Masculino;>49;2017;4870
Masculino;>49;2018;8700
Masculino;>49;2019;12796
Masculino;>49;2020;11806
Masculino;>49;2021;10175
Masculino;>49;2022;35617
Masculino;>49;2023;37311
Masculino;>49;2024;23096
Masculino;>49;2025;14097
Masculino;>59;2015;1830
Masculino;>59;2016;1712
Masculino;>59;2017;2252
Masculino;>59;2018;3592
Masculino;>59;2019;4731
Masculino;>59;2020;4118
Masculino;>59;2021;3852
Masculino;>59;2022;11655
Masculino;>59;2023;12826
Masculino;>59;2024;8335
Masculino;>59;2025;5069
