Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Afeganistão,775,440,335,260,178,82
África do Sul,2162,1069,1093,717,354,363
Albânia,99,56,43,22,12,10
Alemanha,20500,10786,9714,4019,2120,1899
Andorra,19,10,9,6,4,2
Angola,31761,14145,17616,6939,3356,3583
Antígua e Barbuda,7,5,2,3,3,0
Apátrida,20,11,9,1,0,1
Arábia Saudita,59,37,22,22,14,8
Argélia,1015,670,345,353,256,97
Argentina,1079,531,548,320,159,161
Arménia,98,33,65,28,10,18
Austrália,673,380,293,189,106,83
Áustria,1643,845,798,383,181,202
Azerbaijão,68,30,38,19,10,9
Bahamas,4,2,2,0,0,0
Bahrein,13,7,6,6,3,3
Bangladesh,16468,13467,3001,6153,5240,913
Barbados,4,3,1,1,1,0
Bélgica,6088,3396,2692,1097,632,465
Belize,4,2,2,1,1,0
Benin,23,19,4,10,7,3
Bermudas,4,1,3,2,0,2
Bielorrússia,731,273,458,178,82,96
Bolívia,154,53,101,23,10,13
Bósnia e Herzegovina,63,18,45,10,5,5
Botswana,18,7,11,7,3,4
Brasil,239744,110746,128998,48313,23308,25005
Brunei,3,1,2,0,0,0
Bulgária,5139,2529,2610,278,158,120
Burkina Faso,27,21,6,6,5,1
Burundi,5,2,3,0,0,0
Butão,10,5,5,3,2,1
Cabo Verde,36748,17920,18828,4729,2322,2407
Camarões,306,190,116,61,40,21
Cambodja,48,23,25,27,16,11
Canadá,1624,856,768,442,239,203
Cazaquistão,760,374,386,106,58,48
Chade,3,2,1,0,0,0
Chile,586,284,302,200,96,104
China,22000,11138,10862,1115,539,576
Chipre,175,103,72,65,38,27
Colômbia,2135,1013,1122,583,322,261
Comores,3,2,1,1,1,0
Congo,83,29,54,13,6,7
Congo (Rep. Democrática),279,137,142,28,11,17
Coreia do Sul,271,112,159,62,28,34
Costa do Marfim,193,128,65,28,17,11
Costa Rica,101,42,59,17,9,8
Croácia,464,202,262,128,54,74
Cuba,1483,746,737,323,196,127
Desconhecido,23,14,9,5,2,3
Dinamarca,1583,928,655,330,207,123
Djibuti,4,4,0,0,0,0
Dominica,15,11,4,8,8,0
Egipto,636,398,238,169,115,54
El Salvador,79,47,32,26,17,9
Emiratos Árabes Unidos,10,6,4,1,0,1
Equador,615,298,317,168,73,95
Eritreia,178,132,46,1,1,0
Eslováquia,491,167,324,155,64,91
Eslovénia,290,121,169,71,31,40
Espanha,19508,9981,9527,3599,1923,1676
Estados Unidos da América,9794,4844,4950,3288,1666,1622
Estónia,373,142,231,96,49,47
Etiópia,68,36,32,14,10,4
Fidji (Ilhas),1,1,0,0,0,0
Filipinas,1208,309,899,199,56,143
Finlândia,1210,575,635,234,107,127
França,27512,14548,12964,4691,2541,2150
Gabão,33,15,18,6,3,3
Gâmbia,464,413,51,206,195,11
Gana,251,189,62,57,44,13
Geórgia,490,269,221,71,46,25
Granada,5,3,2,4,2,2
Grécia,979,557,422,321,218,103
Guatemala,94,47,47,18,9,9
Guiana,8,4,4,0,0,0
Guiné,1182,817,365,180,117,63
Guiné Bissau,23737,13223,10514,4235,2660,1575
Guiné Equatorial,45,18,27,6,2,4
Haiti,22,16,6,9,5,4
Honduras,64,29,35,8,5,3
Hong Kong,227,103,124,73,38,35
Hungria,1230,502,728,301,155,146
Iémen,34,23,11,7,4,3
Índia,35416,28651,6765,7414,5891,1523
Indonésia,892,726,166,229,200,29
Irão,1797,963,834,552,280,272
Iraque,555,302,253,55,30,25
Irlanda,4159,2432,1727,1121,654,467
Islândia,165,92,73,42,25,17
Israel,569,301,268,197,99,98
Itália,34039,19285,14754,6977,3862,3115
Jamaica,17,9,8,2,1,1
Japão,568,236,332,97,44,53
Jordânia,313,174,139,59,35,24
Kosovo,27,14,13,2,1,1
Kuwait,25,12,13,11,4,7
Laos,2,0,2,1,0,1
Lesoto,2,0,2,0,0,0
Letónia,749,274,475,237,109,128
Líbano,604,364,240,240,157,83
Libéria,19,14,5,3,1,2
Líbia,127,63,64,11,7,4
Liechtenstein,9,5,4,1,1,0
Lituânia,1006,314,692,193,74,119
Luxemburgo,605,334,271,184,102,82
Macau,3,0,3,1,0,1
Macedónia,66,26,40,17,8,9
Madagáscar,15,3,12,2,0,2
Malásia,120,41,79,25,10,15
Malawi,19,7,12,1,1,0
Maldivas,8,1,7,1,0,1
Mali,82,73,9,14,11,3
Malta,146,78,68,47,26,21
Marrocos,2575,1549,1026,651,446,205
Maurícias (Ilhas),37,22,15,8,6,2
Mauritânia,29,25,4,4,2,2
México,826,331,495,210,84,126
Moçambique,4785,2119,2666,1191,589,602
Moldávia,5243,2500,2743,501,272,229
Mongólia,25,5,20,4,0,4
Montenegro,21,14,7,6,5,1
Myanmar (Birmânia),8,4,4,4,1,3
Namíbia,41,14,27,8,4,4
