year;nationality;gender;permits_granted;resident_count
2015;Afeganistão;Feminino;2;15
2015;Afeganistão;Masculino;5;26
2015;Albânia;Feminino;3;26
2015;Albânia;Masculino;2;16
2015;Alemanha;Feminino;499;4410
2015;Alemanha;Masculino;525;4625
2015;Andorra;Feminino;0;0
2015;Andorra;Masculino;0;3
2015;Angola;Feminino;637;9760
2015;Angola;Masculino;640;8487
2015;Antígua e Barbuda;Feminino;0;1
2015;Antígua e Barbuda;Masculino;0;0
2015;Apátrida;Feminino;0;4
2015;Apátrida;Masculino;0;5
2015;Argentina;Feminino;25;230
2015;Argentina;Masculino;15;217
2015;Argélia;Feminino;18;133
2015;Argélia;Masculino;20;183
2015;Arménia;Feminino;4;42
2015;Arménia;Masculino;4;32
2015;Arábia Saudita;Feminino;1;9
2015;Arábia Saudita;Masculino;2;11
2015;Austrália;Feminino;21;136
2015;Austrália;Masculino;22;133
2015;Azerbaijão;Feminino;6;24
2015;Azerbaijão;Masculino;6;22
2015;Bahrein;Feminino;0;1
2015;Bahrein;Masculino;0;3
2015;Bangladesh;Feminino;78;380
2015;Bangladesh;Masculino;579;2191
2015;Barbados;Feminino;0;3
2015;Barbados;Masculino;0;1
2015;Belize;Feminino;0;4
2015;Belize;Masculino;0;2
2015;Benin;Feminino;0;1
2015;Benin;Masculino;2;11
2015;Bermudas;Feminino;0;1
2015;Bermudas;Masculino;0;2
2015;Bielorrússia;Feminino;23;408
2015;Bielorrússia;Masculino;8;224
2015;Bolívia;Feminino;9;81
2015;Bolívia;Masculino;1;28
2015;Botswana;Feminino;0;4
2015;Botswana;Masculino;0;3
2015;Brasil;Feminino;3336;50890
2015;Brasil;Masculino;2380;31700
2015;Bulgária;Feminino;489;3313
2015;Bulgária;Masculino;368;3409
2015;Burkina Faso;Feminino;2;4
2015;Burkina Faso;Masculino;1;9
2015;Burundi;Feminino;0;2
2015;Burundi;Masculino;1;4
2015;Butão;Feminino;1;1
2015;Butão;Masculino;0;0
2015;Bélgica;Feminino;180;1100
2015;Bélgica;Masculino;232;1288
2015;Bósnia e Herzegovina;Feminino;5;39
2015;Bósnia e Herzegovina;Masculino;2;18
2015;Cabo Verde;Feminino;1112;20667
2015;Cabo Verde;Masculino;913;18007
2015;Camarões;Feminino;12;49
2015;Camarões;Masculino;18;78
2015;Camboja;Feminino;1;7
2015;Camboja;Masculino;1;3
2015;Canadá;Feminino;37;349
2015;Canadá;Masculino;27;389
2015;Cazaquistão;Feminino;23;311
2015;Cazaquistão;Masculino;14;226
2015;Chade;Feminino;0;2
2015;Chade;Masculino;1;2
2015;Chile;Feminino;17;104
2015;Chile;Masculino;15;79
2015;China;Feminino;1328;10489
2015;China;Masculino;1248;10850
2015;Chipre;Feminino;2;8
2015;Chipre;Masculino;1;4
2015;Colômbia;Feminino;57;570
2015;Colômbia;Masculino;37;337
2015;Comores;Feminino;0;0
2015;Comores;Masculino;0;1
2015;Congo;Feminino;2;44
2015;Congo;Masculino;0;20
2015;Coreia do Sul;Feminino;14;112
2015;Coreia do Sul;Masculino;8;70
2015;Costa Rica;Feminino;4;31
2015;Costa Rica;Masculino;5;22
2015;Costa do Marfim;Feminino;4;33
2015;Costa do Marfim;Masculino;8;88
2015;Croácia;Feminino;23;100
2015;Croácia;Masculino;26;74
2015;Cuba;Feminino;37;499
2015;Cuba;Masculino;26;402
2015;Desconhecido;Feminino;0;5
2015;Desconhecido;Masculino;0;9
2015;Dinamarca;Feminino;41;253
2015;Dinamarca;Masculino;42;322
2015;Dominica;Feminino;0;4
