nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;41;19;4;1
África do Sul;675;704;183;144
Albânia;49;36;9;6
Alemanha;6690;6127;1360;1109
Andorra;11;5;3;2
Angola;8292;10090;1354;1523
Antígua e Barbuda;3;2;3;2
Apátrida;19;11;1;1
Arábia Saudita;84;81;21;19
Argélia;196;143;48;24
Argentina;229;257;47;35
Arménia;32;46;3;5
Austrália;187;185;39;33
Áustria;580;539;132;117
Azerbaijão;19;28;4;7
Bahamas;0;1;0;1
Bahrein;7;6;4;0
Bangladesh;4211;1114;1553;401
Barbados;1;3;0;0
Bélgica;2279;1868;487;381
Belize;3;4;0;0
Benin;12;0;3;0
Bielorrússia;179;378;14;27
Bolívia;39;86;9;8
Bósnia e Herzegovina;16;42;3;7
Botswana;3;4;1;2
Brasil;42848;62575;13433;14777
Brunei;0;1;0;1
Bulgária;3391;3540;217;323
Burkina Faso;17;7;3;3
Burundi;4;2;0;0
Butão;3;2;1;0
Cabo Verde;16114;18549;1218;1347
Camarões;97;75;21;26
Camboja;4;13;3;5
Canadá;457;425;76;69
Cazaquistão;204;291;13;16
Chade;1;1;0;0
Chile;116;120;23;23
China;12622;12735;1141;1194
Chipre;28;31;10;10
Colômbia;364;609;79;109
Congo;35;45;5;8
República Democrática do Congo;127;113;17;10
Ilhas Cook;0;1;0;0
Coreia do Sul;70;102;17;29
Costa do Marfim;96;52;14;12
Costa Rica;35;51;9;8
Croácia;178;172;53;49
Cuba;435;540;55;59
Desconhecido;6;3;0;0
Dinamarca;584;395;104;79
Djibuti;3;2;0;0
Dominica;4;4;1;0
Egipto;217;138;44;41
El Salvador;25;21;2;2
Emiratos Árabes Unidos;12;7;3;1
Equador;151;179;59;33
Eritreia;165;41;40;4
Eslováquia;85;202;25;51
Eslovénia;61;90;11;34
Espanha;7171;6895;1485;1414
Estados Unidos da América;1634;1620;352;362
Estónia;61;167;20;31
Etiópia;22;28;6;7
Ilhas Fiji;2;2;0;1
Filipinas;231;621;29;85
Finlândia;656;607;79;81
França;10596;9175;2895;2411
Gabão;11;13;2;2
Gâmbia;116;40;13;4
Gana;100;42;20;2
Geórgia;226;227;22;24
Granada;1;2;0;0
Grécia;249;267;61;76
Guatemala;18;32;6;6
Guiana;5;4;1;0
Guiné;913;432;119;96
Guiné-Bissau;8522;7664;1011;896
Guiné Equatorial;25;33;2;5
Haiti;4;1;1;0
Países Baixos;4825;4159;800;677
Honduras;11;30;6;8
Hong Kong;11;9;6;2
Hungria;266;482;81;118
Iémen;12;4;2;0
Índia;8138;3255;3132;962
Indonésia;188;92;89;20
Irão;453;385;101;83
Iraque;205;147;28;19
Irlanda;1001;751;290;189
Islândia;45;43;13;10
Israel;107;91;31;17
Itália;11122;7740;4016;2973
Jamaica;8;5;1;0
Japão;183;277;24;32
Jordânia;184;137;46;33
Kosovo;18;21;3;4
Kuwait;15;6;1;1
Laos;1;2;0;0
Lesoto;0;1;0;0
Letónia;135;308;20;41
Líbano;251;189;60;54
Libéria;12;2;1;0
Líbia;64;51;9;4
Liechtenstein;4;4;0;0
Lituânia;232;516;46;96
Luxemburgo;125;112;31;33
Macau;0;2;0;2
Macedónia do Norte;23;32;4;7
Madagáscar;1;9;1;1
Malásia;24;43;5;13
Maláui;6;13;2;0
Maldivas;3;6;3;0
Mali;42;10;3;1
Malta;26;21;5;2
Marrocos;757;782;105;96
Ilhas Marshall;0;1;0;0
Ilhas Maurícias;19;14;4;4
Mauritânia;23;4;3;0
México;208;312;34;60
Moçambique;1262;1743;193;274
Moldávia;2137;2697;158;208
Mongólia;3;20;1;0
Montenegro;5;6;2;0
Mianmar;3;2;0;0
Namíbia;5;15;3;4
Nepal;7313;4176;2743;1468
Nicarágua;6;17;4;6
Níger;1;0;0;0
Nigéria;331;212;52;44
Noruega;429;355;93;62
Nova Zelândia;37;36;6;10
Omã;4;2;0;0
Palestina;36;34;6;8
Panamá;24;51;7;12
Paquistão;2977;1396;861;408
Paraguai;18;84;10;0
Peru;101;184;28;34
Polónia;741;1579;234;392
Qatar;0;1;0;1
Quénia;40;57;8;4
Quirguistão;10;16;3;3
Reino Unido;14205;12240;2844;2235
Reino Unido;4;6;0;0
República Centro-Africana;4;5;0;2
República Checa;160;303;54;89
República Dominicana;59;88;10;11
Roménia;16875;14033;1367;751
Ruanda;9;19;1;1
Rússia;1526;2839;193;302
Samoa;0;1;0;0
Santa Lúcia;0;1;0;0
São Cristóvão e Nevis;23;18;4;1
São Tomé e Príncipe;4096;5057;534;629
São Vicente e Granadinas;0;1;0;0
Senegal;817;431;78;40
Serra Leoa;45;31;10;5
Sérvia;81;120;10;24
Seychelles;7;3;0;0
Singapura;12;28;3;7
Síria;478;370;65;56
Somália;42;22;23;9
Sri Lanka;53;30;10;3
Essuatíni;1;4;1;0
Sudão;42;18;17;4
Suécia;2371;1903;463;461
Suíça;1167;1023;266;255
Tailândia;1047;546;161;121
Taiwan;11;30;6;12
Tajiquistão;10;14;3;6
Tanzânia;22;13;6;6
Timor-Leste;150;113;55;58
Togo;19;12;3;0
Trindade e Tobago;8;2;3;1
Tunísia;176;110;45;26
Turquemenistão;5;6;2;0
Turquia;555;535;286;277
Ucrânia;13435;15783;687;860
Uganda;14;12;2;2
Uruguai;66;66;14;12
Uzbequistão;558;428;42;35
Vanuatu;0;1;0;0
Venezuela;1914;2826;731;962
Vietname;153;171;81;91
Zâmbia;2;6;1;0
Zimbabwe;31;33;7;7
