nationality;resident_count_male;resident_count_female;permits_granted_male;permits_granted_female
Afeganistão;728;503;119;100
África do Sul;2076;2016;379;373
Albânia;85;62;7;8
Alemanha;12896;11972;1846;1845
Andorra;14;10;4;4
Angola;43853;48495;17106;16720
Anguila;0;1;0;0
Antígua e Barbuda;17;11;6;3
Apátrida;7;5;0;0
Arábia Saudita;122;89;9;5
Argélia;12477;1352;1811;225
Argentina;4255;3513;518;453
Arménia;131;156;55;47
Austrália;646;515;134;118
Áustria;964;1015;148;174
Azerbaijão;93;64;13;13
Bahamas;4;1;1;0
Bangladesh;48128;7071;9240;1608
Barbados;5;1;2;1
Bahrein;20;10;2;2
Bélgica;4089;3197;550;431
Belize;4;4;1;0
Benin;52;12;13;3
Bermudas;3;5;0;1
Bielorrússia;972;1177;237;264
Bolívia;98;140;24;24
Bósnia e Herzegovina;29;43;3;4
Botswana;10;15;5;4
Brasil;237583;247013;19698;19015
Brunei;3;4;0;0
Bulgária;1880;2070;84;89
Burkina Faso;40;11;6;0
Burundi;7;6;0;0
Butão;7;15;0;1
Cabo Verde;32204;33303;7605;7407
Camarões;503;216;66;28
Camboja;47;54;6;8
Canadá;1508;1368;325;307
Cazaquistão;483;496;53;63
Chade;2;6;0;5
Checoslováquia;0;1;0;1
Chile;846;862;199;212
China;15275;15459;913;1078
Chipre;136;109;23;22
Colômbia;7209;4770;1064;687
Costa do Marfim;254;103;18;14
Costa Rica;124;97;27;20
Croácia;254;344;62;64
Cuba;1373;1265;228;209
Dinamarca;1171;775;161;99
Dominica;44;13;13;7
Egipto;2218;520;421;116
El Salvador;152;120;15;17
Emiratos Árabes Unidos;22;19;0;3
Equador;832;752;205;169
Eritreia;96;30;3;4
Eslovénia;157;208;30;37
Espanha;11457;10673;1684;1620
Estados Unidos da América;9647;9611;2492;2449
Estónia;201;306;35;48
Etiópia;59;52;12;5
Filipinas;592;1601;138;224
Finlândia;667;757;92;106
França;15350;13659;1903;1747
Gabão;22;19;5;2
Gâmbia;1684;115;311;15
Gana;704;270;63;17
Geórgia;436;293;54;35
Reino Unido;39;41;7;3
Granada;9;6;3;3
Grécia;727;513;84;117
Guatemala;115;101;13;14
Guiana;8;7;0;1
Guiné-Bissau;28432;18820;7348;4291
Guiné;1337;427;160;40
Guiné Equatorial;24;34;1;2
Haiti;24;10;2;4
Honduras;67;73;9;12
Hong Kong;146;170;32;39
Hungria;715;977;139;187
Iémen;53;25;12;9
Ilhas Fiji;3;2;1;1
Ilhas Marshall;1;0;0;0
Ilhas Maurícias;39;35;4;3
Ilhas Salomão;1;0;0;0
Índia;82907;15709;8302;2919
Indonésia;997;241;160;40
Irão;1578;1356;203;230
Iraque;445;341;32;12
Irlanda;3562;2519;527;397
Islândia;137;104;27;19
Israel;888;740;318;259
Itália;22592;17429;3584;2837
Jamaica;14;19;3;2
Japão;309;451;50;63
Djibuti;6;2;0;0
Jordânia;420;281;60;31
Jugoslávia;0;1;0;0
Kosovo;20;25;1;8
Kuwait;50;39;5;0
Laos;1;7;1;3
Lesoto;1;3;0;0
Letónia;422;609;93;93
Líbano;852;597;176;153
Libéria;38;18;6;2
Líbia;125;69;16;9
Liechtenstein;5;6;0;0
Lituânia;457;817;98;116
Luxemburgo;460;370;95;59
Macau;3;8;1;2
Macedónia do Norte;29;70;1;15
Madagáscar;16;25;1;6
Malásia;74;129;13;25
Maláui;14;23;1;1
Maldivas;1;8;1;0
Mali;125;15;18;5
Malta;115;93;16;16
Marrocos;10087;2373;1927;420
Mauritânia;58;4;10;0
México;680;812;113;126
Moçambique;6844;6860;2466;2207
Moldávia;3137;2818;171;117
Mongólia;13;40;4;7
Montenegro;18;15;4;2
Mianmar;10;20;2;6
Namíbia;32;48;7;4
Nauru;1;0;0;0
Nepal;37704;20382;3563;2528
Nicarágua;77;81;6;16
Níger;22;4;6;2
Nigéria;3766;1503;545;223
Noruega;800;556;139;104
Nova Zelândia;148;122;32;35
Omã;6;9;3;5
Países Baixos;8055;6984;1262;1090
Palau;1;0;0;0
Palestina;78;45;13;11
Panamá;73;87;15;14
Papua-Nova Guiné;1;1;0;0
Paquistão;35943;5565;5949;1234
Paraguai;237;258;37;20
Peru;2418;918;410;107
Polónia;2190;3489;400;600
Qatar;9;4;0;0
Quénia;114;145;26;27
Quirguistão;39;37;14;10
Reino Unido;26734;21504;1640;1254
República Democrática do Congo;254;195;27;15
República Centro-Africana;1;2;0;0
República Checa;418;596;94;138
Coreia do Sul;213;280;54;71
Congo;95;80;17;6
Sudão;132;99;15;11
República Dominicana;125;155;28;23
Eslováquia;282;419;69;73
Roménia;9460;9135;544;461
Ruanda;29;33;6;4
Rússia;8653;9856;2600;2979
Samoa;1;1;0;0
Santa Lúcia;4;2;1;0
São Cristóvão e Nevis;54;31;10;4
São Tomé e Príncipe;19785;20327;5747;6111
São Vicente e Granadinas;2;0;1;0
Senegal;4605;651;668;53
Serra Leoa;189;48;30;8
Sérvia;196;229;35;30
Seychelles;3;7;1;1
Singapura;86;111;23;15
Síria;741;621;42;29
Somália;71;23;5;3
Sri Lanka;551;186;131;61
Essuatíni;11;31;0;3
Sudão do Sul;35;36;2;3
Suécia;3477;2905;314;309
Suíça;2128;1930;221;220
Suriname;14;11;2;0
Tailândia;1801;1677;100;150
Taiwan;51;77;22;29
Tajiquistão;35;30;4;2
Tanzânia;35;37;4;3
Timor-Leste;1225;620;88;101
Togo;84;21;8;4
Trindade e Tobago;20;16;2;5
Tunísia;3267;789;540;220
Turquemenistão;20;13;5;1
Turquia;1872;1617;420;379
Ucrânia;31271;47961;882;833
Uganda;41;45;4;5
Comores;2;4;2;1
URSS;1;4;0;0
Uruguai;238;216;32;32
Uzbequistão;1146;543;53;37
Vanuatu;14;4;4;2
Venezuela;7661;8506;791;812
Vietname;644;622;86;86
Zâmbia;19;35;1;1
Zimbabwe;94;110;19;12
