year;resident_count;report_id;source_id;revised;difference_absolute;methodology_break
1980;50750;R001;D023;False;;False
1981;54414;R001;D023;False;;False
1982;58667;R001;D023;False;;False
1983;67485;R001;D023;False;;False
1984;73365;R001;D023;False;;False
1985;79594;R001;D023;False;;False
1986;86982;R001;D023;False;;False
1987;89778;R001;D023;False;;False
1988;94694;R001;D023;False;;False
1989;101011;R001;D023;False;;False
1990;107767;R001;D023;False;;False
1991;113978;R001;D023;False;;False
1992;123612;R001;D023;False;;False
1993;136932;R001;D023;False;;False
1994;157073;R001;D023;False;;False
1995;168316;R001;D023;False;;False
1996;172912;R001;D023;False;;False
1997;175263;R001;D023;False;;False
1998;178137;R001;D023;False;;False
1999;191143;R001;D023;False;;False
2000;207587;R001;D023;False;;False
2001;350898;R001;D023;False;;False
2002;413487;R001;D023;False;;False
2003;433650;R001;D023;False;;False
2004;447155;R001;D023;False;;False
2005;414659;R001;D023;False;;False
2006;420189;R001;D023;False;;False
2007;435736;R001;D023;False;;False
2008;440277;R001;D023;False;;False
2009;454191;R001;D023;False;;False
2010;445262;R001;D023;False;;False
2011;436822;R001;D023;False;;False
2012;417042;R001;D023;False;;False
2013;401320;R001;D023;False;;False
2014;395195;R001;D023;False;;False
2015;388731;R001;D023;False;;False
2016;397731;R001;D023;False;;False
2017;421802;R002;D112;True;91;False
2018;480670;R002;D112;True;370;False
2019;592210;R002;D112;True;1862;False
2020;666830;R002;D112;True;4735;False
2021;714508;R002;D112;True;15621;False
2022;992837;R002;D112;True;210922;False
2023;1304833;R002;D112;True;260227;False
2024;1543697;R002;D112;False;;True
