year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2008;PT;Portugal;Accommodation and food service activities;317.5;317500.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";175.1;175100.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Administrative and support service activities;132.5;132500.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Agriculture, forestry and fishing;584.7;584700.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Arts, entertainment and recreation;45.5;45500.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Construction;539.6;539600.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Education;341.8;341800.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Electricity, gas, steam and air conditioning supply;22.6;22600.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Financial and insurance activities;95.0;95000.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Human health and social work activities;300.9;300900.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Information and communication;90.9;90900.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Manufacturing;869.7;869700.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Mining and quarrying;17.3;17300.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Other service activities;89.1;89100.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Professional, scientific and technical activities;170.9;170900.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;"Public administration and defence; compulsory social security";334.7;334700.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Real estate activities;26.7;26700.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2008;PT;Portugal;Transportation and storage;175.0;175000.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
