citizenship;gender;reporting_country;year;immigrant_count;obs_flag
Andorra;Females;Austria;1998;0;
Andorra;Females;Austria;2001;0;
Andorra;Females;Austria;2007;0;
Andorra;Females;Austria;2008;0;
Andorra;Females;Austria;2009;0;
Andorra;Females;Austria;2011;0;
Andorra;Females;Austria;2012;0;
Andorra;Females;Austria;2015;0;
Andorra;Females;Austria;2016;0;
Andorra;Females;Austria;2018;0;
Andorra;Females;Austria;2019;0;
Andorra;Females;Austria;2020;0;
Andorra;Females;Austria;2023;0;
Andorra;Females;Austria;2024;0;
Andorra;Females;Belgium;2011;0;
Andorra;Females;Belgium;2012;0;
Andorra;Females;Belgium;2013;0;
Andorra;Females;Belgium;2015;0;
Andorra;Females;Belgium;2016;0;
Andorra;Females;Belgium;2018;0;
Andorra;Females;Belgium;2019;0;
Andorra;Females;Belgium;2023;0;
Andorra;Females;Bulgaria;2012;0;bp
Andorra;Females;Bulgaria;2013;;p
Andorra;Females;Bulgaria;2014;0;p
Andorra;Females;Bulgaria;2016;0;
Andorra;Females;Bulgaria;2018;0;p
Andorra;Females;Bulgaria;2019;0;p
Andorra;Females;Bulgaria;2020;0;
Andorra;Females;Bulgaria;2023;0;
Andorra;Females;Bulgaria;2024;0;
Andorra;Females;Czechia;2020;0;
Andorra;Females;Czechia;2023;0;
Andorra;Females;Germany;2014;0;
Andorra;Females;Germany;2015;0;
Andorra;Females;Germany;2016;0;
Andorra;Females;Germany;2017;0;
Andorra;Females;Germany;2018;0;
Andorra;Females;Germany;2019;0;
Andorra;Females;Germany;2020;0;
Andorra;Females;Germany;2021;0;
Andorra;Females;Germany;2022;0;
Andorra;Females;Germany;2023;0;
Andorra;Females;Germany;2024;0;
Andorra;Females;Denmark;2020;0;
Andorra;Females;Denmark;2021;0;
Andorra;Females;Estonia;2023;0;
Andorra;Females;Spain;1998;0;
Andorra;Females;Spain;2000;0;
Andorra;Females;Spain;2001;0;
Andorra;Females;Spain;2021;0;
Andorra;Females;Spain;2022;0;
Andorra;Females;Spain;2023;0;
Andorra;Females;Spain;2024;0;
Andorra;Females;Finland;1998;0;
Andorra;Females;Finland;2000;0;
Andorra;Females;Finland;2001;0;
Andorra;Females;Finland;2008;0;
Andorra;Females;Finland;2014;0;
Andorra;Females;Finland;2015;0;
Andorra;Females;Finland;2016;0;
Andorra;Females;Finland;2018;0;
Andorra;Females;Finland;2019;0;
Andorra;Females;Finland;2020;0;
Andorra;Females;Finland;2023;0;
Andorra;Females;Finland;2024;0;
Andorra;Females;Croatia;1998;0;
Andorra;Females;Croatia;2001;0;
Andorra;Females;Croatia;2008;0;b
Andorra;Females;Croatia;2009;0;
Andorra;Females;Croatia;2010;0;
Andorra;Females;Croatia;2011;0;
Andorra;Females;Croatia;2012;0;
Andorra;Females;Croatia;2013;0;
Andorra;Females;Croatia;2014;0;
Andorra;Females;Croatia;2015;0;
Andorra;Females;Croatia;2016;0;
Andorra;Females;Croatia;2018;0;
Andorra;Females;Croatia;2019;0;
Andorra;Females;Croatia;2020;0;
Andorra;Females;Croatia;2023;0;
Andorra;Females;Croatia;2024;0;
Andorra;Females;Hungary;2020;0;
Andorra;Females;Hungary;2021;0;
Andorra;Females;Hungary;2023;0;
Andorra;Females;Hungary;2024;0;
Andorra;Females;Ireland;2007;0;
Andorra;Females;Ireland;2008;0;
Andorra;Females;Ireland;2009;0;
Andorra;Females;Ireland;2010;0;
Andorra;Females;Italy;2014;0;
Andorra;Females;Italy;2015;0;
Andorra;Females;Italy;2016;0;
Andorra;Females;Italy;2018;0;
Andorra;Females;Italy;2019;0;
Andorra;Females;Italy;2020;0;
Andorra;Females;Italy;2022;0;
Andorra;Females;Italy;2023;0;
Andorra;Females;Italy;2024;0;
Andorra;Females;Lithuania;1998;0;
Andorra;Females;Lithuania;2000;0;
Andorra;Females;Lithuania;2001;0;
Andorra;Females;Lithuania;2008;0;
Andorra;Females;Lithuania;2009;0;
Andorra;Females;Lithuania;2010;0;
Andorra;Females;Lithuania;2011;0;
Andorra;Females;Lithuania;2021;0;
Andorra;Females;Lithuania;2023;0;
