country;year;numbrer_of_immigrants
Austria;2013;101866
Austria;2014;116262
Austria;2015;166323
Austria;2016;129509
Austria;2017;111801
Austria;2018;105633
Austria;2019;109167
Austria;2020;103565
Austria;2021;118511
Austria;2022;201622
Austria;2023;147591
Austria;2024;128805
Belgica;2013;120078
Belgica;2014;123158
Belgica;2015;146626
Belgica;2016;123702
Belgica;2017;126703
Belgica;2018;137860
Belgica;2019;150006
Belgica;2020;118683
Belgica;2021;139743
Belgica;2022;208356
Belgica;2023;169609
Belgica;2024;162926
Bulgaria;2013;18570
Bulgaria;2014;26615
Bulgaria;2015;25223
Bulgaria;2016;21241
Bulgaria;2017;25597
Bulgaria;2018;29559
Bulgaria;2019;37929
Bulgaria;2020;37364
Bulgaria;2021;39461
Bulgaria;2022;40619
Bulgaria;2023;56807
Bulgaria;2024;52189
Croatia;2013;10378
Croatia;2014;10638
Croatia;2015;11706
Croatia;2016;13985
Croatia;2017;15553
Croatia;2018;26029
Croatia;2019;37726
Croatia;2020;33414
Croatia;2021;35912
Croatia;2022;57972
Croatia;2023;69396
Croatia;2024;70391
Chipre ;2013;13666
Chipre ;2014;13003
Chipre ;2015;15364
Chipre ;2016;18590
Chipre ;2017;22458
Chipre ;2018;25740
Chipre ;2019;27553
Chipre ;2020;22850
Chipre ;2021;25473
Chipre ;2022;37558
Chipre ;2023;40761
Chipre ;2024;40471
Republica Checa;2013;30124
Republica Checa;2014;29897
Republica Checa;2015;29602
Republica Checa;2016;64083
Republica Checa;2017;51847
Republica Checa;2018;65910
Republica Checa;2019;105888
Republica Checa;2020;63095
Republica Checa;2021;69360
Republica Checa;2022;347429
Republica Checa;2023;142149
Republica Checa;2024;123910
Dinamarca;2013;60312
Dinamarca;2014;68388
Dinamarca;2015;78492
Dinamarca;2016;74383
Dinamarca;2017;68579
Dinamarca;2018;64669
Dinamarca;2019;61384
Dinamarca;2020;57230
Dinamarca;2021;63489
Dinamarca;2022;121183
Dinamarca;2023;98344
Dinamarca;2024;101724
Estonia;2013;4109
Estonia;2014;3904
Estonia;2015;15413
Estonia;2016;14822
Estonia;2017;17616
Estonia;2018;17547
Estonia;2019;18259
Estonia;2020;16209
Estonia;2021;19524
Estonia;2022;49414
Estonia;2023;26399
Estonia;2024;18634
Finlandia;2013;31941
Finlandia;2014;31507
Finlandia;2015;28746
Finlandia;2016;34905
Finlandia;2017;31797
Finlandia;2018;31106
Finlandia;2019;32758
Finlandia;2020;32898
Finlandia;2021;36364
Finlandia;2022;49998
Finlandia;2023;73236
Finlandia;2024;63965
Franca;2013;338752
Franca;2014;340383
Franca;2015;364221
Franca;2016;377709
Franca;2017;369621
Franca;2018;387160
Franca;2019;385596
Franca;2020;331137
Franca;2021;388513
Franca;2022;490655
Franca;2023;467548
Franca;2024;438626
Alemanha;2013;692713
Alemanha;2014;898840
Alemanha;2015;1595865
Alemanha;2016;1042484
Alemanha;2017;900291
Alemanha;2018;855708
Alemanha;2019;834338
Alemanha;2020;666639
Alemanha;2021;801361
Alemanha;2022;1977121
Alemanha;2023;1303251
Alemanha;2024;1078504
Grecia;2013;57946
Grecia;2014;59013
Grecia;2015;64446
Grecia;2016;116867
Grecia;2017;112247
Grecia;2018;119489
Grecia;2019;129459
Grecia;2020;84221
Grecia;2021;57120
Grecia;2022;95374
Grecia;2023;116591
Grecia;2024;132149
Hungria;2013;38968
Hungria;2014;54581
Hungria;2015;58344
Hungria;2016;53618
Hungria;2017;68070
Hungria;2018;82937
Hungria;2019;88581
Hungria;2020;75470
Hungria;2021;80471
Hungria;2022;94148
Hungria;2023;96192
Hungria;2024;88418
Irlanda;2013;65539
Irlanda;2014;73519
Irlanda;2015;80792
Irlanda;2016;93378
Irlanda;2017;84743
Irlanda;2018;105699
Irlanda;2019;96321
Irlanda;2020;81918
Irlanda;2021;83770
Irlanda;2022;157537
Irlanda;2023;135617
Irlanda;2024;127664
Italia;2013;307454
Italia;2014;277631
Italia;2015;280078
Italia;2016;300823
Italia;2017;343440
Italia;2018;332324
Italia;2019;332778
Italia;2020;247526
Italia;2021;318366
Italia;2022;410985
Italia;2023;439658
Italia;2024;451583
Letonia;2013;8299
Letonia;2014;10365
Letonia;2015;9479
Letonia;2016;8345
Letonia;2017;9916
Letonia;2018;10909
Letonia;2019;11223
Letonia;2020;8840
Letonia;2021;12689
Letonia;2022;38708
Letonia;2023;15629
Letonia;2024;14701
Lituania;2013;30924
Lituania;2014;33544
Lituania;2015;31085
Lituania;2016;31395
Lituania;2017;33305
Lituania;2018;37420
Lituania;2019;46526
Lituania;2020;46020
Lituania;2021;44858
Lituania;2022;87367
Lituania;2023;66682
Lituania;2024;51845
Luxemburgo;2013;21098
Luxemburgo;2014;22332
Luxemburgo;2015;23803
Luxemburgo;2016;22888
Luxemburgo;2017;24379
Luxemburgo;2018;24644
Luxemburgo;2019;26668
Luxemburgo;2020;22490
Luxemburgo;2021;25335
Luxemburgo;2022;31433
Luxemburgo;2023;26964
Luxemburgo;2024;25725
Malta;2013;12446
Malta;2014;15928
Malta;2015;18202
Malta;2016;18116
Malta;2017;22750
Malta;2018;27394
Malta;2019;29304
Malta;2020;14751
Malta;2021;16963
Malta;2022;34964
Malta;2023;42239
Malta;2024;34033
Polonia;2013;220311
Polonia;2014;222275
Polonia;2015;218147
Polonia;2016;208302
Polonia;2017;209353
Polonia;2018;214083
Polonia;2019;226649
Polonia;2020;210615
Polonia;2021;241116
Polonia;2022;275515
Polonia;2023;303275
Polonia;2024;300496
Portugal;2013;17757
Portugal;2014;23077
Portugal;2015;36849
Portugal;2016;37644
Portugal;2017;46649
Portugal;2018;55357
Portugal;2019;95382
Portugal;2020;83654
Portugal;2021;97119
Portugal;2022;167098
Portugal;2023;189367
Romenia;2013;153646
Romenia;2014;136035
Romenia;2015;132795
Romenia;2016;137455
Romenia;2017;177435
Romenia;2018;172578
Romenia;2019;202422
Romenia;2020;145519
Romenia;2021;194642
Romenia;2022;293024
Romenia;2023;324091
Romenia;2024;286538
Eslovaquia;2013;5149
Eslovaquia;2014;5357
Eslovaquia;2015;6997
Eslovaquia;2016;7686
Eslovaquia;2017;7188
Eslovaquia;2018;7253
Eslovaquia;2019;7016
Eslovaquia;2020;6775
Eslovaquia;2021;5733
Eslovaquia;2022;5463
Eslovaquia;2023;5923
Eslovaquia;2024;6824
Eslovenia;2013;13871
Eslovenia;2014;13846
Eslovenia;2015;15420
Eslovenia;2016;16623
Eslovenia;2017;18808
Eslovenia;2018;28455
Eslovenia;2019;31319
Eslovenia;2020;36110
Eslovenia;2021;23624
Eslovenia;2022;35613
Eslovenia;2023;33939
Eslovenia;2024;33023
Espanha;2013;280772
Espanha;2014;305454
Espanha;2015;342114
Espanha;2016;414746
Espanha;2017;532132
Espanha;2018;643684
Espanha;2019;750480
Espanha;2020;467918
Espanha;2021;887960
Espanha;2022;1258894
Espanha;2023;1250991
Espanha;2024;1288562
Suecia;2013;115845
Suecia;2014;126966
Suecia;2015;134240
Suecia;2016;163005
Suecia;2017;144489
Suecia;2018;132602
