year;quarter;period;country;gdp_million_eur;source_id;source;unit;price_basis;seasonal_adjusted;notes
1995;Q1;1995-Q1;PT;21803.341;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1995;Q2;1995-Q2;PT;22155.916;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1995;Q3;1995-Q3;PT;22402.001;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1995;Q4;1995-Q4;PT;22667.299;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1996;Q1;1996-Q1;PT;22932.634;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1996;Q2;1996-Q2;PT;23292.466;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1996;Q3;1996-Q3;PT;23979.429;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1996;Q4;1996-Q4;PT;24147.062;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1997;Q1;1997-Q1;PT;24900.23;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1997;Q2;1997-Q2;PT;25298.698;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1997;Q3;1997-Q3;PT;25895.437;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1997;Q4;1997-Q4;PT;26236.595;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1998;Q1;1998-Q1;PT;26957.669;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1998;Q2;1998-Q2;PT;27607.648;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1998;Q3;1998-Q3;PT;28169.153;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1998;Q4;1998-Q4;PT;28618.911;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1999;Q1;1999-Q1;PT;29320.088;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1999;Q2;1999-Q2;PT;29687.185;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1999;Q3;1999-Q3;PT;30017.213;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
1999;Q4;1999-Q4;PT;30578.819;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2000;Q1;2000-Q1;PT;31471.176;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2000;Q2;2000-Q2;PT;31670.308;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2000;Q3;2000-Q3;PT;32442.256;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2000;Q4;2000-Q4;PT;32830.705;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2001;Q1;2001-Q1;PT;33102.574;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2001;Q2;2001-Q2;PT;33717.509;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2001;Q3;2001-Q3;PT;34040.671;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2001;Q4;2001-Q4;PT;34914.255;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2002;Q1;2002-Q1;PT;35331.942;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2002;Q2;2002-Q2;PT;35558.735;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2002;Q3;2002-Q3;PT;35776.466;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2002;Q4;2002-Q4;PT;35887.12;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2003;Q1;2003-Q1;PT;36039.486;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2003;Q2;2003-Q2;PT;36326.519;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2003;Q3;2003-Q3;PT;36611.008;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2003;Q4;2003-Q4;PT;37090.845;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2004;Q1;2004-Q1;PT;37366.864;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2004;Q2;2004-Q2;PT;37984.724;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2004;Q3;2004-Q3;PT;38191.047;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2004;Q4;2004-Q4;PT;38705.753;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2005;Q1;2005-Q1;PT;38950.837;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
2005;Q2;2005-Q2;PT;39566.513;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;current_prices;yes;
