year;country;gdp_real_pc_yoy_growth_pct;source_id;source;unit;price_basis;data_flag;notes
1996;PT;3.1;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
1997;PT;3.9;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
1998;PT;4.3;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
1999;PT;3.3;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2000;PT;3.1;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2001;PT;1.2;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2002;PT;0.2;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2003;PT;-1.3;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2004;PT;1.5;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2005;PT;0.6;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2006;PT;1.4;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2007;PT;2.3;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2008;PT;0.2;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2009;PT;-3.2;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2010;PT;1.7;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2011;PT;-1.7;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2012;PT;-3.7;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2013;PT;-0.4;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2014;PT;1.3;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2015;PT;2.0;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2016;PT;2.3;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2017;PT;3.5;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2018;PT;3.0;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2019;PT;2.5;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2020;PT;-8.5;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;Impacto COVID-19 — maior queda registada
2021;PT;5.3;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;Recuperacao pos-COVID
2022;PT;6.4;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;Crescimento real forte pos-pandemia
2023;PT;2.0;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;;
2024;PT;1.1;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;coef_variacao_elevado;
2025;PT;0.8;FONTE-004;INE Contas Nacionais Anuais Base 2021;percentage;chain_volume_2021;nao_aplicavel;
