cae_code;activity_description;year;companies_count
A;Agr., pr. animal, caca, flor. pesca;2014;13063
A;Agr., pr. animal, caca, flor. pesca;2015;13445
A;Agr., pr. animal, caca, flor. pesca;2016;13755
A;Agr., pr. animal, caca, flor. pesca;2017;13847
A;Agr., pr. animal, caca, flor. pesca;2018;13971
A;Agr., pr. animal, caca, flor. pesca;2019;13547
A;Agr., pr. animal, caca, flor. pesca;2020;13691
A;Agr., pr. animal, caca, flor. pesca;2021;13199
A;Agr., pr. animal, caca, flor. pesca;2022;13618
A;Agr., pr. animal, caca, flor. pesca;2023;13805
A;Agr., pr. animal, caca, flor. pesca;2024;13716
B;Industrias extrativas;2014;564
B;Industrias extrativas;2015;558
B;Industrias extrativas;2016;536
B;Industrias extrativas;2017;542
B;Industrias extrativas;2018;526
B;Industrias extrativas;2019;510
B;Industrias extrativas;2020;504
B;Industrias extrativas;2021;486
B;Industrias extrativas;2022;494
B;Industrias extrativas;2023;499
B;Industrias extrativas;2024;467
C;Industrias transformadoras;2014;32895
C;Industrias transformadoras;2015;32998
C;Industrias transformadoras;2016;33278
C;Industrias transformadoras;2017;33315
C;Industrias transformadoras;2018;33177
C;Industrias transformadoras;2019;31905
C;Industrias transformadoras;2020;31715
C;Industrias transformadoras;2021;30818
C;Industrias transformadoras;2022;31733
C;Industrias transformadoras;2023;31551
C;Industrias transformadoras;2024;30548
10;Industrias alimentares;2014;5204
10;Industrias alimentares;2015;5167
10;Industrias alimentares;2016;5144
10;Industrias alimentares;2017;5090
10;Industrias alimentares;2018;4956
10;Industrias alimentares;2019;4813
10;Industrias alimentares;2020;4694
10;Industrias alimentares;2021;4496
10;Industrias alimentares;2022;4541
10;Industrias alimentares;2023;4474
10;Industrias alimentares;2024;4276
11;Industria das bebidas;2014;575
11;Industria das bebidas;2015;590
11;Industria das bebidas;2016;617
11;Industria das bebidas;2017;628
11;Industria das bebidas;2018;644
11;Industria das bebidas;2019;659
11;Industria das bebidas;2020;663
11;Industria das bebidas;2021;651
11;Industria das bebidas;2022;684
11;Industria das bebidas;2023;701
11;Industria das bebidas;2024;709
12;Industria do tabaco;2014;1
12;Industria do tabaco;2015;1
12;Industria do tabaco;2016;1
12;Industria do tabaco;2017;1
12;Industria do tabaco;2018;1
12;Industria do tabaco;2019;1
12;Industria do tabaco;2020;1
12;Industria do tabaco;2021;1
12;Industria do tabaco;2022;1
12;Industria do tabaco;2023;1
12;Industria do tabaco;2024;1
13;Fabricacao de texteis;2014;1591
13;Fabricacao de texteis;2015;1628
13;Fabricacao de texteis;2016;1636
13;Fabricacao de texteis;2017;1616
13;Fabricacao de texteis;2018;1615
13;Fabricacao de texteis;2019;1537
13;Fabricacao de texteis;2020;1503
13;Fabricacao de texteis;2021;1481
13;Fabricacao de texteis;2022;1525
13;Fabricacao de texteis;2023;1505
13;Fabricacao de texteis;2024;1449
14;Industria do vestuario;2014;3881
14;Industria do vestuario;2015;3923
14;Industria do vestuario;2016;4005
14;Industria do vestuario;2017;3968
14;Industria do vestuario;2018;3830
14;Industria do vestuario;2019;3482
14;Industria do vestuario;2020;3384
14;Industria do vestuario;2021;3263
14;Industria do vestuario;2022;3333
14;Industria do vestuario;2023;3166
14;Industria do vestuario;2024;2932
15;Ind. couro e produtos do couro;2014;1902
15;Ind. couro e produtos do couro;2015;1952
15;Ind. couro e produtos do couro;2016;1976
15;Ind. couro e produtos do couro;2017;1941
15;Ind. couro e produtos do couro;2018;1894
15;Ind. couro e produtos do couro;2019;1709
15;Ind. couro e produtos do couro;2020;1644
15;Ind. couro e produtos do couro;2021;1573
15;Ind. couro e produtos do couro;2022;1632
15;Ind. couro e produtos do couro;2023;1506
15;Ind. couro e produtos do couro;2024;1359
16;Ind. madeira. e cortica. e s. obras;2014;2197
16;Ind. madeira. e cortica. e s. obras;2015;2163
