year;size_band;companies_count
2014;1-4 pessoas;183322
2015;1-4 pessoas;183676
2016;1-4 pessoas;184323
2017;1-4 pessoas;183810
2018;1-4 pessoas;183942
2019;1-4 pessoas;176799
2020;1-4 pessoas;179247
2021;1-4 pessoas;173933
2022;1-4 pessoas;180778
2023;1-4 pessoas;183130
2024;1-4 pessoas;180348
2014;5-9 pessoas;46458
2015;5-9 pessoas;47537
2016;5-9 pessoas;48841
2017;5-9 pessoas;50093
2018;5-9 pessoas;51130
2019;5-9 pessoas;51062
2020;5-9 pessoas;50987
2021;5-9 pessoas;50356
2022;5-9 pessoas;53010
2023;5-9 pessoas;54578
2024;5-9 pessoas;54270
2014;10-19 pessoas;21365
2015;10-19 pessoas;22229
2016;10-19 pessoas;22691
2017;10-19 pessoas;23845
2018;10-19 pessoas;24854
2019;10-19 pessoas;25228
2020;10-19 pessoas;24918
2021;10-19 pessoas;24760
2022;10-19 pessoas;26412
2023;10-19 pessoas;27572
2024;10-19 pessoas;27854
2014;20-49 pessoas;12427
2015;20-49 pessoas;12757
2016;20-49 pessoas;13304
2017;20-49 pessoas;13912
2018;20-49 pessoas;14431
2019;20-49 pessoas;14586
2020;20-49 pessoas;14518
2021;20-49 pessoas;14643
2022;20-49 pessoas;15784
2023;20-49 pessoas;16607
2024;20-49 pessoas;16765
2014;50-99 pessoas;3741
2015;50-99 pessoas;3905
2016;50-99 pessoas;4079
2017;50-99 pessoas;4250
2018;50-99 pessoas;4429
2019;50-99 pessoas;4536
2020;50-99 pessoas;4520
2021;50-99 pessoas;4542
2022;50-99 pessoas;5012
2023;50-99 pessoas;5272
2024;50-99 pessoas;5324
2014;100-149 pessoas;1165
2015;100-149 pessoas;1207
2016;100-149 pessoas;1254
2017;100-149 pessoas;1338
2018;100-149 pessoas;1377
2019;100-149 pessoas;1405
2020;100-149 pessoas;1359
2021;100-149 pessoas;1460
2022;100-149 pessoas;1538
2023;100-149 pessoas;1621
2024;100-149 pessoas;1664
2014;150-199 pessoas;549
2015;150-199 pessoas;533
2016;150-199 pessoas;567
2017;150-199 pessoas;600
2018;150-199 pessoas;641
2019;150-199 pessoas;648
2020;150-199 pessoas;658
2021;150-199 pessoas;637
2022;150-199 pessoas;706
2023;150-199 pessoas;747
2024;150-199 pessoas;763
2014;200-249 pessoas;308
2015;200-249 pessoas;331
2016;200-249 pessoas;331
2017;200-249 pessoas;345
2018;200-249 pessoas;377
2019;200-249 pessoas;389
2020;200-249 pessoas;361
2021;200-249 pessoas;395
2022;200-249 pessoas;435
2023;200-249 pessoas;449
2024;200-249 pessoas;456
2014;250-499 pessoas;483
2015;250-499 pessoas;508
2016;250-499 pessoas;541
2017;250-499 pessoas;581
2018;250-499 pessoas;611
2019;250-499 pessoas;620
2020;250-499 pessoas;600
2021;250-499 pessoas;604
2022;250-499 pessoas;653
2023;250-499 pessoas;729
2024;250-499 pessoas;764
2014;500-999 pessoas;196
2015;500-999 pessoas;213
2016;500-999 pessoas;223
2017;500-999 pessoas;229
2018;500-999 pessoas;247
2019;500-999 pessoas;273
2020;500-999 pessoas;265
2021;500-999 pessoas;258
2022;500-999 pessoas;305
2023;500-999 pessoas;305
2024;500-999 pessoas;314
2014;1000 e + pessoas;167
2015;1000 e + pessoas;164
2016;1000 e + pessoas;178
2017;1000 e + pessoas;188
2018;1000 e + pessoas;197
2019;1000 e + pessoas;205
2020;1000 e + pessoas;208
2021;1000 e + pessoas;218
2022;1000 e + pessoas;227
2023;1000 e + pessoas;242
2024;1000 e + pessoas;241
