year;district;companies_count
2014;Aveiro;19346
2015;Aveiro;19511
2016;Aveiro;19753
2017;Aveiro;19926
2018;Aveiro;20182
2019;Aveiro;19828
2020;Aveiro;19735
2021;Aveiro;19227
2022;Aveiro;19850
2023;Aveiro;19949
2024;Aveiro;19732
2014;Beja;4126
2015;Beja;4182
2016;Beja;4271
2017;Beja;4352
2018;Beja;4398
2019;Beja;4357
2020;Beja;4387
2021;Beja;4403
2022;Beja;4593
2023;Beja;4837
2024;Beja;4889
2014;Braga;26240
2015;Braga;26600
2016;Braga;27141
2017;Braga;27607
2018;Braga;27722
2019;Braga;26943
2020;Braga;27215
2021;Braga;26761
2022;Braga;28579
2023;Braga;29169
2024;Braga;29000
2014;Braganca;3603
2015;Braganca;3624
2016;Braganca;3653
2017;Braganca;3691
2018;Braganca;3714
2019;Braganca;3441
2020;Braganca;3474
2021;Braganca;3568
2022;Braganca;3640
2023;Braganca;3729
2024;Braganca;3589
2014;Castelo Branco;4726
2015;Castelo Branco;4738
2016;Castelo Branco;4744
2017;Castelo Branco;4692
2018;Castelo Branco;4696
2019;Castelo Branco;4527
2020;Castelo Branco;4500
2021;Castelo Branco;4479
2022;Castelo Branco;4718
2023;Castelo Branco;4717
2024;Castelo Branco;4621
2014;Coimbra;10077
2015;Coimbra;10100
2016;Coimbra;10154
2017;Coimbra;10202
2018;Coimbra;10207
2019;Coimbra;9886
2020;Coimbra;9993
2021;Coimbra;9818
2022;Coimbra;10273
2023;Coimbra;10326
2024;Coimbra;10168
2014;Evora;5026
2015;Evora;5065
2016;Evora;5038
2017;Evora;5034
2018;Evora;4966
2019;Evora;4869
2020;Evora;4904
2021;Evora;4640
2022;Evora;5048
2023;Evora;5107
2024;Evora;5030
2014;Faro;15485
2015;Faro;15831
2016;Faro;16300
2017;Faro;16481
2018;Faro;17081
2019;Faro;17191
2020;Faro;16775
2021;Faro;16329
2022;Faro;17066
2023;Faro;18237
2024;Faro;18174
2014;Guarda;4352
2015;Guarda;4323
2016;Guarda;4348
2017;Guarda;4380
2018;Guarda;4347
2019;Guarda;4183
2020;Guarda;4178
2021;Guarda;4076
2022;Guarda;4127
2023;Guarda;4169
2024;Guarda;4165
2014;Leiria;15521
2015;Leiria;15665
2016;Leiria;15801
2017;Leiria;15981
2018;Leiria;15931
2019;Leiria;15567
2020;Leiria;15528
2021;Leiria;15232
2022;Leiria;15824
2023;Leiria;16175
2024;Leiria;16047
2014;Lisboa;59911
2015;Lisboa;60537
2016;Lisboa;60939
2017;Lisboa;61816
2018;Lisboa;62991
2019;Lisboa;61257
2020;Lisboa;62466
2021;Lisboa;60609
2022;Lisboa;63924
2023;Lisboa;65753
2024;Lisboa;65461
2014;Portalegre;2917
2015;Portalegre;2906
2016;Portalegre;2929
2017;Portalegre;2901
2018;Portalegre;2878
2019;Portalegre;2783
2020;Portalegre;2770
2021;Portalegre;2634
2022;Portalegre;2877
2023;Portalegre;2865
2024;Portalegre;2787
2014;Porto;50528
2015;Porto;51144
2016;Porto;51885
2017;Porto;52500
2018;Porto;53324
2019;Porto;52245
2020;Porto;52499
2021;Porto;51434
2022;Porto;53630
2023;Porto;54733
2024;Porto;53824
2014;Santarem;11954
2015;Santarem;12046
2016;Santarem;12047
2017;Santarem;12029
2018;Santarem;11936
2019;Santarem;11616
2020;Santarem;11534
2021;Santarem;11335
2022;Santarem;11687
2023;Santarem;11869
2024;Santarem;11741
2014;Setubal;14912
2015;Setubal;15034
2016;Setubal;15272
2017;Setubal;15474
2018;Setubal;15628
2019;Setubal;15397
2020;Setubal;15843
2021;Setubal;15594
2022;Setubal;16564
2023;Setubal;16783
2024;Setubal;16745
2014;Viana do Castelo;7129
2015;Viana do Castelo;7173
2016;Viana do Castelo;7291
2017;Viana do Castelo;7270
2018;Viana do Castelo;7341
2019;Viana do Castelo;7045
2020;Viana do Castelo;7037
2021;Viana do Castelo;6974
2022;Viana do Castelo;7227
2023;Viana do Castelo;7381
2024;Viana do Castelo;7328
2014;Vila Real;4930
2015;Vila Real;4976
2016;Vila Real;5034
2017;Vila Real;5076
2018;Vila Real;5093
2019;Vila Real;5005
2020;Vila Real;5085
2021;Vila Real;5019
2022;Vila Real;5152
2023;Vila Real;5186
2024;Vila Real;5212
2014;Viseu;9398
2015;Viseu;9605
2016;Viseu;9732
2017;Viseu;9779
2018;Viseu;9801
2019;Viseu;9611
2020;Viseu;9718
2021;Viseu;9674
2022;Viseu;10081
2023;Viseu;10267
2024;Viseu;10250
