region;year;companies_count
Norte;2014;104739
Norte;2015;105959
Norte;2016;107496
Norte;2017;108796
Norte;2018;109936
Norte;2019;107137
Norte;2020;107805
Norte;2021;106036
Norte;2022;110941
Norte;2023;112986
Norte;2024;111565
Alto Minho;2014;7129
Alto Minho;2015;7173
Alto Minho;2016;7291
Alto Minho;2017;7270
Alto Minho;2018;7341
Alto Minho;2019;7045
Alto Minho;2020;7037
Alto Minho;2021;6974
Alto Minho;2022;7227
Alto Minho;2023;7381
Alto Minho;2024;7328
Cavado;2014;13169
Cavado;2015;13373
Cavado;2016;13613
Cavado;2017;13840
Cavado;2018;13932
Cavado;2019;13662
Cavado;2020;13781
Cavado;2021;13588
Cavado;2022;14557
Cavado;2023;15022
Cavado;2024;15022
Ave;2014;12761
Ave;2015;12914
Ave;2016;13247
Ave;2017;13507
Ave;2018;13505
Ave;2019;13001
Ave;2020;13164
Ave;2021;12897
Ave;2022;13716
Ave;2023;13850
Ave;2024;13685
Area Metropolitana do Porto;2014;49118
Area Metropolitana do Porto;2015;49590
Area Metropolitana do Porto;2016;50179
Area Metropolitana do Porto;2017;50743
Area Metropolitana do Porto;2018;51437
Area Metropolitana do Porto;2019;50377
Area Metropolitana do Porto;2020;50550
Area Metropolitana do Porto;2021;49104
Area Metropolitana do Porto;2022;51243
Area Metropolitana do Porto;2023;52107
Area Metropolitana do Porto;2024;51191
Alto Tamega e Barroso;2014;2147
Alto Tamega e Barroso;2015;2205
Alto Tamega e Barroso;2016;2256
Alto Tamega e Barroso;2017;2272
Alto Tamega e Barroso;2018;2316
Alto Tamega e Barroso;2019;2252
Alto Tamega e Barroso;2020;2299
Alto Tamega e Barroso;2021;2298
Alto Tamega e Barroso;2022;2409
Alto Tamega e Barroso;2023;2397
Alto Tamega e Barroso;2024;2432
Tamega e Sousa;2014;12069
Tamega e Sousa;2015;12343
Tamega e Sousa;2016;12490
Tamega e Sousa;2017;12646
Tamega e Sousa;2018;12900
Tamega e Sousa;2019;12658
Tamega e Sousa;2020;12707
Tamega e Sousa;2021;12875
Tamega e Sousa;2022;13294
Tamega e Sousa;2023;13558
Tamega e Sousa;2024;13342
Douro;2014;5153
Douro;2015;5162
Douro;2016;5182
Douro;2017;5243
Douro;2018;5223
Douro;2019;5096
Douro;2020;5195
Douro;2021;5144
Douro;2022;5301
Douro;2023;5413
Douro;2024;5377
Terras de Tras-os-Montes;2014;3193
Terras de Tras-os-Montes;2015;3199
Terras de Tras-os-Montes;2016;3238
Terras de Tras-os-Montes;2017;3275
Terras de Tras-os-Montes;2018;3282
Terras de Tras-os-Montes;2019;3046
Terras de Tras-os-Montes;2020;3072
Terras de Tras-os-Montes;2021;3156
Terras de Tras-os-Montes;2022;3194
Terras de Tras-os-Montes;2023;3258
Terras de Tras-os-Montes;2024;3188
Centro;2014;45766
Centro;2015;46049
Centro;2016;46552
