cae_code;activity_description;year;establishments_count
A;Agr., pr. animal, caca, flor. pesca;2014;13885
A;Agr., pr. animal, caca, flor. pesca;2015;14286
A;Agr., pr. animal, caca, flor. pesca;2016;14632
A;Agr., pr. animal, caca, flor. pesca;2017;14726
A;Agr., pr. animal, caca, flor. pesca;2018;14824
A;Agr., pr. animal, caca, flor. pesca;2019;14355
A;Agr., pr. animal, caca, flor. pesca;2020;14520
A;Agr., pr. animal, caca, flor. pesca;2021;14031
A;Agr., pr. animal, caca, flor. pesca;2022;14449
A;Agr., pr. animal, caca, flor. pesca;2023;14667
A;Agr., pr. animal, caca, flor. pesca;2024;14544
B;Industrias extrativas;2014;765
B;Industrias extrativas;2015;762
B;Industrias extrativas;2016;737
B;Industrias extrativas;2017;744
B;Industrias extrativas;2018;728
B;Industrias extrativas;2019;697
B;Industrias extrativas;2020;684
B;Industrias extrativas;2021;657
B;Industrias extrativas;2022;665
B;Industrias extrativas;2023;680
B;Industrias extrativas;2024;647
C;Industrias transformadoras;2014;36167
C;Industrias transformadoras;2015;36172
C;Industrias transformadoras;2016;36485
C;Industrias transformadoras;2017;36402
C;Industrias transformadoras;2018;36243
C;Industrias transformadoras;2019;34835
C;Industrias transformadoras;2020;34676
C;Industrias transformadoras;2021;33711
C;Industrias transformadoras;2022;34690
C;Industrias transformadoras;2023;34549
C;Industrias transformadoras;2024;33564
10;Industrias alimentares;2014;6521
10;Industrias alimentares;2015;6422
10;Industrias alimentares;2016;6402
10;Industrias alimentares;2017;6272
10;Industrias alimentares;2018;6097
10;Industrias alimentares;2019;5825
10;Industrias alimentares;2020;5700
10;Industrias alimentares;2021;5473
10;Industrias alimentares;2022;5531
10;Industrias alimentares;2023;5413
10;Industrias alimentares;2024;5229
11;Industria das bebidas;2014;751
11;Industria das bebidas;2015;754
11;Industria das bebidas;2016;787
11;Industria das bebidas;2017;786
11;Industria das bebidas;2018;808
11;Industria das bebidas;2019;814
11;Industria das bebidas;2020;816
11;Industria das bebidas;2021;807
11;Industria das bebidas;2022;845
11;Industria das bebidas;2023;871
11;Industria das bebidas;2024;881
12;Industria do tabaco;2014;1
12;Industria do tabaco;2015;1
12;Industria do tabaco;2016;1
12;Industria do tabaco;2017;1
12;Industria do tabaco;2018;1
12;Industria do tabaco;2019;1
12;Industria do tabaco;2020;1
12;Industria do tabaco;2021;1
12;Industria do tabaco;2022;1
12;Industria do tabaco;2023;1
12;Industria do tabaco;2024;1
13;Fabricacao de texteis;2014;1685
13;Fabricacao de texteis;2015;1709
13;Fabricacao de texteis;2016;1718
13;Fabricacao de texteis;2017;1708
13;Fabricacao de texteis;2018;1697
13;Fabricacao de texteis;2019;1612
13;Fabricacao de texteis;2020;1584
13;Fabricacao de texteis;2021;1562
13;Fabricacao de texteis;2022;1614
13;Fabricacao de texteis;2023;1582
13;Fabricacao de texteis;2024;1533
14;Industria do vestuario;2014;4042
14;Industria do vestuario;2015;4081
14;Industria do vestuario;2016;4156
14;Industria do vestuario;2017;4122
14;Industria do vestuario;2018;3991
14;Industria do vestuario;2019;3625
14;Industria do vestuario;2020;3528
14;Industria do vestuario;2021;3412
14;Industria do vestuario;2022;3478
14;Industria do vestuario;2023;3319
14;Industria do vestuario;2024;3082
15;Ind. couro e produtos do couro;2014;1942
15;Ind. couro e produtos do couro;2015;1994
15;Ind. couro e produtos do couro;2016;2022
15;Ind. couro e produtos do couro;2017;1987
15;Ind. couro e produtos do couro;2018;1938
15;Ind. couro e produtos do couro;2019;1745
15;Ind. couro e produtos do couro;2020;1691
15;Ind. couro e produtos do couro;2021;1606
15;Ind. couro e produtos do couro;2022;1675
15;Ind. couro e produtos do couro;2023;1545
15;Ind. couro e produtos do couro;2024;1397
16;Ind. madeira. e cortica. e s. obras;2014;2285
16;Ind. madeira. e cortica. e s. obras;2015;2267
16;Ind. madeira. e cortica. e s. obras;2016;2256
16;Ind. madeira. e cortica. e s. obras;2017;2214
16;Ind. madeira. e cortica. e s. obras;2018;2223
16;Ind. madeira. e cortica. e s. obras;2019;2164
16;Ind. madeira. e cortica. e s. obras;2020;2140
16;Ind. madeira. e cortica. e s. obras;2021;2069
16;Ind. madeira. e cortica. e s. obras;2022;2125
16;Ind. madeira. e cortica. e s. obras;2023;2125
16;Ind. madeira. e cortica. e s. obras;2024;2037
17;Fab. pasta, papel, cartao e s. art.;2014;339
17;Fab. pasta, papel, cartao e s. art.;2015;344
17;Fab. pasta, papel, cartao e s. art.;2016;347
17;Fab. pasta, papel, cartao e s. art.;2017;337
17;Fab. pasta, papel, cartao e s. art.;2018;353
17;Fab. pasta, papel, cartao e s. art.;2019;365
17;Fab. pasta, papel, cartao e s. art.;2020;371
17;Fab. pasta, papel, cartao e s. art.;2021;365
17;Fab. pasta, papel, cartao e s. art.;2022;366
17;Fab. pasta, papel, cartao e s. art.;2023;369
17;Fab. pasta, papel, cartao e s. art.;2024;372
18;Impressao e rep. sup. gravados;2014;1375
18;Impressao e rep. sup. gravados;2015;1337
18;Impressao e rep. sup. gravados;2016;1309
18;Impressao e rep. sup. gravados;2017;1301
18;Impressao e rep. sup. gravados;2018;1270
