size_band;year;establishments_count
1-4 pessoas;2014;214690
1-4 pessoas;2015;214556
1-4 pessoas;2016;214799
1-4 pessoas;2017;213341
1-4 pessoas;2018;213051
1-4 pessoas;2019;204389
1-4 pessoas;2020;207415
1-4 pessoas;2021;201083
1-4 pessoas;2022;207979
1-4 pessoas;2023;210706
1-4 pessoas;2024;207508
5-9 pessoas;2014;56792
5-9 pessoas;2015;57913
5-9 pessoas;2016;59321
5-9 pessoas;2017;60710
5-9 pessoas;2018;62032
5-9 pessoas;2019;61799
5-9 pessoas;2020;61635
5-9 pessoas;2021;60831
5-9 pessoas;2022;63952
5-9 pessoas;2023;65914
5-9 pessoas;2024;65778
10-19 pessoas;2014;25834
10-19 pessoas;2015;26689
10-19 pessoas;2016;27433
10-19 pessoas;2017;28717
10-19 pessoas;2018;30022
10-19 pessoas;2019;30531
10-19 pessoas;2020;29900
10-19 pessoas;2021;29865
10-19 pessoas;2022;32087
10-19 pessoas;2023;33480
10-19 pessoas;2024;34091
20-49 pessoas;2014;14550
20-49 pessoas;2015;15006
20-49 pessoas;2016;15689
20-49 pessoas;2017;16461
20-49 pessoas;2018;17052
20-49 pessoas;2019;17500
20-49 pessoas;2020;17367
20-49 pessoas;2021;17653
20-49 pessoas;2022;19044
20-49 pessoas;2023;20107
20-49 pessoas;2024;20240
50-99 pessoas;2014;4213
50-99 pessoas;2015;4480
50-99 pessoas;2016;4689
50-99 pessoas;2017;4890
50-99 pessoas;2018;5186
50-99 pessoas;2019;5336
50-99 pessoas;2020;5300
50-99 pessoas;2021;5366
50-99 pessoas;2022;5868
50-99 pessoas;2023;6145
50-99 pessoas;2024;6288
100-149 pessoas;2014;1242
100-149 pessoas;2015;1194
100-149 pessoas;2016;1267
100-149 pessoas;2017;1306
100-149 pessoas;2018;1359
100-149 pessoas;2019;1408
100-149 pessoas;2020;1360
100-149 pessoas;2021;1426
100-149 pessoas;2022;1519
100-149 pessoas;2023;1642
100-149 pessoas;2024;1734
150-199 pessoas;2014;522
150-199 pessoas;2015;561
150-199 pessoas;2016;571
150-199 pessoas;2017;613
150-199 pessoas;2018;646
150-199 pessoas;2019;655
150-199 pessoas;2020;639
150-199 pessoas;2021;650
150-199 pessoas;2022;727
150-199 pessoas;2023;773
150-199 pessoas;2024;765
200-249 pessoas;2014;296
200-249 pessoas;2015;307
200-249 pessoas;2016;329
200-249 pessoas;2017;361
200-249 pessoas;2018;379
200-249 pessoas;2019;376
200-249 pessoas;2020;375
200-249 pessoas;2021;396
200-249 pessoas;2022;442
200-249 pessoas;2023;449
200-249 pessoas;2024;439
250-499 pessoas;2014;466
250-499 pessoas;2015;507
250-499 pessoas;2016;547
250-499 pessoas;2017;585
250-499 pessoas;2018;612
250-499 pessoas;2019;632
250-499 pessoas;2020;603
250-499 pessoas;2021;619
250-499 pessoas;2022;660
250-499 pessoas;2023;711
250-499 pessoas;2024;746
500-999 pessoas;2014;185
500-999 pessoas;2015;191
500-999 pessoas;2016;180
500-999 pessoas;2017;199
500-999 pessoas;2018;209
500-999 pessoas;2019;225
500-999 pessoas;2020;240
500-999 pessoas;2021;233
500-999 pessoas;2022;268
500-999 pessoas;2023;293
500-999 pessoas;2024;283
1 000 e + pessoas;2014;96
1 000 e + pessoas;2015;96
1 000 e + pessoas;2016;108
1 000 e + pessoas;2017;112
1 000 e + pessoas;2018;120
1 000 e + pessoas;2019;127
1 000 e + pessoas;2020;125
1 000 e + pessoas;2021;132
1 000 e + pessoas;2022;137
1 000 e + pessoas;2023;144
1 000 e + pessoas;2024;154
