region;year;establishments_count
Norte;2014;120246
Norte;2015;121392
Norte;2016;123068
Norte;2017;124207
Norte;2018;125524
Norte;2019;122296
Norte;2020;123094
Norte;2021;121078
Norte;2022;126463
Norte;2023;129002
Norte;2024;127676
Alto Minho;2014;8188
Alto Minho;2015;8233
Alto Minho;2016;8364
Alto Minho;2017;8315
Alto Minho;2018;8400
Alto Minho;2019;8045
Alto Minho;2020;8065
Alto Minho;2021;7974
Alto Minho;2022;8261
Alto Minho;2023;8480
Alto Minho;2024;8424
Cavado;2014;14930
Cavado;2015;15116
Cavado;2016;15401
Cavado;2017;15634
Cavado;2018;15756
Cavado;2019;15412
Cavado;2020;15514
Cavado;2021;15289
Cavado;2022;16345
Cavado;2023;16873
Cavado;2024;16874
Ave;2014;14360
Ave;2015;14483
Ave;2016;14818
Ave;2017;15050
Ave;2018;15078
Ave;2019;14513
Ave;2020;14697
Ave;2021;14380
Ave;2022;15257
Ave;2023;15409
Ave;2024;15255
Area Metropolitana do Porto;2014;57194
Area Metropolitana do Porto;2015;57692
Area Metropolitana do Porto;2016;58291
Area Metropolitana do Porto;2017;58794
Area Metropolitana do Porto;2018;59602
Area Metropolitana do Porto;2019;58375
Area Metropolitana do Porto;2020;58630
Area Metropolitana do Porto;2021;57051
Area Metropolitana do Porto;2022;59479
Area Metropolitana do Porto;2023;60585
Area Metropolitana do Porto;2024;59739
Alto Tamega e Barroso;2014;2505
Alto Tamega e Barroso;2015;2562
Alto Tamega e Barroso;2016;2620
Alto Tamega e Barroso;2017;2636
Alto Tamega e Barroso;2018;2669
Alto Tamega e Barroso;2019;2590
Alto Tamega e Barroso;2020;2642
Alto Tamega e Barroso;2021;2629
Alto Tamega e Barroso;2022;2739
Alto Tamega e Barroso;2023;2746
Alto Tamega e Barroso;2024;2794
Tamega e Sousa;2014;13219
Tamega e Sousa;2015;13492
Tamega e Sousa;2016;13669
Tamega e Sousa;2017;13820
Tamega e Sousa;2018;14097
Tamega e Sousa;2019;13814
Tamega e Sousa;2020;13874
Tamega e Sousa;2021;14035
Tamega e Sousa;2022;14461
Tamega e Sousa;2023;14776
Tamega e Sousa;2024;14547
Douro;2014;6125
Douro;2015;6090
Douro;2016;6142
Douro;2017;6166
Douro;2018;6137
Douro;2019;6006
Douro;2020;6107
Douro;2021;6046
Douro;2022;6219
Douro;2023;6356
Douro;2024;6331
Terras de Tras-os-Montes;2014;3725
Terras de Tras-os-Montes;2015;3724
