remuneration_bracket;year;workers_count
menos - RMMG;2014;14553
menos - RMMG;2015;11605
menos - RMMG;2016;11074
menos - RMMG;2017;11491
menos - RMMG;2018;10293
menos - RMMG;2019;11154
menos - RMMG;2020;10068
menos - RMMG;2021;11022
menos - RMMG;2022;11373
menos - RMMG;2023;11105
menos - RMMG;2024;9681
RMMG;2014;392781
RMMG;2015;366054
RMMG;2016;454324
RMMG;2017;487970
RMMG;2018;492192
RMMG;2019;468236
RMMG;2020;516788
RMMG;2021;516811
RMMG;2022;554729
RMMG;2023;508930
RMMG;2024;511554
RMMG - 999.99 EUR;2014;1044671
RMMG - 999.99 EUR;2015;1117809
RMMG - 999.99 EUR;2016;1076320
RMMG - 999.99 EUR;2017;1087248
RMMG - 999.99 EUR;2018;1109213
RMMG - 999.99 EUR;2019;1113985
RMMG - 999.99 EUR;2020;973331
RMMG - 999.99 EUR;2021;953371
RMMG - 999.99 EUR;2022;960637
RMMG - 999.99 EUR;2023;958282
RMMG - 999.99 EUR;2024;839240
1000.00 - 1499.99 EUR;2014;260623
1000.00 - 1499.99 EUR;2015;272248
1000.00 - 1499.99 EUR;2016;282191
1000.00 - 1499.99 EUR;2017;301579
1000.00 - 1499.99 EUR;2018;327799
1000.00 - 1499.99 EUR;2019;350368
1000.00 - 1499.99 EUR;2020;366310
1000.00 - 1499.99 EUR;2021;395484
1000.00 - 1499.99 EUR;2022;462230
1000.00 - 1499.99 EUR;2023;539572
1000.00 - 1499.99 EUR;2024;623299
1500.00 - 2499.99 EUR;2014;147728
1500.00 - 2499.99 EUR;2015;152155
1500.00 - 2499.99 EUR;2016;155880
1500.00 - 2499.99 EUR;2017;164581
1500.00 - 2499.99 EUR;2018;179358
1500.00 - 2499.99 EUR;2019;193721
1500.00 - 2499.99 EUR;2020;200290
1500.00 - 2499.99 EUR;2021;215755
1500.00 - 2499.99 EUR;2022;253765
1500.00 - 2499.99 EUR;2023;293708
1500.00 - 2499.99 EUR;2024;338485
2500.00 - 3749.99 EUR;2014;45110
2500.00 - 3749.99 EUR;2015;47598
2500.00 - 3749.99 EUR;2016;50132
2500.00 - 3749.99 EUR;2017;53023
2500.00 - 3749.99 EUR;2018;58760
2500.00 - 3749.99 EUR;2019;64464
2500.00 - 3749.99 EUR;2020;66879
2500.00 - 3749.99 EUR;2021;74024
2500.00 - 3749.99 EUR;2022;89286
2500.00 - 3749.99 EUR;2023;102585
2500.00 - 3749.99 EUR;2024;117865
3750.00 - 4999.99 EUR;2014;12151
3750.00 - 4999.99 EUR;2015;12533
3750.00 - 4999.99 EUR;2016;13548
3750.00 - 4999.99 EUR;2017;14082
3750.00 - 4999.99 EUR;2018;15054
3750.00 - 4999.99 EUR;2019;16385
3750.00 - 4999.99 EUR;2020;16730
3750.00 - 4999.99 EUR;2021;18882
3750.00 - 4999.99 EUR;2022;24268
3750.00 - 4999.99 EUR;2023;29098
3750.00 - 4999.99 EUR;2024;37577
5000.00+ EUR;2014;10690
5000.00+ EUR;2015;11129
5000.00+ EUR;2016;11442
5000.00+ EUR;2017;11969
5000.00+ EUR;2018;12780
5000.00+ EUR;2019;14087
5000.00+ EUR;2020;13722
5000.00+ EUR;2021;15245
5000.00+ EUR;2022;19827
5000.00+ EUR;2023;24320
5000.00+ EUR;2024;29210
