remuneration_bracket;year;percentage
menos - RMMG;2014;0.75
menos - RMMG;2015;0.58
menos - RMMG;2016;0.54
menos - RMMG;2017;0.54
menos - RMMG;2018;0.47
menos - RMMG;2019;0.5
menos - RMMG;2020;0.47
menos - RMMG;2021;0.5
menos - RMMG;2022;0.48
menos - RMMG;2023;0.45
menos - RMMG;2024;0.39
RMMG;2014;20.37
RMMG;2015;18.38
RMMG;2016;22.11
RMMG;2017;22.89
RMMG;2018;22.32
RMMG;2019;20.97
RMMG;2020;23.88
RMMG;2021;23.49
RMMG;2022;23.35
RMMG;2023;20.62
RMMG;2024;20.41
RMMG - 999.99 EUR;2014;54.18
RMMG - 999.99 EUR;2015;56.14
RMMG - 999.99 EUR;2016;52.38
RMMG - 999.99 EUR;2017;51
RMMG - 999.99 EUR;2018;50.29
RMMG - 999.99 EUR;2019;49.9
RMMG - 999.99 EUR;2020;44.98
RMMG - 999.99 EUR;2021;43.32
RMMG - 999.99 EUR;2022;40.43
RMMG - 999.99 EUR;2023;38.83
RMMG - 999.99 EUR;2024;33.48
1000.00 - 1499.99 EUR;2014;13.52
1000.00 - 1499.99 EUR;2015;13.67
1000.00 - 1499.99 EUR;2016;13.73
1000.00 - 1499.99 EUR;2017;14.15
1000.00 - 1499.99 EUR;2018;14.86
1000.00 - 1499.99 EUR;2019;15.69
1000.00 - 1499.99 EUR;2020;16.93
1000.00 - 1499.99 EUR;2021;17.97
1000.00 - 1499.99 EUR;2022;19.45
1000.00 - 1499.99 EUR;2023;21.87
1000.00 - 1499.99 EUR;2024;24.86
1500.00 - 2499.99 EUR;2014;7.66
1500.00 - 2499.99 EUR;2015;7.64
1500.00 - 2499.99 EUR;2016;7.59
1500.00 - 2499.99 EUR;2017;7.72
1500.00 - 2499.99 EUR;2018;8.13
1500.00 - 2499.99 EUR;2019;8.68
1500.00 - 2499.99 EUR;2020;9.26
1500.00 - 2499.99 EUR;2021;9.8
1500.00 - 2499.99 EUR;2022;10.68
1500.00 - 2499.99 EUR;2023;11.9
1500.00 - 2499.99 EUR;2024;13.5
2500.00 - 3749.99 EUR;2014;2.34
2500.00 - 3749.99 EUR;2015;2.39
2500.00 - 3749.99 EUR;2016;2.44
2500.00 - 3749.99 EUR;2017;2.49
2500.00 - 3749.99 EUR;2018;2.66
2500.00 - 3749.99 EUR;2019;2.89
2500.00 - 3749.99 EUR;2020;3.09
2500.00 - 3749.99 EUR;2021;3.36
2500.00 - 3749.99 EUR;2022;3.76
2500.00 - 3749.99 EUR;2023;4.16
2500.00 - 3749.99 EUR;2024;4.7
3750.00 - 4999.99 EUR;2014;0.63
3750.00 - 4999.99 EUR;2015;0.63
3750.00 - 4999.99 EUR;2016;0.66
3750.00 - 4999.99 EUR;2017;0.66
3750.00 - 4999.99 EUR;2018;0.68
3750.00 - 4999.99 EUR;2019;0.73
3750.00 - 4999.99 EUR;2020;0.77
3750.00 - 4999.99 EUR;2021;0.86
3750.00 - 4999.99 EUR;2022;1.02
3750.00 - 4999.99 EUR;2023;1.18
3750.00 - 4999.99 EUR;2024;1.5
5000.00+ EUR;2014;0.55
5000.00+ EUR;2015;0.56
5000.00+ EUR;2016;0.56
5000.00+ EUR;2017;0.56
5000.00+ EUR;2018;0.58
5000.00+ EUR;2019;0.63
5000.00+ EUR;2020;0.63
5000.00+ EUR;2021;0.69
5000.00+ EUR;2022;0.83
5000.00+ EUR;2023;0.99
5000.00+ EUR;2024;1.17
