cae_code;activity_description;year;avg_monthly_wage_eur
A;Agr., pr. animal, caca, flor. pesca;2014;687.92
A;Agr., pr. animal, caca, flor. pesca;2015;701.34
A;Agr., pr. animal, caca, flor. pesca;2016;726.49
A;Agr., pr. animal, caca, flor. pesca;2017;738.39
A;Agr., pr. animal, caca, flor. pesca;2018;773.22
A;Agr., pr. animal, caca, flor. pesca;2019;823.08
A;Agr., pr. animal, caca, flor. pesca;2020;823.12
A;Agr., pr. animal, caca, flor. pesca;2021;872.68
A;Agr., pr. animal, caca, flor. pesca;2022;916.19
A;Agr., pr. animal, caca, flor. pesca;2023;969.65
A;Agr., pr. animal, caca, flor. pesca;2024;1041.63
B;Industrias extrativas;2014;934.74
B;Industrias extrativas;2015;937.81
B;Industrias extrativas;2016;958.1
B;Industrias extrativas;2017;986.18
B;Industrias extrativas;2018;1036.73
B;Industrias extrativas;2019;1083.24
B;Industrias extrativas;2020;1099.73
B;Industrias extrativas;2021;1159.45
B;Industrias extrativas;2022;1221.07
B;Industrias extrativas;2023;1316.39
B;Industrias extrativas;2024;1434.33
C;Industrias transformadoras;2014;844.01
C;Industrias transformadoras;2015;856.12
C;Industrias transformadoras;2016;870.08
C;Industrias transformadoras;2017;895.89
C;Industrias transformadoras;2018;929.15
C;Industrias transformadoras;2019;964.71
C;Industrias transformadoras;2020;1003.21
C;Industrias transformadoras;2021;1031.03
C;Industrias transformadoras;2022;1095.17
C;Industrias transformadoras;2023;1172.58
C;Industrias transformadoras;2024;1262.53
10;Industrias alimentares;2014;747.8
10;Industrias alimentares;2015;760.19
10;Industrias alimentares;2016;770.62
10;Industrias alimentares;2017;796.38
10;Industrias alimentares;2018;822.9
10;Industrias alimentares;2019;849.91
10;Industrias alimentares;2020;888.37
10;Industrias alimentares;2021;926.13
10;Industrias alimentares;2022;966.13
10;Industrias alimentares;2023;1031.74
10;Industrias alimentares;2024;1097.05
11;Industria das bebidas;2014;1112.46
11;Industria das bebidas;2015;1115.24
11;Industria das bebidas;2016;1122.61
11;Industria das bebidas;2017;1131.43
11;Industria das bebidas;2018;1135.99
11;Industria das bebidas;2019;1167.49
11;Industria das bebidas;2020;1197.16
11;Industria das bebidas;2021;1222.73
11;Industria das bebidas;2022;1271.04
11;Industria das bebidas;2023;1345.03
11;Industria das bebidas;2024;1435.38
12;Industria do tabaco;2014;1885.93
12;Industria do tabaco;2015;1764.33
12;Industria do tabaco;2016;1660.55
12;Industria do tabaco;2017;1624.74
12;Industria do tabaco;2018;1717.62
12;Industria do tabaco;2019;1691.8
12;Industria do tabaco;2020;1765.38
12;Industria do tabaco;2021;1800.04
12;Industria do tabaco;2022;1855.15
12;Industria do tabaco;2023;2022.87
12;Industria do tabaco;2024;2083.28
13;Fabricacao de texteis;2014;696.68
13;Fabricacao de texteis;2015;712.82
13;Fabricacao de texteis;2016;732.98
13;Fabricacao de texteis;2017;762.14
13;Fabricacao de texteis;2018;794.24
13;Fabricacao de texteis;2019;817.69
13;Fabricacao de texteis;2020;854.64
13;Fabricacao de texteis;2021;891.41
13;Fabricacao de texteis;2022;952.77
13;Fabricacao de texteis;2023;1020.11
13;Fabricacao de texteis;2024;1093.39
14;Industria do vestuario;2014;599.73
14;Industria do vestuario;2015;608.8
14;Industria do vestuario;2016;635.15
14;Industria do vestuario;2017;666.45
14;Industria do vestuario;2018;698.05
14;Industria do vestuario;2019;728.51
14;Industria do vestuario;2020;764.32
14;Industria do vestuario;2021;802.15
14;Industria do vestuario;2022;853.14
14;Industria do vestuario;2023;922.78
14;Industria do vestuario;2024;998.43
15;Ind. couro e produtos do couro;2014;630.91
15;Ind. couro e produtos do couro;2015;649.51
15;Ind. couro e produtos do couro;2016;672.79
15;Ind. couro e produtos do couro;2017;698.04
15;Ind. couro e produtos do couro;2018;730.56
15;Ind. couro e produtos do couro;2019;766.71
15;Ind. couro e produtos do couro;2020;797.31
15;Ind. couro e produtos do couro;2021;835.99
15;Ind. couro e produtos do couro;2022;888.04
15;Ind. couro e produtos do couro;2023;962.87
15;Ind. couro e produtos do couro;2024;1035.57
16;Ind. madeira. e cortica. e s. obras;2014;825.69
16;Ind. madeira. e cortica. e s. obras;2015;833.74
16;Ind. madeira. e cortica. e s. obras;2016;857.45
16;Ind. madeira. e cortica. e s. obras;2017;875.61
16;Ind. madeira. e cortica. e s. obras;2018;900.19
16;Ind. madeira. e cortica. e s. obras;2019;932.61
16;Ind. madeira. e cortica. e s. obras;2020;964.05
16;Ind. madeira. e cortica. e s. obras;2021;1002.66
16;Ind. madeira. e cortica. e s. obras;2022;1055.11
16;Ind. madeira. e cortica. e s. obras;2023;1134.57
16;Ind. madeira. e cortica. e s. obras;2024;1202.48
17;Fab. pasta, papel, cartao e s. art.;2014;1117.38
17;Fab. pasta, papel, cartao e s. art.;2015;1130.68
17;Fab. pasta, papel, cartao e s. art.;2016;1110.49
17;Fab. pasta, papel, cartao e s. art.;2017;1117.58
17;Fab. pasta, papel, cartao e s. art.;2018;1125.7
17;Fab. pasta, papel, cartao e s. art.;2019;1161.65
17;Fab. pasta, papel, cartao e s. art.;2020;1197.77
17;Fab. pasta, papel, cartao e s. art.;2021;1228.26
17;Fab. pasta, papel, cartao e s. art.;2022;1265.78
17;Fab. pasta, papel, cartao e s. art.;2023;1344.17
17;Fab. pasta, papel, cartao e s. art.;2024;1427.71
18;Impressao e rep. sup. gravados;2014;875.21
18;Impressao e rep. sup. gravados;2015;877.75
18;Impressao e rep. sup. gravados;2016;889.46
18;Impressao e rep. sup. gravados;2017;901.84
18;Impressao e rep. sup. gravados;2018;927.76
18;Impressao e rep. sup. gravados;2019;956.11
18;Impressao e rep. sup. gravados;2020;983.09
18;Impressao e rep. sup. gravados;2021;1019.64
18;Impressao e rep. sup. gravados;2022;1057.7
18;Impressao e rep. sup. gravados;2023;1117.01
18;Impressao e rep. sup. gravados;2024;1184.94
19;Fabr. coque, pr. petr. refinados;2014;2533.43
19;Fabr. coque, pr. petr. refinados;2015;2513.3
19;Fabr. coque, pr. petr. refinados;2016;2545.6
19;Fabr. coque, pr. petr. refinados;2017;2544.47
19;Fabr. coque, pr. petr. refinados;2018;2515.46
19;Fabr. coque, pr. petr. refinados;2019;2600.07
19;Fabr. coque, pr. petr. refinados;2020;2574.19
19;Fabr. coque, pr. petr. refinados;2021;2791.95
19;Fabr. coque, pr. petr. refinados;2022;2786.06
19;Fabr. coque, pr. petr. refinados;2023;2858.45
19;Fabr. coque, pr. petr. refinados;2024;3128.37
20;Fab. pr. quim. e fibras sint./artif.;2014;1300.85
20;Fab. pr. quim. e fibras sint./artif.;2015;1306
20;Fab. pr. quim. e fibras sint./artif.;2016;1318.49
20;Fab. pr. quim. e fibras sint./artif.;2017;1323.61
20;Fab. pr. quim. e fibras sint./artif.;2018;1352.62
20;Fab. pr. quim. e fibras sint./artif.;2019;1414.33
20;Fab. pr. quim. e fibras sint./artif.;2020;1437.44
20;Fab. pr. quim. e fibras sint./artif.;2021;1451.02
20;Fab. pr. quim. e fibras sint./artif.;2022;1520.71
20;Fab. pr. quim. e fibras sint./artif.;2023;1556.82
20;Fab. pr. quim. e fibras sint./artif.;2024;1681.26
21;Fab. pr. farm.  base e  prep. farm.;2014;1544.24
21;Fab. pr. farm.  base e  prep. farm.;2015;1572.81
21;Fab. pr. farm.  base e  prep. farm.;2016;1549.65
21;Fab. pr. farm.  base e  prep. farm.;2017;1591.88
21;Fab. pr. farm.  base e  prep. farm.;2018;1623.52
21;Fab. pr. farm.  base e  prep. farm.;2019;1723.91
21;Fab. pr. farm.  base e  prep. farm.;2020;1677.7
21;Fab. pr. farm.  base e  prep. farm.;2021;1735.63
21;Fab. pr. farm.  base e  prep. farm.;2022;1813.09
21;Fab. pr. farm.  base e  prep. farm.;2023;1917.83
21;Fab. pr. farm.  base e  prep. farm.;2024;2000.17
22;Fabr. art. borracha e mat. plasticas;2014;910.81
22;Fabr. art. borracha e mat. plasticas;2015;914.2
22;Fabr. art. borracha e mat. plasticas;2016;938
22;Fabr. art. borracha e mat. plasticas;2017;950.37
22;Fabr. art. borracha e mat. plasticas;2018;986.7
22;Fabr. art. borracha e mat. plasticas;2019;1019.55
22;Fabr. art. borracha e mat. plasticas;2020;1036.42
22;Fabr. art. borracha e mat. plasticas;2021;1069.66
22;Fabr. art. borracha e mat. plasticas;2022;1122.14
22;Fabr. art. borracha e mat. plasticas;2023;1198.07
22;Fabr. art. borracha e mat. plasticas;2024;1274.81
23;Fabr.outros pr.min. n/ metalicos;2014;869.23
23;Fabr.outros pr.min. n/ metalicos;2015;877.28
23;Fabr.outros pr.min. n/ metalicos;2016;883.03
23;Fabr.outros pr.min. n/ metalicos;2017;902.94
23;Fabr.outros pr.min. n/ metalicos;2018;929.28
23;Fabr.outros pr.min. n/ metalicos;2019;961.82
23;Fabr.outros pr.min. n/ metalicos;2020;981.74
23;Fabr.outros pr.min. n/ metalicos;2021;1022.36
23;Fabr.outros pr.min. n/ metalicos;2022;1077.87
23;Fabr.outros pr.min. n/ metalicos;2023;1151.89
23;Fabr.outros pr.min. n/ metalicos;2024;1233.77
24;Industrias metalurgicas de base;2014;996.46
24;Industrias metalurgicas de base;2015;998.43
24;Industrias metalurgicas de base;2016;1016.83
24;Industrias metalurgicas de base;2017;1027.25
24;Industrias metalurgicas de base;2018;1078.21
24;Industrias metalurgicas de base;2019;1099.47
24;Industrias metalurgicas de base;2020;1137.97
24;Industrias metalurgicas de base;2021;1170.16
24;Industrias metalurgicas de base;2022;1214.02
24;Industrias metalurgicas de base;2023;1306.96
24;Industrias metalurgicas de base;2024;1360.52
25;Fabr. pr. metal., exc. maq. e eq.;2014;855.25
25;Fabr. pr. metal., exc. maq. e eq.;2015;868.98
25;Fabr. pr. metal., exc. maq. e eq.;2016;878.59
25;Fabr. pr. metal., exc. maq. e eq.;2017;908.92
25;Fabr. pr. metal., exc. maq. e eq.;2018;938.82
25;Fabr. pr. metal., exc. maq. e eq.;2019;973
25;Fabr. pr. metal., exc. maq. e eq.;2020;992.93
25;Fabr. pr. metal., exc. maq. e eq.;2021;1023.45
25;Fabr. pr. metal., exc. maq. e eq.;2022;1082.54
25;Fabr. pr. metal., exc. maq. e eq.;2023;1151.11
25;Fabr. pr. metal., exc. maq. e eq.;2024;1215.37
26;Fab. equip. inf., equip. p/ com.;2014;1080.38
26;Fab. equip. inf., equip. p/ com.;2015;1123.73
26;Fab. equip. inf., equip. p/ com.;2016;1131.29
26;Fab. equip. inf., equip. p/ com.;2017;1145.36
26;Fab. equip. inf., equip. p/ com.;2018;1182.54
26;Fab. equip. inf., equip. p/ com.;2019;1225.2
26;Fab. equip. inf., equip. p/ com.;2020;1256.75
26;Fab. equip. inf., equip. p/ com.;2021;1289.67
26;Fab. equip. inf., equip. p/ com.;2022;1419.9
26;Fab. equip. inf., equip. p/ com.;2023;1537.8
26;Fab. equip. inf., equip. p/ com.;2024;1706.46
27;Fab. equipamento eletrico;2014;1109.35
27;Fab. equipamento eletrico;2015;1162.27
27;Fab. equipamento eletrico;2016;1170.64
27;Fab. equipamento eletrico;2017;1200.67
27;Fab. equipamento eletrico;2018;1233.32
27;Fab. equipamento eletrico;2019;1198.56
27;Fab. equipamento eletrico;2020;1354.55
27;Fab. equipamento eletrico;2021;1275.7
27;Fab. equipamento eletrico;2022;1459.52
27;Fab. equipamento eletrico;2023;1597.27
27;Fab. equipamento eletrico;2024;1735.42
28;Fab. maq. e equipamentos, n.e.;2014;954.11
28;Fab. maq. e equipamentos, n.e.;2015;972.06
28;Fab. maq. e equipamentos, n.e.;2016;980.19
28;Fab. maq. e equipamentos, n.e.;2017;1003.41
28;Fab. maq. e equipamentos, n.e.;2018;1029.41
28;Fab. maq. e equipamentos, n.e.;2019;1068.52
28;Fab. maq. e equipamentos, n.e.;2020;1092.08
28;Fab. maq. e equipamentos, n.e.;2021;1136.22
28;Fab. maq. e equipamentos, n.e.;2022;1190.89
28;Fab. maq. e equipamentos, n.e.;2023;1281.75
28;Fab. maq. e equipamentos, n.e.;2024;1374.25
29;Fab. veic. autom., reb., s.-reb.;2014;1063.57
29;Fab. veic. autom., reb., s.-reb.;2015;1073.57
