size_band;gender;year;avg_monthly_wage_eur
1-4 pessoas;masculino;2014;734.19
1-4 pessoas;masculino;2015;733.24
1-4 pessoas;masculino;2016;748.98
1-4 pessoas;masculino;2017;771.32
1-4 pessoas;masculino;2018;796.38
1-4 pessoas;masculino;2019;828.72
1-4 pessoas;masculino;2020;865.07
1-4 pessoas;masculino;2021;905.46
1-4 pessoas;masculino;2022;955.23
1-4 pessoas;masculino;2023;1022.88
1-4 pessoas;masculino;2024;1100.01
1-4 pessoas;feminino;2014;658.71
1-4 pessoas;feminino;2015;658.01
1-4 pessoas;feminino;2016;677.99
1-4 pessoas;feminino;2017;699.8
1-4 pessoas;feminino;2018;723.93
1-4 pessoas;feminino;2019;752.31
1-4 pessoas;feminino;2020;786.91
1-4 pessoas;feminino;2021;821.89
1-4 pessoas;feminino;2022;867.35
1-4 pessoas;feminino;2023;935.22
1-4 pessoas;feminino;2024;1004.12
5-9 pessoas;masculino;2014;825.8
5-9 pessoas;masculino;2015;821.42
5-9 pessoas;masculino;2016;829.27
5-9 pessoas;masculino;2017;841.69
5-9 pessoas;masculino;2018;865.63
5-9 pessoas;masculino;2019;887.47
5-9 pessoas;masculino;2020;923.87
5-9 pessoas;masculino;2021;958.76
5-9 pessoas;masculino;2022;1007.55
5-9 pessoas;masculino;2023;1071.22
5-9 pessoas;masculino;2024;1137.44
5-9 pessoas;feminino;2014;749.43
5-9 pessoas;feminino;2015;750.43
5-9 pessoas;feminino;2016;760.95
5-9 pessoas;feminino;2017;778.07
5-9 pessoas;feminino;2018;798.79
5-9 pessoas;feminino;2019;822.06
5-9 pessoas;feminino;2020;859.95
5-9 pessoas;feminino;2021;893.49
5-9 pessoas;feminino;2022;935.49
5-9 pessoas;feminino;2023;998.37
5-9 pessoas;feminino;2024;1063.52
10-19 pessoas;masculino;2014;888.5
10-19 pessoas;masculino;2015;888.6
10-19 pessoas;masculino;2016;891.34
10-19 pessoas;masculino;2017;905.07
10-19 pessoas;masculino;2018;925.08
10-19 pessoas;masculino;2019;952.55
10-19 pessoas;masculino;2020;992.62
10-19 pessoas;masculino;2021;1026.97
10-19 pessoas;masculino;2022;1075.83
10-19 pessoas;masculino;2023;1137.39
10-19 pessoas;masculino;2024;1210.95
10-19 pessoas;feminino;2014;774.14
10-19 pessoas;feminino;2015;772.94
10-19 pessoas;feminino;2016;786.44
10-19 pessoas;feminino;2017;806.2
10-19 pessoas;feminino;2018;830.19
10-19 pessoas;feminino;2019;852.82
10-19 pessoas;feminino;2020;897.43
10-19 pessoas;feminino;2021;927.52
10-19 pessoas;feminino;2022;973.23
10-19 pessoas;feminino;2023;1041.17
10-19 pessoas;feminino;2024;1110.58
20-49 pessoas;masculino;2014;989.39
20-49 pessoas;masculino;2015;985.06
20-49 pessoas;masculino;2016;987.49
20-49 pessoas;masculino;2017;994.57
20-49 pessoas;masculino;2018;1014.74
20-49 pessoas;masculino;2019;1044.2
20-49 pessoas;masculino;2020;1086.75
20-49 pessoas;masculino;2021;1124.78
20-49 pessoas;masculino;2022;1169.52
20-49 pessoas;masculino;2023;1247.47
20-49 pessoas;masculino;2024;1317.27
20-49 pessoas;feminino;2014;803.03
