age_group;gender;year;avg_monthly_wage_eur
menos - 18 anos;masculino;2014;751.18
menos - 18 anos;masculino;2015;701.72
menos - 18 anos;masculino;2016;744.59
menos - 18 anos;masculino;2017;727.96
menos - 18 anos;masculino;2018;733.3
menos - 18 anos;masculino;2019;1031.66
menos - 18 anos;masculino;2020;1255.6
menos - 18 anos;masculino;2021;1222.71
menos - 18 anos;masculino;2022;1184.37
menos - 18 anos;masculino;2023;1204.42
menos - 18 anos;masculino;2024;1446.9
menos - 18 anos;feminino;2014;523.85
menos - 18 anos;feminino;2015;525.66
menos - 18 anos;feminino;2016;546.78
menos - 18 anos;feminino;2017;564.61
menos - 18 anos;feminino;2018;609.05
menos - 18 anos;feminino;2019;698
menos - 18 anos;feminino;2020;662.49
menos - 18 anos;feminino;2021;686.48
menos - 18 anos;feminino;2022;743.66
menos - 18 anos;feminino;2023;801.79
menos - 18 anos;feminino;2024;888.86
18 - 24 anos;masculino;2014;629.14
18 - 24 anos;masculino;2015;644.55
18 - 24 anos;masculino;2016;660.61
18 - 24 anos;masculino;2017;682.81
18 - 24 anos;masculino;2018;713.13
18 - 24 anos;masculino;2019;749.74
18 - 24 anos;masculino;2020;781.78
18 - 24 anos;masculino;2021;817.96
18 - 24 anos;masculino;2022;881.22
18 - 24 anos;masculino;2023;950.5
18 - 24 anos;masculino;2024;1025.51
18 - 24 anos;feminino;2014;579.35
18 - 24 anos;feminino;2015;590.6
18 - 24 anos;feminino;2016;612.13
18 - 24 anos;feminino;2017;640.24
18 - 24 anos;feminino;2018;667.73
18 - 24 anos;feminino;2019;698.92
18 - 24 anos;feminino;2020;734.65
18 - 24 anos;feminino;2021;774.37
18 - 24 anos;feminino;2022;827.2
18 - 24 anos;feminino;2023;891.28
18 - 24 anos;feminino;2024;956.09
25 - 29 anos;masculino;2014;749.18
25 - 29 anos;masculino;2015;763.39
25 - 29 anos;masculino;2016;785.23
25 - 29 anos;masculino;2017;819.22
25 - 29 anos;masculino;2018;854.04
25 - 29 anos;masculino;2019;896.09
25 - 29 anos;masculino;2020;930.39
25 - 29 anos;masculino;2021;984.62
25 - 29 anos;masculino;2022;1055.55
25 - 29 anos;masculino;2023;1111.71
25 - 29 anos;masculino;2024;1188.71
25 - 29 anos;feminino;2014;701.29
25 - 29 anos;feminino;2015;704.39
25 - 29 anos;feminino;2016;724.54
25 - 29 anos;feminino;2017;753.87
25 - 29 anos;feminino;2018;786.45
