qualification_level;gender;year;avg_monthly_wage_foreign_eur
Quadros superiores;masculino;2014;3315.61
Quadros superiores;masculino;2015;3302.01
Quadros superiores;masculino;2016;3384.92
Quadros superiores;masculino;2017;3517.15
Quadros superiores;masculino;2018;3347.95
Quadros superiores;masculino;2019;3114
Quadros superiores;masculino;2020;3173.57
Quadros superiores;masculino;2021;3124.34
Quadros superiores;masculino;2022;3240.95
Quadros superiores;masculino;2023;3469.91
Quadros superiores;masculino;2024;3670.58
Quadros superiores;feminino;2014;2010.83
Quadros superiores;feminino;2015;2000.35
Quadros superiores;feminino;2016;2017.57
Quadros superiores;feminino;2017;2114.38
Quadros superiores;feminino;2018;2115.3
Quadros superiores;feminino;2019;2109.2
Quadros superiores;feminino;2020;2152.7
Quadros superiores;feminino;2021;2131.16
Quadros superiores;feminino;2022;2391.55
Quadros superiores;feminino;2023;2586.2
Quadros superiores;feminino;2024;2716.25
Quadros medios;masculino;2014;1606.46
Quadros medios;masculino;2015;1645.4
Quadros medios;masculino;2016;1646.75
Quadros medios;masculino;2017;1803.82
Quadros medios;masculino;2018;1661.36
Quadros medios;masculino;2019;1701.14
Quadros medios;masculino;2020;1864.55
Quadros medios;masculino;2021;1857.41
Quadros medios;masculino;2022;2067.34
Quadros medios;masculino;2023;2190.85
Quadros medios;masculino;2024;2239.07
Quadros medios;feminino;2014;1292.81
Quadros medios;feminino;2015;1307.98
Quadros medios;feminino;2016;1350.41
Quadros medios;feminino;2017;1398.77
Quadros medios;feminino;2018;1458.09
Quadros medios;feminino;2019;1464.13
Quadros medios;feminino;2020;1549.97
Quadros medios;feminino;2021;1554.4
Quadros medios;feminino;2022;1739.41
Quadros medios;feminino;2023;1885.8
Quadros medios;feminino;2024;1899.64
Encar. contram. mest.e chefes;masculino;2014;1445.29
Encar. contram. mest.e chefes;masculino;2015;1452.15
Encar. contram. mest.e chefes;masculino;2016;1524.6
Encar. contram. mest.e chefes;masculino;2017;1544.08
Encar. contram. mest.e chefes;masculino;2018;1573.92
Encar. contram. mest.e chefes;masculino;2019;1611.7
Encar. contram. mest.e chefes;masculino;2020;1733.15
Encar. contram. mest.e chefes;masculino;2021;1800.27
Encar. contram. mest.e chefes;masculino;2022;1853.3
Encar. contram. mest.e chefes;masculino;2023;1943.09
Encar. contram. mest.e chefes;masculino;2024;2008.05
Encar. contram. mest.e chefes;feminino;2014;1236.7
Encar. contram. mest.e chefes;feminino;2015;1255.75
Encar. contram. mest.e chefes;feminino;2016;1293.2
Encar. contram. mest.e chefes;feminino;2017;1349.38
Encar. contram. mest.e chefes;feminino;2018;1384.41
Encar. contram. mest.e chefes;feminino;2019;1450.2
Encar. contram. mest.e chefes;feminino;2020;1544.78
Encar. contram. mest.e chefes;feminino;2021;1630.76
Encar. contram. mest.e chefes;feminino;2022;1652.77
Encar. contram. mest.e chefes;feminino;2023;1724.07
Encar. contram. mest.e chefes;feminino;2024;1926.26
Profissionais altam. qualificados;masculino;2014;3197.94
Profissionais altam. qualificados;masculino;2015;4175.79
Profissionais altam. qualificados;masculino;2016;4407.23
Profissionais altam. qualificados;masculino;2017;4264.63
Profissionais altam. qualificados;masculino;2018;3688.01
Profissionais altam. qualificados;masculino;2019;2815.71
Profissionais altam. qualificados;masculino;2020;2991.96
Profissionais altam. qualificados;masculino;2021;2572
Profissionais altam. qualificados;masculino;2022;2263.31
Profissionais altam. qualificados;masculino;2023;2321.74
Profissionais altam. qualificados;masculino;2024;2180.53
Profissionais altam. qualificados;feminino;2014;969.99
Profissionais altam. qualificados;feminino;2015;963.66
Profissionais altam. qualificados;feminino;2016;971.66
Profissionais altam. qualificados;feminino;2017;960.23
Profissionais altam. qualificados;feminino;2018;964.23
Profissionais altam. qualificados;feminino;2019;936.59
Profissionais altam. qualificados;feminino;2020;989.35
Profissionais altam. qualificados;feminino;2021;994.04
Profissionais altam. qualificados;feminino;2022;1041.39
Profissionais altam. qualificados;feminino;2023;1188.58
Profissionais altam. qualificados;feminino;2024;1258.3
Profissionais qualificados;masculino;2014;690.06
Profissionais qualificados;masculino;2015;699.45
Profissionais qualificados;masculino;2016;694.41
Profissionais qualificados;masculino;2017;699.37
