qualification_level;gender;year;avg_monthly_wage_eur
Quadros superiores;masculino;2014;2309.18
Quadros superiores;masculino;2015;2316.87
Quadros superiores;masculino;2016;2318.81
Quadros superiores;masculino;2017;2339.47
Quadros superiores;masculino;2018;2364.11
Quadros superiores;masculino;2019;2384.68
Quadros superiores;masculino;2020;2391.21
Quadros superiores;masculino;2021;2428.31
Quadros superiores;masculino;2022;2558.3
Quadros superiores;masculino;2023;2702.18
Quadros superiores;masculino;2024;2865.98
Quadros superiores;feminino;2014;1702.62
Quadros superiores;feminino;2015;1705.89
Quadros superiores;feminino;2016;1710.84
Quadros superiores;feminino;2017;1722.33
Quadros superiores;feminino;2018;1746.3
Quadros superiores;feminino;2019;1777.19
Quadros superiores;feminino;2020;1799.18
Quadros superiores;feminino;2021;1832.68
Quadros superiores;feminino;2022;1914.19
Quadros superiores;feminino;2023;1999.71
Quadros superiores;feminino;2024;2136.92
Quadros medios;masculino;2014;1510.77
Quadros medios;masculino;2015;1523.32
Quadros medios;masculino;2016;1525.48
Quadros medios;masculino;2017;1538.7
Quadros medios;masculino;2018;1560.48
Quadros medios;masculino;2019;1591.61
Quadros medios;masculino;2020;1597.2
Quadros medios;masculino;2021;1632.07
Quadros medios;masculino;2022;1748.11
Quadros medios;masculino;2023;1872.23
Quadros medios;masculino;2024;1964.59
Quadros medios;feminino;2014;1300.35
Quadros medios;feminino;2015;1311.12
Quadros medios;feminino;2016;1323.46
Quadros medios;feminino;2017;1330.76
Quadros medios;feminino;2018;1351.69
Quadros medios;feminino;2019;1371.16
Quadros medios;feminino;2020;1377.46
Quadros medios;feminino;2021;1399.77
Quadros medios;feminino;2022;1481.46
Quadros medios;feminino;2023;1585.82
Quadros medios;feminino;2024;1658.94
Encar. contram. mest.e chefes;masculino;2014;1324.49
Encar. contram. mest.e chefes;masculino;2015;1337.21
Encar. contram. mest.e chefes;masculino;2016;1360.2
Encar. contram. mest.e chefes;masculino;2017;1373.74
Encar. contram. mest.e chefes;masculino;2018;1400.55
Encar. contram. mest.e chefes;masculino;2019;1449.64
Encar. contram. mest.e chefes;masculino;2020;1490.41
Encar. contram. mest.e chefes;masculino;2021;1535.87
Encar. contram. mest.e chefes;masculino;2022;1609.69
Encar. contram. mest.e chefes;masculino;2023;1701.91
Encar. contram. mest.e chefes;masculino;2024;1828.64
Encar. contram. mest.e chefes;feminino;2014;1219.03
Encar. contram. mest.e chefes;feminino;2015;1230.75
