profession_code;profession_description;year;avg_monthly_wage_foreign_eur
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2014;2927.24
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2015;2813.68
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2016;2907.96
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2017;3081.73
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2018;3083.46
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2019;3096.01
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2020;3401.27
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2021;3561.51
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2022;3718
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2023;3909.23
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2024;4063.23
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2014;4416.33
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2015;3946.48
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2016;4417.87
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2017;5038.67
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2018;4901.1
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2019;5196.97
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2020;5505.12
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2021;5468.42
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2022;5677.77
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2023;6094.82
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2024;5922.47
12;Diret.de serv.adm. e comerciais;2014;3363.9
12;Diret.de serv.adm. e comerciais;2015;3300.2
12;Diret.de serv.adm. e comerciais;2016;3478.68
12;Diret.de serv.adm. e comerciais;2017;3527.33
12;Diret.de serv.adm. e comerciais;2018;3436.23
12;Diret.de serv.adm. e comerciais;2019;3354.9
12;Diret.de serv.adm. e comerciais;2020;3537.95
12;Diret.de serv.adm. e comerciais;2021;3765.93
12;Diret.de serv.adm. e comerciais;2022;4106.54
12;Diret.de serv.adm. e comerciais;2023;4414.73
12;Diret.de serv.adm. e comerciais;2024;4516.78
13;Diret.de prod.e de servicos espec.;2014;3127.82
13;Diret.de prod.e de servicos espec.;2015;3189.47
13;Diret.de prod.e de servicos espec.;2016;3084.89
13;Diret.de prod.e de servicos espec.;2017;3186.9
13;Diret.de prod.e de servicos espec.;2018;3237.29
13;Diret.de prod.e de servicos espec.;2019;3069.97
13;Diret.de prod.e de servicos espec.;2020;3431.74
13;Diret.de prod.e de servicos espec.;2021;3523.78
13;Diret.de prod.e de servicos espec.;2022;4018.85
13;Diret.de prod.e de servicos espec.;2023;4358.7
13;Diret.de prod.e de servicos espec.;2024;4616.13
14;Diret.de hot.,restaur.e de out.servicos;2014;1476.69
14;Diret.de hot.,restaur.e de out.servicos;2015;1584
14;Diret.de hot.,restaur.e de out.servicos;2016;1546.8
14;Diret.de hot.,restaur.e de out.servicos;2017;1647.4
14;Diret.de hot.,restaur.e de out.servicos;2018;1691.93
14;Diret.de hot.,restaur.e de out.servicos;2019;1772.11
14;Diret.de hot.,restaur.e de out.servicos;2020;1960.13
14;Diret.de hot.,restaur.e de out.servicos;2021;2190.3
14;Diret.de hot.,restaur.e de out.servicos;2022;2017.95
14;Diret.de hot.,restaur.e de out.servicos;2023;2118.89
14;Diret.de hot.,restaur.e de out.servicos;2024;2278.15
2;Especial.das ativ.intelet.e cientif.;2014;1849.67
2;Especial.das ativ.intelet.e cientif.;2015;1823.35
2;Especial.das ativ.intelet.e cientif.;2016;1864.97
2;Especial.das ativ.intelet.e cientif.;2017;1901.38
2;Especial.das ativ.intelet.e cientif.;2018;1862.07
2;Especial.das ativ.intelet.e cientif.;2019;1840.43
2;Especial.das ativ.intelet.e cientif.;2020;1909.82
2;Especial.das ativ.intelet.e cientif.;2021;2006.57
2;Especial.das ativ.intelet.e cientif.;2022;2194.14
2;Especial.das ativ.intelet.e cientif.;2023;2348.86
2;Especial.das ativ.intelet.e cientif.;2024;2512.05
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2014;2326.42
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2015;2302.74
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2016;2358.56
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2017;2428.2
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2018;2291.06
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2019;2177.24
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2020;2184.53
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2021;2192.46
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2022;2206.92
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2023;2318.18
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2024;2478.65
22;Profissionais de saude;2014;1891.64
22;Profissionais de saude;2015;1901.06
22;Profissionais de saude;2016;1946.05
22;Profissionais de saude;2017;1938.24
22;Profissionais de saude;2018;2009.07
22;Profissionais de saude;2019;1917.8
22;Profissionais de saude;2020;1913.15
22;Profissionais de saude;2021;1964.94
22;Profissionais de saude;2022;1892.57
22;Profissionais de saude;2023;1856.43
22;Profissionais de saude;2024;1967.85
23;Professores;2014;1821.94
23;Professores;2015;1824.66
23;Professores;2016;1864.16
23;Professores;2017;1851.43
23;Professores;2018;1910.56
23;Professores;2019;1904.63
23;Professores;2020;1941.86
23;Professores;2021;2001.46
23;Professores;2022;2064.04
23;Professores;2023;2278.02
23;Professores;2024;2308.76
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2014;1854.94
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2015;1753.13
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2016;1801.66
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2017;1828.69
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2018;1696.8
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2019;1596.02
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2020;1656.79
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2021;1754.39
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2022;1951.39
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2023;2179.54
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2024;2311.29
25;Especial. em tecn. de inform. e comunicacao (TIC);2014;1643.73
25;Especial. em tecn. de inform. e comunicacao (TIC);2015;1610.21
25;Especial. em tecn. de inform. e comunicacao (TIC);2016;1665.07
