profession_code;profession_description;year;avg_monthly_wage_eur
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2014;2052.45
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2015;2079.75
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2016;2107.99
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2017;2146.05
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2018;2200.2
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2019;2261.4
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2020;2333.06
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2021;2403.16
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2022;2518.79
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2023;2657.57
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2024;2846.78
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2014;2829.32
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2015;2844.52
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2016;2837.07
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2017;2985.77
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2018;3034.36
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2019;3144.47
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2020;3230.47
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2021;3257.92
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2022;3344.35
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2023;3556.46
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2024;3806.71
12;Diret.de serv.adm. e comerciais;2014;2366.84
12;Diret.de serv.adm. e comerciais;2015;2383.54
12;Diret.de serv.adm. e comerciais;2016;2401.41
12;Diret.de serv.adm. e comerciais;2017;2416.93
12;Diret.de serv.adm. e comerciais;2018;2495.68
12;Diret.de serv.adm. e comerciais;2019;2513.67
12;Diret.de serv.adm. e comerciais;2020;2579.35
12;Diret.de serv.adm. e comerciais;2021;2647.82
12;Diret.de serv.adm. e comerciais;2022;2814.89
12;Diret.de serv.adm. e comerciais;2023;2947.49
12;Diret.de serv.adm. e comerciais;2024;3132.14
13;Diret.de prod.e de servicos espec.;2014;1993.41
13;Diret.de prod.e de servicos espec.;2015;2030.3
