profession_code;profession_description;year;avg_hourly_wage_eur
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2014;12.03
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2015;12.14
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2016;12.33
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2017;12.52
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2018;12.82
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2019;13.15
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2020;13.57
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2021;14
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2022;14.63
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2023;15.43
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2024;16.54
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2014;16.36
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2015;16.35
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2016;16.31
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2017;17.17
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2018;17.42
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2019;18.03
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2020;18.48
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2021;18.71
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2022;19.24
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2023;20.43
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2024;21.91
12;Diret.de serv.adm. e comerciais;2014;13.98
12;Diret.de serv.adm. e comerciais;2015;14.06
12;Diret.de serv.adm. e comerciais;2016;14.16
12;Diret.de serv.adm. e comerciais;2017;14.22
12;Diret.de serv.adm. e comerciais;2018;14.67
12;Diret.de serv.adm. e comerciais;2019;14.75
12;Diret.de serv.adm. e comerciais;2020;15.12
12;Diret.de serv.adm. e comerciais;2021;15.54
12;Diret.de serv.adm. e comerciais;2022;16.45
12;Diret.de serv.adm. e comerciais;2023;17.22
12;Diret.de serv.adm. e comerciais;2024;18.29
13;Diret.de prod.e de servicos espec.;2014;11.99
13;Diret.de prod.e de servicos espec.;2015;12.16
13;Diret.de prod.e de servicos espec.;2016;12.22
