irct_type;year;avg_monthly_wage_eur
Contrato Colectivo de Trabalho (CCT);2014;814.02
Contrato Colectivo de Trabalho (CCT);2015;822.04
Contrato Colectivo de Trabalho (CCT);2016;834.1
Contrato Colectivo de Trabalho (CCT);2017;851.63
Contrato Colectivo de Trabalho (CCT);2018;878.73
Contrato Colectivo de Trabalho (CCT);2019;910.7
Contrato Colectivo de Trabalho (CCT);2020;946.93
Contrato Colectivo de Trabalho (CCT);2021;985.26
Contrato Colectivo de Trabalho (CCT);2022;1034.91
Contrato Colectivo de Trabalho (CCT);2023;1104.84
Contrato Colectivo de Trabalho (CCT);2024;1180.44
Acordo Colectivo de Trabalho (ACT);2014;1355.5
Acordo Colectivo de Trabalho (ACT);2015;1369.22
Acordo Colectivo de Trabalho (ACT);2016;1380.34
Acordo Colectivo de Trabalho (ACT);2017;1384.89
Acordo Colectivo de Trabalho (ACT);2018;1383.1
Acordo Colectivo de Trabalho (ACT);2019;1377.83
Acordo Colectivo de Trabalho (ACT);2020;1398.04
Acordo Colectivo de Trabalho (ACT);2021;1401.27
Acordo Colectivo de Trabalho (ACT);2022;1434.7
Acordo Colectivo de Trabalho (ACT);2023;1540.55
Acordo Colectivo de Trabalho (ACT);2024;1675.48
Portaria de Cond. de Trabalho (PCT)(3);2014;972.19
Portaria de Cond. de Trabalho (PCT)(3);2015;967.53
Portaria de Cond. de Trabalho (PCT)(3);2016;971.01
Portaria de Cond. de Trabalho (PCT)(3);2017;992.05
Portaria de Cond. de Trabalho (PCT)(3);2018;1032.11
Portaria de Cond. de Trabalho (PCT)(3);2019;1074.61
Portaria de Cond. de Trabalho (PCT)(3);2020;1119.86
Portaria de Cond. de Trabalho (PCT)(3);2021;1179.75
Portaria de Cond. de Trabalho (PCT)(3);2022;1261.65
Portaria de Cond. de Trabalho (PCT)(3);2023;1353.7
Portaria de Cond. de Trabalho (PCT)(3);2024;1439.19
Acordo de Empresa (AE);2014;1444.7
Acordo de Empresa (AE);2015;1449
Acordo de Empresa (AE);2016;1443.02
Acordo de Empresa (AE);2017;1460.94
Acordo de Empresa (AE);2018;1499.23
Acordo de Empresa (AE);2019;1520.65
Acordo de Empresa (AE);2020;1451.9
Acordo de Empresa (AE);2021;1476.86
Acordo de Empresa (AE);2022;1594.67
Acordo de Empresa (AE);2023;1672.43
Acordo de Empresa (AE);2024;1750.46
Nao Abrangidos por Reg. Coletiva;2014;1121.4
Nao Abrangidos por Reg. Coletiva;2015;1104.35
Nao Abrangidos por Reg. Coletiva;2016;1107.47
Nao Abrangidos por Reg. Coletiva;2017;1109.81
Nao Abrangidos por Reg. Coletiva;2018;1145.62
Nao Abrangidos por Reg. Coletiva;2019;1184.11
Nao Abrangidos por Reg. Coletiva;2020;1211.97
Nao Abrangidos por Reg. Coletiva;2021;1273.56
Nao Abrangidos por Reg. Coletiva;2022;1356.61
Nao Abrangidos por Reg. Coletiva;2023;1446.74
Nao Abrangidos por Reg. Coletiva;2024;1568.84
