decile;year;wage_eur
1;2014;501.84
1;2015;502.14
1;2016;527.24
1;2017;554.41
1;2018;577.6
1;2019;597.32
1;2020;632.38
1;2021;662.06
1;2022;702.13
1;2023;757.16
1;2024;817.3
2;2014;505
2;2015;505.23
2;2016;530
2;2017;557
2;2018;580
2;2019;600
2;2020;635
2;2021;665
2;2022;705
2;2023;760
2;2024;820
3;2014;519.44
3;2015;524.33
3;2016;538.51
3;2017;561.31
3;2018;588.06
3;2019;609.83
3;2020;640.13
3;2021;670.65
3;2022;710.95
3;2023;770
3;2024;833.34
4;2014;559.27
4;2015;562.91
4;2016;571.98
4;2017;590.72
4;2018;611.89
4;2019;637.97
4;2020;665.43
4;2021;700.07
4;2022;742.32
4;2023;801.98
4;2024;867.48
5;2014;612.56
5;2015;615.41
5;2016;621.13
5;2017;634.72
5;2018;656.84
5;2019;685.8
5;2020;715.99
5;2021;748.23
5;2022;791.55
5;2023;850.67
5;2024;914.06
6;2014;682.58
6;2015;686.09
6;2016;691.85
6;2017;706.05
6;2018;728.06
6;2019;758.83
6;2020;790.27
6;2021;820.89
6;2022;866.79
6;2023;930.9
6;2024;996.19
7;2014;795.21
7;2015;797.9
7;2016;801.73
7;2017;814.57
7;2018;840.55
7;2019;873.05
7;2020;913.19
7;2021;948.16
7;2022;997.28
7;2023;1061.88
7;2024;1143.14
8;2014;983.25
8;2015;987.03
8;2016;990.02
8;2017;1002.09
8;2018;1031.17
8;2019;1071.29
8;2020;1110.27
8;2021;1149.05
8;2022;1204.55
8;2023;1279.47
8;2024;1367.39
9;2014;1303.02
9;2015;1306.26
9;2016;1308.59
9;2017;1319.42
9;2018;1350.97
9;2019;1395.54
9;2020;1438.29
9;2021;1487.95
9;2022;1567.64
9;2023;1661.65
9;2024;1775.07
10;2014;2632.75
10;2015;2651.95
10;2016;2668.35
10;2017;2689.74
10;2018;2739.03
10;2019;2821.25
10;2020;2879
10;2021;2975.64
10;2022;3146.25
10;2023;3324.97
10;2024;3555.66
