decile;year;wage_eur
1;2014;505
1;2015;505
1;2016;530
1;2017;557
1;2018;580
1;2019;600
1;2020;635
1;2021;665
1;2022;705
1;2023;760
1;2024;820
2;2014;505
2;2015;509
2;2016;530
2;2017;557
2;2018;580
2;2019;600
2;2020;635
2;2021;665
2;2022;705
2;2023;760
2;2024;820
3;2014;540
3;2015;544.99
3;2016;550
3;2017;571
3;2018;600
3;2019;622
3;2020;650
3;2021;683.5
3;2022;721.65
3;2023;785
3;2024;850
4;2014;586.81
4;2015;591.6
4;2016;600
4;2017;605
4;2018;630
4;2019;650
4;2020;693.62
4;2021;720
4;2022;760
4;2023;823.33
4;2024;898
5;2014;641.93
5;2015;650
5;2016;650
5;2017;660
5;2018;690
5;2019;720
5;2020;750
5;2021;786
5;2022;816.21
5;2023;880
5;2024;950
6;2014;731.94
6;2015;738.8
6;2016;745.91
6;2017;750
6;2018;775.51
6;2019;800
6;2020;840
6;2021;875
6;2022;920
6;2023;1000
6;2024;1052
7;2014;874.65
7;2015;877.5
7;2016;884.35
7;2017;900
7;2018;919.34
7;2019;959.4
7;2020;1000
7;2021;1025.86
7;2022;1095.51
7;2023;1155
7;2024;1245.72
8;2014;1100
8;2015;1110
8;2016;1118
8;2017;1132
8;2018;1166.48
8;2019;1200.01
8;2020;1226.76
8;2021;1270
8;2022;1345.5
8;2023;1425
8;2024;1500
9;2014;1561.6
9;2015;1564.96
9;2016;1570.83
9;2017;1585
9;2018;1612.88
9;2019;1676
9;2020;1725.5
9;2021;1800
9;2022;1897.61
9;2023;2000
9;2024;2140
