gender;year;percentage
total;2014;0.15
total;2015;0.15
total;2016;0.1
total;2017;0
total;2018;0
total;2019;0
total;2020;0
total;2021;0
total;2022;0
total;2023;0
total;2024;0
masculino;2014;0.11
masculino;2015;0.1
masculino;2016;0
masculino;2017;0
masculino;2018;0
masculino;2019;0
masculino;2020;0
masculino;2021;0
masculino;2022;0
masculino;2023;0
masculino;2024;0
feminino;2014;0.2
feminino;2015;0.2
feminino;2016;0.1
feminino;2017;0
feminino;2018;0
feminino;2019;0
feminino;2020;0
feminino;2021;0
feminino;2022;0
feminino;2023;0
feminino;2024;0
