remuneration_bracket;year;workers_count
menos - RMMG;2014;5299
menos - RMMG;2015;4830
menos - RMMG;2016;5114
menos - RMMG;2017;4504
menos - RMMG;2018;3892
menos - RMMG;2019;4213
menos - RMMG;2020;3675
menos - RMMG;2021;3820
menos - RMMG;2022;4185
menos - RMMG;2023;3854
menos - RMMG;2024;3093
RMMG;2014;96190
RMMG;2015;94391
RMMG;2016;111160
RMMG;2017;113811
RMMG;2018;115227
RMMG;2019;107826
RMMG;2020;106652
RMMG;2021;101440
RMMG;2022;106931
RMMG;2023;101620
RMMG;2024;100450
RMMG - 999.99 EUR;2014;1184863
RMMG - 999.99 EUR;2015;1223442
RMMG - 999.99 EUR;2016;1240882
RMMG - 999.99 EUR;2017;1261225
RMMG - 999.99 EUR;2018;1255162
RMMG - 999.99 EUR;2019;1212391
RMMG - 999.99 EUR;2020;1110879
RMMG - 999.99 EUR;2021;1069792
RMMG - 999.99 EUR;2022;1029091
RMMG - 999.99 EUR;2023;858643
RMMG - 999.99 EUR;2024;580255
1000.00 - 1499.99 EUR;2014;324052
1000.00 - 1499.99 EUR;2015;340648
1000.00 - 1499.99 EUR;2016;358090
1000.00 - 1499.99 EUR;2017;390355
1000.00 - 1499.99 EUR;2018;433973
1000.00 - 1499.99 EUR;2019;476979
1000.00 - 1499.99 EUR;2020;496154
1000.00 - 1499.99 EUR;2021;542243
1000.00 - 1499.99 EUR;2022;657005
1000.00 - 1499.99 EUR;2023;816406
1000.00 - 1499.99 EUR;2024;1017706
1500.00 - 2499.99 EUR;2014;205599
1500.00 - 2499.99 EUR;2015;211987
1500.00 - 2499.99 EUR;2016;219147
1500.00 - 2499.99 EUR;2017;235210
1500.00 - 2499.99 EUR;2018;259576
1500.00 - 2499.99 EUR;2019;284340
1500.00 - 2499.99 EUR;2020;295953
1500.00 - 2499.99 EUR;2021;319188
1500.00 - 2499.99 EUR;2022;377436
1500.00 - 2499.99 EUR;2023;448121
1500.00 - 2499.99 EUR;2024;521804
2500.00 - 3749.99 EUR;2014;73982
2500.00 - 3749.99 EUR;2015;76280
2500.00 - 3749.99 EUR;2016;79072
2500.00 - 3749.99 EUR;2017;83250
2500.00 - 3749.99 EUR;2018;90232
2500.00 - 3749.99 EUR;2019;96145
2500.00 - 3749.99 EUR;2020;99786
2500.00 - 3749.99 EUR;2021;107743
2500.00 - 3749.99 EUR;2022;131037
2500.00 - 3749.99 EUR;2023;152841
2500.00 - 3749.99 EUR;2024;176768
3750.00 - 4999.99 EUR;2014;21232
3750.00 - 4999.99 EUR;2015;21937
3750.00 - 4999.99 EUR;2016;23194
3750.00 - 4999.99 EUR;2017;24313
3750.00 - 4999.99 EUR;2018;26441
3750.00 - 4999.99 EUR;2019;28479
3750.00 - 4999.99 EUR;2020;28950
3750.00 - 4999.99 EUR;2021;32106
3750.00 - 4999.99 EUR;2022;39500
3750.00 - 4999.99 EUR;2023;48240
3750.00 - 4999.99 EUR;2024;59324
5000.00+ EUR;2014;17090
5000.00+ EUR;2015;17616
5000.00+ EUR;2016;18252
5000.00+ EUR;2017;19275
5000.00+ EUR;2018;20946
5000.00+ EUR;2019;22027
5000.00+ EUR;2020;22069
5000.00+ EUR;2021;24262
5000.00+ EUR;2022;30930
5000.00+ EUR;2023;37875
5000.00+ EUR;2024;47511
