remuneration_bracket;year;percentage
menos - RMMG;2014;0.2748
menos - RMMG;2015;0.2426
menos - RMMG;2016;0.2489
menos - RMMG;2017;0.2113
menos - RMMG;2018;0.1765
menos - RMMG;2019;0.1887
menos - RMMG;2020;0.1698
menos - RMMG;2021;0.1736
menos - RMMG;2022;0.1761
menos - RMMG;2023;0.1562
menos - RMMG;2024;0.1234
RMMG;2014;4.9883
RMMG;2015;4.7406
RMMG;2016;5.4095
RMMG;2017;5.3384
RMMG;2018;5.2247
RMMG;2019;4.83
RMMG;2020;4.9282
RMMG;2021;4.6097
RMMG;2022;4.5002
RMMG;2023;4.1182
RMMG;2024;4.0069
RMMG - 999.99 EUR;2014;61.4458
RMMG - 999.99 EUR;2015;61.4446
RMMG - 999.99 EUR;2016;60.3862
RMMG - 999.99 EUR;2017;59.1585
RMMG - 999.99 EUR;2018;56.9119
RMMG - 999.99 EUR;2019;54.3089
RMMG - 999.99 EUR;2020;51.3317
RMMG - 999.99 EUR;2021;48.6138
RMMG - 999.99 EUR;2022;43.3098
RMMG - 999.99 EUR;2023;34.7967
RMMG - 999.99 EUR;2024;23.1462
1000.00 - 1499.99 EUR;2014;16.805
1000.00 - 1499.99 EUR;2015;17.1083
1000.00 - 1499.99 EUR;2016;17.4261
1000.00 - 1499.99 EUR;2017;18.3098
1000.00 - 1499.99 EUR;2018;19.6773
1000.00 - 1499.99 EUR;2019;21.3662
1000.00 - 1499.99 EUR;2020;22.9264
1000.00 - 1499.99 EUR;2021;24.6408
1000.00 - 1499.99 EUR;2022;27.6504
1000.00 - 1499.99 EUR;2023;33.085
1000.00 - 1499.99 EUR;2024;40.596
1500.00 - 2499.99 EUR;2014;10.6622
1500.00 - 2499.99 EUR;2015;10.6466
1500.00 - 2499.99 EUR;2016;10.6645
1500.00 - 2499.99 EUR;2017;11.0327
1500.00 - 2499.99 EUR;2018;11.7698
1500.00 - 2499.99 EUR;2019;12.737
1500.00 - 2499.99 EUR;2020;13.6755
1500.00 - 2499.99 EUR;2021;14.5046
1500.00 - 2499.99 EUR;2022;15.8846
1500.00 - 2499.99 EUR;2023;18.1602
1500.00 - 2499.99 EUR;2024;20.8146
2500.00 - 3749.99 EUR;2014;3.8366
2500.00 - 3749.99 EUR;2015;3.831
2500.00 - 3749.99 EUR;2016;3.848
2500.00 - 3749.99 EUR;2017;3.9049
2500.00 - 3749.99 EUR;2018;4.0913
2500.00 - 3749.99 EUR;2019;4.3068
2500.00 - 3749.99 EUR;2020;4.6109
2500.00 - 3749.99 EUR;2021;4.8961
2500.00 - 3749.99 EUR;2022;5.5148
2500.00 - 3749.99 EUR;2023;6.1939
2500.00 - 3749.99 EUR;2024;7.0512
3750.00 - 4999.99 EUR;2014;1.1011
3750.00 - 4999.99 EUR;2015;1.1017
3750.00 - 4999.99 EUR;2016;1.1287
3750.00 - 4999.99 EUR;2017;1.1404
3750.00 - 4999.99 EUR;2018;1.1989
3750.00 - 4999.99 EUR;2019;1.2757
3750.00 - 4999.99 EUR;2020;1.3377
3750.00 - 4999.99 EUR;2021;1.459
3750.00 - 4999.99 EUR;2022;1.6624
3750.00 - 4999.99 EUR;2023;1.9549
3750.00 - 4999.99 EUR;2024;2.3664
5000.00+ EUR;2014;0.8863
5000.00+ EUR;2015;0.8847
5000.00+ EUR;2016;0.8882
5000.00+ EUR;2017;0.9041
5000.00+ EUR;2018;0.9497
5000.00+ EUR;2019;0.9867
5000.00+ EUR;2020;1.0198
5000.00+ EUR;2021;1.1025
5000.00+ EUR;2022;1.3017
5000.00+ EUR;2023;1.5349
5000.00+ EUR;2024;1.8952
