decile;year;monthly_earnings_eur
1;2014;517.55
1;2015;518.95
1;2016;541.09
1;2017;568.88
1;2018;593.05
1;2019;615.49
1;2020;651.89
1;2021;684.62
1;2022;726.79
1;2023;786.12
1;2024;851.09
2;2014;580.52
2;2015;581.94
2;2016;600.68
2;2017;630.6
2;2018;660.08
2;2019;687.04
2;2020;720.8
2;2021;751.73
2;2022;795.53
2;2023;863.33
2;2024;938.65
3;2014;622.01
3;2015;622.59
3;2016;637.89
3;2017;666.63
3;2018;697.55
3;2019;726.15
3;2020;756.5
3;2021;787.93
3;2022;832.19
3;2023;904.46
3;2024;985.3
4;2014;673.51
4;2015;675.9
4;2016;687.11
4;2017;713.34
4;2018;744.93
4;2019;776.91
4;2020;809.55
4;2021;843.68
4;2022;892.08
4;2023;967.54
4;2024;1052.71
5;2014;744.94
5;2015;748.82
5;2016;758.29
5;2017;782.49
5;2018;814.41
5;2019;849.92
5;2020;884.65
5;2021;918.75
5;2022;971.89
5;2023;1050.28
5;2024;1138.47
6;2014;836.57
6;2015;841.18
6;2016;849.51
6;2017;872.87
6;2018;905.46
6;2019;945.3
6;2020;982.04
6;2021;1019.55
6;2022;1077.81
6;2023;1161.12
6;2024;1257.64
7;2014;971.94
7;2015;976.82
7;2016;983.8
7;2017;1007.14
7;2018;1044.14
7;2019;1088.52
7;2020;1132.48
7;2021;1173.75
7;2022;1239.41
7;2023;1330.62
7;2024;1436.98
8;2014;1195.08
8;2015;1199.49
8;2016;1202.99
8;2017;1225.68
8;2018;1266.64
8;2019;1314.59
8;2020;1363.34
8;2021;1407.67
8;2022;1484.44
8;2023;1587.73
8;2024;1706.43
9;2014;1596.19
9;2015;1594
9;2016;1597.23
9;2017;1617.02
9;2018;1663.94
9;2019;1717.19
9;2020;1773.49
9;2021;1827.6
9;2022;1929.99
9;2023;2057.54
9;2024;2209.75
10;2014;3193.77
10;2015;3206.89
10;2016;3219.97
10;2017;3248.79
10;2018;3312.32
10;2019;3378.28
10;2020;3432.77
10;2021;3525.8
10;2022;3729.83
10;2023;3957.82
10;2024;4250.45
