decile;year;monthly_earnings_eur
1;2014;555.6
1;2015;557.4
1;2016;578
1;2017;605
1;2018;632.8
1;2019;655.2
1;2020;695
1;2021;728
1;2022;775
1;2023;839.6
1;2024;911
2;2014;603
2;2015;599.86
2;2016;618.22
2;2017;651.56
2;2018;681.85
2;2019;709.7
2;2020;737.42
2;2021;766
2;2022;809.94
2;2023;885
2;2024;958
3;2014;644.95
3;2015;647
3;2016;659.1
3;2017;687.15
3;2018;718
3;2019;747.99
3;2020;779.94
3;2021;811.33
3;2022;857.6
3;2023;932
3;2024;1018
4;2014;704.8
4;2015;708.44
4;2016;719.7
4;2017;745.51
4;2018;777.65
4;2019;809.71
4;2020;844.75
4;2021;879.77
4;2022;929.8
4;2023;1005
4;2024;1090.9
5;2014;786.98
5;2015;790.03
5;2016;800
5;2017;822.95
5;2018;854.8
5;2019;892.01
5;2020;926.14
5;2021;962.2
5;2022;1017.5
5;2023;1100.17
5;2024;1191.02
6;2014;894.88
6;2015;898.82
6;2016;905.9
6;2017;930.11
6;2018;964.53
6;2019;1005.04
6;2020;1047
6;2021;1087.16
6;2022;1145.4
6;2023;1233
6;2024;1335.83
7;2014;1065.29
7;2015;1071.26
7;2016;1076.72
7;2017;1098.5
7;2018;1136
7;2019;1183.38
7;2020;1235.17
7;2021;1278.04
7;2022;1343.83
7;2023;1440.06
7;2024;1551
8;2014;1349.76
8;2015;1350
8;2016;1351.02
8;2017;1374.6
8;2018;1417.92
8;2019;1471.67
8;2020;1517.99
8;2021;1569.5
8;2022;1652.03
8;2023;1763.96
8;2024;1893.43
9;2014;1932.5
9;2015;1929.23
9;2016;1934.8
9;2017;1951.52
9;2018;2000
9;2019;2061.38
9;2020;2123.3
9;2021;2181.67
9;2022;2306.09
9;2023;2460.24
9;2024;2644.06
