cae_code;activity_description;year;avg_monthly_earnings_eur
A;Agr., pr. animal, caca, flor. pesca;2014;794.63
A;Agr., pr. animal, caca, flor. pesca;2015;802.68
A;Agr., pr. animal, caca, flor. pesca;2016;832.8
A;Agr., pr. animal, caca, flor. pesca;2017;850.4
A;Agr., pr. animal, caca, flor. pesca;2018;896.43
A;Agr., pr. animal, caca, flor. pesca;2019;945.56
A;Agr., pr. animal, caca, flor. pesca;2020;949.69
A;Agr., pr. animal, caca, flor. pesca;2021;1011.43
A;Agr., pr. animal, caca, flor. pesca;2022;1058.37
A;Agr., pr. animal, caca, flor. pesca;2023;1125.73
A;Agr., pr. animal, caca, flor. pesca;2024;1210.13
B;Industrias extrativas;2014;1253.19
B;Industrias extrativas;2015;1254.11
B;Industrias extrativas;2016;1286.78
B;Industrias extrativas;2017;1296.04
B;Industrias extrativas;2018;1403.23
B;Industrias extrativas;2019;1459.11
B;Industrias extrativas;2020;1500.09
B;Industrias extrativas;2021;1596.03
B;Industrias extrativas;2022;1702.24
B;Industrias extrativas;2023;1969.8
B;Industrias extrativas;2024;2021.23
C;Industrias transformadoras;2014;1003.09
C;Industrias transformadoras;2015;1015.82
C;Industrias transformadoras;2016;1031.6
C;Industrias transformadoras;2017;1068.43
C;Industrias transformadoras;2018;1110.54
C;Industrias transformadoras;2019;1154.94
C;Industrias transformadoras;2020;1198.04
C;Industrias transformadoras;2021;1224.79
C;Industrias transformadoras;2022;1302.59
C;Industrias transformadoras;2023;1400.65
C;Industrias transformadoras;2024;1521.41
10;Industrias alimentares;2014;901.74
10;Industrias alimentares;2015;913.71
10;Industrias alimentares;2016;932.43
10;Industrias alimentares;2017;962.08
10;Industrias alimentares;2018;994.87
10;Industrias alimentares;2019;1026.13
10;Industrias alimentares;2020;1065.84
10;Industrias alimentares;2021;1115.41
10;Industrias alimentares;2022;1159.73
10;Industrias alimentares;2023;1240.16
10;Industrias alimentares;2024;1321.3
11;Industria das bebidas;2014;1297
11;Industria das bebidas;2015;1298.25
11;Industria das bebidas;2016;1316.87
11;Industria das bebidas;2017;1312.07
11;Industria das bebidas;2018;1340.8
11;Industria das bebidas;2019;1374.56
11;Industria das bebidas;2020;1405.73
11;Industria das bebidas;2021;1441.98
11;Industria das bebidas;2022;1497.34
11;Industria das bebidas;2023;1582.85
11;Industria das bebidas;2024;1727.56
12;Industria do tabaco;2014;2496.13
12;Industria do tabaco;2015;2358.49
12;Industria do tabaco;2016;2254.23
12;Industria do tabaco;2017;2289.2
12;Industria do tabaco;2018;2626.44
12;Industria do tabaco;2019;2299.76
12;Industria do tabaco;2020;2306.13
12;Industria do tabaco;2021;2376.24
12;Industria do tabaco;2022;2774.95
12;Industria do tabaco;2023;2537.11
12;Industria do tabaco;2024;2690.06
13;Fabricacao de texteis;2014;828.75
13;Fabricacao de texteis;2015;839.15
13;Fabricacao de texteis;2016;867.67
13;Fabricacao de texteis;2017;904.55
13;Fabricacao de texteis;2018;946.29
13;Fabricacao de texteis;2019;979.48
13;Fabricacao de texteis;2020;1016.07
13;Fabricacao de texteis;2021;1055.82
13;Fabricacao de texteis;2022;1124.17
13;Fabricacao de texteis;2023;1203.51
13;Fabricacao de texteis;2024;1300.75
14;Industria do vestuario;2014;677.28
14;Industria do vestuario;2015;684.56
14;Industria do vestuario;2016;709.31
14;Industria do vestuario;2017;742.32
14;Industria do vestuario;2018;781.48
14;Industria do vestuario;2019;818.69
14;Industria do vestuario;2020;848.84
14;Industria do vestuario;2021;886.18
14;Industria do vestuario;2022;942.57
14;Industria do vestuario;2023;1023.34
14;Industria do vestuario;2024;1113.06
15;Ind. couro e produtos do couro;2014;729.64
15;Ind. couro e produtos do couro;2015;748.8
15;Ind. couro e produtos do couro;2016;773.93
15;Ind. couro e produtos do couro;2017;798.73
15;Ind. couro e produtos do couro;2018;837.82
15;Ind. couro e produtos do couro;2019;886.32
15;Ind. couro e produtos do couro;2020;908.07
15;Ind. couro e produtos do couro;2021;956.48
15;Ind. couro e produtos do couro;2022;1023.68
15;Ind. couro e produtos do couro;2023;1098.19
15;Ind. couro e produtos do couro;2024;1197.04
16;Ind. madeira. e cortica. e s. obras;2014;968.27
16;Ind. madeira. e cortica. e s. obras;2015;977.14
16;Ind. madeira. e cortica. e s. obras;2016;997.01
16;Ind. madeira. e cortica. e s. obras;2017;1024.83
16;Ind. madeira. e cortica. e s. obras;2018;1054.61
16;Ind. madeira. e cortica. e s. obras;2019;1096.66
16;Ind. madeira. e cortica. e s. obras;2020;1126.16
16;Ind. madeira. e cortica. e s. obras;2021;1168.85
16;Ind. madeira. e cortica. e s. obras;2022;1222.64
16;Ind. madeira. e cortica. e s. obras;2023;1324.53
16;Ind. madeira. e cortica. e s. obras;2024;1427.47
17;Fab. pasta, papel, cartao e s. art.;2014;1435.92
17;Fab. pasta, papel, cartao e s. art.;2015;1428.78
17;Fab. pasta, papel, cartao e s. art.;2016;1439.41
17;Fab. pasta, papel, cartao e s. art.;2017;1454.26
17;Fab. pasta, papel, cartao e s. art.;2018;1459.39
17;Fab. pasta, papel, cartao e s. art.;2019;1499.59
17;Fab. pasta, papel, cartao e s. art.;2020;1537.92
17;Fab. pasta, papel, cartao e s. art.;2021;1575.64
17;Fab. pasta, papel, cartao e s. art.;2022;1618.78
17;Fab. pasta, papel, cartao e s. art.;2023;1724.92
17;Fab. pasta, papel, cartao e s. art.;2024;1845.69
18;Impressao e rep. sup. gravados;2014;1044.07
18;Impressao e rep. sup. gravados;2015;1042.89
18;Impressao e rep. sup. gravados;2016;1051.16
18;Impressao e rep. sup. gravados;2017;1075.64
18;Impressao e rep. sup. gravados;2018;1119.15
18;Impressao e rep. sup. gravados;2019;1155.67
18;Impressao e rep. sup. gravados;2020;1187.42
18;Impressao e rep. sup. gravados;2021;1226.81
18;Impressao e rep. sup. gravados;2022;1263.23
18;Impressao e rep. sup. gravados;2023;1341.82
18;Impressao e rep. sup. gravados;2024;1439
19;Fabr. coque, pr. petr. refinados;2014;3199.8
19;Fabr. coque, pr. petr. refinados;2015;3252.24
19;Fabr. coque, pr. petr. refinados;2016;3248.73
19;Fabr. coque, pr. petr. refinados;2017;3297.75
