size_band;gender;year;avg_monthly_earnings_eur
1-4 pessoas;masculino;2014;854.92
1-4 pessoas;masculino;2015;849.34
1-4 pessoas;masculino;2016;864.49
1-4 pessoas;masculino;2017;888.52
1-4 pessoas;masculino;2018;918.11
1-4 pessoas;masculino;2019;956.37
1-4 pessoas;masculino;2020;991
1-4 pessoas;masculino;2021;1032.23
1-4 pessoas;masculino;2022;1086.36
1-4 pessoas;masculino;2023;1170.48
1-4 pessoas;masculino;2024;1266.14
1-4 pessoas;feminino;2014;757.38
1-4 pessoas;feminino;2015;752.39
1-4 pessoas;feminino;2016;772.14
1-4 pessoas;feminino;2017;797.72
1-4 pessoas;feminino;2018;826.82
1-4 pessoas;feminino;2019;861.22
1-4 pessoas;feminino;2020;894.34
1-4 pessoas;feminino;2021;930.58
1-4 pessoas;feminino;2022;980
1-4 pessoas;feminino;2023;1064.69
1-4 pessoas;feminino;2024;1150.59
5-9 pessoas;masculino;2014;991.81
5-9 pessoas;masculino;2015;983.06
5-9 pessoas;masculino;2016;985.78
5-9 pessoas;masculino;2017;1001.49
5-9 pessoas;masculino;2018;1029.73
5-9 pessoas;masculino;2019;1054.73
5-9 pessoas;masculino;2020;1092.37
5-9 pessoas;masculino;2021;1128.8
5-9 pessoas;masculino;2022;1182.05
5-9 pessoas;masculino;2023;1262.93
5-9 pessoas;masculino;2024;1348.54
5-9 pessoas;feminino;2014;887.26
5-9 pessoas;feminino;2015;886.32
5-9 pessoas;feminino;2016;894.31
5-9 pessoas;feminino;2017;917.19
5-9 pessoas;feminino;2018;942.68
5-9 pessoas;feminino;2019;970.3
5-9 pessoas;feminino;2020;1008.46
5-9 pessoas;feminino;2021;1042.9
5-9 pessoas;feminino;2022;1089.54
5-9 pessoas;feminino;2023;1169.51
5-9 pessoas;feminino;2024;1253.14
10-19 pessoas;masculino;2014;1062.94
10-19 pessoas;masculino;2015;1060.06
10-19 pessoas;masculino;2016;1057.23
10-19 pessoas;masculino;2017;1078.66
10-19 pessoas;masculino;2018;1107.01
10-19 pessoas;masculino;2019;1136.01
10-19 pessoas;masculino;2020;1181.3
10-19 pessoas;masculino;2021;1216.09
10-19 pessoas;masculino;2022;1272.03
10-19 pessoas;masculino;2023;1353.43
10-19 pessoas;masculino;2024;1448.98
10-19 pessoas;feminino;2014;902.14
10-19 pessoas;feminino;2015;899.17
10-19 pessoas;feminino;2016;911.78
10-19 pessoas;feminino;2017;939.01
10-19 pessoas;feminino;2018;968.9
10-19 pessoas;feminino;2019;995.58
10-19 pessoas;feminino;2020;1042.68
10-19 pessoas;feminino;2021;1072.9
10-19 pessoas;feminino;2022;1126.32
10-19 pessoas;feminino;2023;1211.65
10-19 pessoas;feminino;2024;1299.99
20-49 pessoas;masculino;2014;1198.45
20-49 pessoas;masculino;2015;1189.81
20-49 pessoas;masculino;2016;1190.76
20-49 pessoas;masculino;2017;1204.67
20-49 pessoas;masculino;2018;1232.08
20-49 pessoas;masculino;2019;1271.34
20-49 pessoas;masculino;2020;1314.84
20-49 pessoas;masculino;2021;1357.16
20-49 pessoas;masculino;2022;1409.3
20-49 pessoas;masculino;2023;1509.6
