region;year;avg_monthly_earnings_eur
Norte;2014;967.2
Norte;2015;975.01
Norte;2016;986.93
Norte;2017;1015.58
Norte;2018;1056.6
Norte;2019;1100.44
Norte;2020;1145.23
Norte;2021;1187.19
Norte;2022;1253.46
Norte;2023;1348.66
Norte;2024;1474.68
Alto Minho;2014;881.13
Alto Minho;2015;895.53
Alto Minho;2016;899.57
Alto Minho;2017;950.1
Alto Minho;2018;978.08
Alto Minho;2019;1013.26
Alto Minho;2020;1057.21
Alto Minho;2021;1094.98
Alto Minho;2022;1154.34
Alto Minho;2023;1237.67
Alto Minho;2024;1340.14
Cavado;2014;896.26
Cavado;2015;899.93
Cavado;2016;913.42
Cavado;2017;948.41
Cavado;2018;988.7
Cavado;2019;1044.54
Cavado;2020;1088.49
Cavado;2021;1134.32
Cavado;2022;1183.08
Cavado;2023;1276.47
Cavado;2024;1403.34
Ave;2014;860.01
Ave;2015;866.17
Ave;2016;883.04
Ave;2017;916.3
Ave;2018;952.13
Ave;2019;984.13
Ave;2020;1030.34
Ave;2021;1080.78
Ave;2022;1132.33
Ave;2023;1215.13
Ave;2024;1321.75
Area Metropolitana do Porto;2014;1075.96
Area Metropolitana do Porto;2015;1084.73
Area Metropolitana do Porto;2016;1095.5
Area Metropolitana do Porto;2017;1118.23
Area Metropolitana do Porto;2018;1164.59
Area Metropolitana do Porto;2019;1208.13
Area Metropolitana do Porto;2020;1257.11
Area Metropolitana do Porto;2021;1301.06
Area Metropolitana do Porto;2022;1378.56
Area Metropolitana do Porto;2023;1480.08
Area Metropolitana do Porto;2024;1620.05
Alto Tamega e Barroso;2014;814.78
Alto Tamega e Barroso;2015;810.7
Alto Tamega e Barroso;2016;844.1
Alto Tamega e Barroso;2017;919.39
Alto Tamega e Barroso;2018;941.5
Alto Tamega e Barroso;2019;954.21
Alto Tamega e Barroso;2020;975.61
Alto Tamega e Barroso;2021;995.06
Alto Tamega e Barroso;2022;1043.37
Alto Tamega e Barroso;2023;1128.21
Alto Tamega e Barroso;2024;1207.05
Tamega e Sousa;2014;773.97
Tamega e Sousa;2015;781.94
Tamega e Sousa;2016;796.84
Tamega e Sousa;2017;821.23
Tamega e Sousa;2018;858.44
Tamega e Sousa;2019;898.09
Tamega e Sousa;2020;936.96
Tamega e Sousa;2021;980.68
Tamega e Sousa;2022;1026.13
Tamega e Sousa;2023;1107.17
Tamega e Sousa;2024;1210.7
Douro;2014;878.1
Douro;2015;887.03
Douro;2016;882.6
Douro;2017;899.6
Douro;2018;936.21
Douro;2019;971.09
Douro;2020;993.68
Douro;2021;1031.52
Douro;2022;1089.1
Douro;2023;1168.78
Douro;2024;1268.7
Terras de Tras-os-Montes;2014;834.9
Terras de Tras-os-Montes;2015;845.13
Terras de Tras-os-Montes;2016;868.28
Terras de Tras-os-Montes;2017;890.97
Terras de Tras-os-Montes;2018;918.08
Terras de Tras-os-Montes;2019;953.02
Terras de Tras-os-Montes;2020;988.17
Terras de Tras-os-Montes;2021;1021.88
Terras de Tras-os-Montes;2022;1066.68
Terras de Tras-os-Montes;2023;1149.46
Terras de Tras-os-Montes;2024;1267.63
Centro;2014;949.89
Centro;2015;956.66
Centro;2016;972.23
Centro;2017;1002.79
Centro;2018;1042.94
Centro;2019;1082.12
Centro;2020;1113.26
Centro;2021;1157.63
Centro;2022;1218.07
Centro;2023;1305.72
Centro;2024;1410.88
Regiao de Aveiro;2014;996.2
Regiao de Aveiro;2015;1007.63
Regiao de Aveiro;2016;1017.74
Regiao de Aveiro;2017;1047.92
Regiao de Aveiro;2018;1091.01
Regiao de Aveiro;2019;1133.26
Regiao de Aveiro;2020;1165.87
Regiao de Aveiro;2021;1209.91
Regiao de Aveiro;2022;1282.9
Regiao de Aveiro;2023;1382.49
Regiao de Aveiro;2024;1492.3
Regiao de Coimbra;2014;963.48
Regiao de Coimbra;2015;964.08
Regiao de Coimbra;2016;988.14
Regiao de Coimbra;2017;1015.53
Regiao de Coimbra;2018;1052.5
Regiao de Coimbra;2019;1093.15
Regiao de Coimbra;2020;1119.46
Regiao de Coimbra;2021;1167.6
Regiao de Coimbra;2022;1223.82
Regiao de Coimbra;2023;1319.21
Regiao de Coimbra;2024;1423.9
Regiao de Leiria;2014;988.89
Regiao de Leiria;2015;997.9
Regiao de Leiria;2016;1012.22
Regiao de Leiria;2017;1043.69
Regiao de Leiria;2018;1087.48
Regiao de Leiria;2019;1121.98
Regiao de Leiria;2020;1150.13
Regiao de Leiria;2021;1194.01
Regiao de Leiria;2022;1251.2
Regiao de Leiria;2023;1326.74
Regiao de Leiria;2024;1434.69
Viseu Dao Lafoes;2014;902.75
Viseu Dao Lafoes;2015;906.45
Viseu Dao Lafoes;2016;913.09
Viseu Dao Lafoes;2017;943.87
Viseu Dao Lafoes;2018;986.58
Viseu Dao Lafoes;2019;1025.08
Viseu Dao Lafoes;2020;1055.39
Viseu Dao Lafoes;2021;1099.74
Viseu Dao Lafoes;2022;1154.72
Viseu Dao Lafoes;2023;1239.62
Viseu Dao Lafoes;2024;1331.89
Beira Baixa;2014;861.23
Beira Baixa;2015;865.41
Beira Baixa;2016;884.32
Beira Baixa;2017;914.65
Beira Baixa;2018;943.51
Beira Baixa;2019;976.21
Beira Baixa;2020;1016.05
Beira Baixa;2021;1061.89
Beira Baixa;2022;1106.85
Beira Baixa;2023;1188.93
Beira Baixa;2024;1279.02
Beiras e Serra da Estrela;2014;837.86
Beiras e Serra da Estrela;2015;845.21
Beiras e Serra da Estrela;2016;863.35
Beiras e Serra da Estrela;2017;897.58
Beiras e Serra da Estrela;2018;934.82
Beiras e Serra da Estrela;2019;974.36
Beiras e Serra da Estrela;2020;1013.44
Beiras e Serra da Estrela;2021;1051.24
Beiras e Serra da Estrela;2022;1107.68
Beiras e Serra da Estrela;2023;1180.54
Beiras e Serra da Estrela;2024;1292.95
Oeste e Vale do Tejo;2014;941.8
Oeste e Vale do Tejo;2015;944.36
Oeste e Vale do Tejo;2016;955.71
Oeste e Vale do Tejo;2017;976.46
Oeste e Vale do Tejo;2018;1005.57
Oeste e Vale do Tejo;2019;1035.81
Oeste e Vale do Tejo;2020;1074.86
Oeste e Vale do Tejo;2021;1115.56
Oeste e Vale do Tejo;2022;1165.73
Oeste e Vale do Tejo;2023;1249.77
Oeste e Vale do Tejo;2024;1346.57
Oeste;2014;919.7
Oeste;2015;915.03
Oeste;2016;937.13
Oeste;2017;958.16
Oeste;2018;984.69
Oeste;2019;1019.34
Oeste;2020;1061.13
Oeste;2021;1106.76
Oeste;2022;1152.39
Oeste;2023;1237.75
Oeste;2024;1324.42
Medio Tejo;2014;952.34
Medio Tejo;2015;957.84
Medio Tejo;2016;964.48
Medio Tejo;2017;993.59
Medio Tejo;2018;1030.62
Medio Tejo;2019;1063.39
Medio Tejo;2020;1099.62
Medio Tejo;2021;1126.71
Medio Tejo;2022;1175.72
Medio Tejo;2023;1259.29
Medio Tejo;2024;1367.1
Leziria do Tejo;2014;966.16
Leziria do Tejo;2015;977.93
Leziria do Tejo;2016;976.74
Leziria do Tejo;2017;989.34
Leziria do Tejo;2018;1016
Leziria do Tejo;2019;1037.32
Leziria do Tejo;2020;1075.15
Leziria do Tejo;2021;1120.14
Leziria do Tejo;2022;1178.09
Leziria do Tejo;2023;1260.73
Leziria do Tejo;2024;1363.59
Grande Lisboa;2014;1421.25
Grande Lisboa;2015;1420.24
Grande Lisboa;2016;1424.28
Grande Lisboa;2017;1447.51
Grande Lisboa;2018;1480.76
Grande Lisboa;2019;1518.6
Grande Lisboa;2020;1558.34
Grande Lisboa;2021;1609.14
Grande Lisboa;2022;1705.14
Grande Lisboa;2023;1817.17
Grande Lisboa;2024;1935.68
Peninsula de Setubal;2014;1132.85
Peninsula de Setubal;2015;1148.9
Peninsula de Setubal;2016;1180.12
Peninsula de Setubal;2017;1199.66
Peninsula de Setubal;2018;1208.21
Peninsula de Setubal;2019;1239.43
Peninsula de Setubal;2020;1283.04
Peninsula de Setubal;2021;1296.72
Peninsula de Setubal;2022;1361.01
Peninsula de Setubal;2023;1433.11
Peninsula de Setubal;2024;1545.45
Alentejo;2014;1002.5
Alentejo;2015;1002.63
Alentejo;2016;1008.46
Alentejo;2017;1030.52
