age_group;gender;year;avg_monthly_earnings_eur
menos - 18 anos;masculino;2014;837.34
menos - 18 anos;masculino;2015;767.94
menos - 18 anos;masculino;2016;814.54
menos - 18 anos;masculino;2017;805.1
menos - 18 anos;masculino;2018;813.3
menos - 18 anos;masculino;2019;1105.51
menos - 18 anos;masculino;2020;1339.07
menos - 18 anos;masculino;2021;1291.68
menos - 18 anos;masculino;2022;1255.19
menos - 18 anos;masculino;2023;1290.02
menos - 18 anos;masculino;2024;1544.65
menos - 18 anos;feminino;2014;590.63
menos - 18 anos;feminino;2015;590.92
menos - 18 anos;feminino;2016;620.16
menos - 18 anos;feminino;2017;647.81
menos - 18 anos;feminino;2018;696.86
menos - 18 anos;feminino;2019;782.86
menos - 18 anos;feminino;2020;744.24
menos - 18 anos;feminino;2021;762.78
menos - 18 anos;feminino;2022;833.07
menos - 18 anos;feminino;2023;912.59
menos - 18 anos;feminino;2024;1023.65
18 - 24 anos;masculino;2014;752.86
18 - 24 anos;masculino;2015;768.96
18 - 24 anos;masculino;2016;785.59
18 - 24 anos;masculino;2017;818.25
18 - 24 anos;masculino;2018;858.87
18 - 24 anos;masculino;2019;904.02
18 - 24 anos;masculino;2020;939.89
18 - 24 anos;masculino;2021;975.75
18 - 24 anos;masculino;2022;1047.2
18 - 24 anos;masculino;2023;1135
18 - 24 anos;masculino;2024;1230.2
18 - 24 anos;feminino;2014;675
18 - 24 anos;feminino;2015;688.01
18 - 24 anos;feminino;2016;711.72
18 - 24 anos;feminino;2017;749.37
18 - 24 anos;feminino;2018;786.48
18 - 24 anos;feminino;2019;827.95
18 - 24 anos;feminino;2020;870.5
18 - 24 anos;feminino;2021;912.9
18 - 24 anos;feminino;2022;974.41
18 - 24 anos;feminino;2023;1053.73
18 - 24 anos;feminino;2024;1137.02
25 - 29 anos;masculino;2014;901.55
25 - 29 anos;masculino;2015;917.1
25 - 29 anos;masculino;2016;938.4
25 - 29 anos;masculino;2017;982.93
25 - 29 anos;masculino;2018;1028.62
25 - 29 anos;masculino;2019;1078.16
25 - 29 anos;masculino;2020;1116.2
25 - 29 anos;masculino;2021;1172.81
25 - 29 anos;masculino;2022;1256.52
25 - 29 anos;masculino;2023;1332.6
25 - 29 anos;masculino;2024;1430.17
25 - 29 anos;feminino;2014;819.39
25 - 29 anos;feminino;2015;821.71
25 - 29 anos;feminino;2016;843.24
25 - 29 anos;feminino;2017;882.47
25 - 29 anos;feminino;2018;924.75
25 - 29 anos;feminino;2019;976.53
25 - 29 anos;feminino;2020;1025.45
25 - 29 anos;feminino;2021;1071.6
25 - 29 anos;feminino;2022;1146.39
25 - 29 anos;feminino;2023;1232.01
25 - 29 anos;feminino;2024;1326.75
30 - 34 anos;masculino;2014;1036.99
30 - 34 anos;masculino;2015;1043.91
30 - 34 anos;masculino;2016;1054.63
30 - 34 anos;masculino;2017;1089.1
30 - 34 anos;masculino;2018;1145.51
30 - 34 anos;masculino;2019;1199.16
30 - 34 anos;masculino;2020;1236.27
30 - 34 anos;masculino;2021;1297
30 - 34 anos;masculino;2022;1382.69
30 - 34 anos;masculino;2023;1478.18
