qualification_level;gender;year;avg_monthly_earnings_foreign_eur
Quadros superiores;masculino;2014;3866.97
Quadros superiores;masculino;2015;3856.89
Quadros superiores;masculino;2016;3906.05
Quadros superiores;masculino;2017;4166.64
Quadros superiores;masculino;2018;3908.08
Quadros superiores;masculino;2019;3615.05
Quadros superiores;masculino;2020;3637.73
Quadros superiores;masculino;2021;3559.54
Quadros superiores;masculino;2022;3688.44
Quadros superiores;masculino;2023;3980.55
Quadros superiores;masculino;2024;4178.83
Quadros superiores;feminino;2014;2290.71
Quadros superiores;feminino;2015;2296.2
Quadros superiores;feminino;2016;2328.95
Quadros superiores;feminino;2017;2471.65
Quadros superiores;feminino;2018;2471.22
Quadros superiores;feminino;2019;2435.56
Quadros superiores;feminino;2020;2493.82
Quadros superiores;feminino;2021;2455.53
Quadros superiores;feminino;2022;2743.19
Quadros superiores;feminino;2023;2962.51
Quadros superiores;feminino;2024;3159.42
Quadros medios;masculino;2014;1890.58
Quadros medios;masculino;2015;1910.73
Quadros medios;masculino;2016;1932.86
Quadros medios;masculino;2017;2069.64
Quadros medios;masculino;2018;1951.4
Quadros medios;masculino;2019;2003.5
Quadros medios;masculino;2020;2190.79
Quadros medios;masculino;2021;2141.72
Quadros medios;masculino;2022;2387.74
Quadros medios;masculino;2023;2546.37
Quadros medios;masculino;2024;2598.15
Quadros medios;feminino;2014;1477.98
Quadros medios;feminino;2015;1503.64
Quadros medios;feminino;2016;1568.18
Quadros medios;feminino;2017;1615.8
Quadros medios;feminino;2018;1691.82
Quadros medios;feminino;2019;1702.6
Quadros medios;feminino;2020;1816.78
Quadros medios;feminino;2021;1822.16
Quadros medios;feminino;2022;2017.01
Quadros medios;feminino;2023;2186.04
Quadros medios;feminino;2024;2208.03
Encar. contram. mest.e chefes;masculino;2014;1679.42
Encar. contram. mest.e chefes;masculino;2015;1691.27
Encar. contram. mest.e chefes;masculino;2016;1778.54
Encar. contram. mest.e chefes;masculino;2017;1826.04
Encar. contram. mest.e chefes;masculino;2018;1857.2
Encar. contram. mest.e chefes;masculino;2019;1926.35
Encar. contram. mest.e chefes;masculino;2020;2038.79
Encar. contram. mest.e chefes;masculino;2021;2123.67
Encar. contram. mest.e chefes;masculino;2022;2192.8
Encar. contram. mest.e chefes;masculino;2023;2316.05
Encar. contram. mest.e chefes;masculino;2024;2363.9
Encar. contram. mest.e chefes;feminino;2014;1418.38
Encar. contram. mest.e chefes;feminino;2015;1432.42
Encar. contram. mest.e chefes;feminino;2016;1488.96
Encar. contram. mest.e chefes;feminino;2017;1551.77
Encar. contram. mest.e chefes;feminino;2018;1600.4
Encar. contram. mest.e chefes;feminino;2019;1693.64
Encar. contram. mest.e chefes;feminino;2020;1784.88
Encar. contram. mest.e chefes;feminino;2021;1910.41
Encar. contram. mest.e chefes;feminino;2022;1936.13
Encar. contram. mest.e chefes;feminino;2023;2017.33
Encar. contram. mest.e chefes;feminino;2024;2212.02
Profissionais altam. qualificados;masculino;2014;3384.11
Profissionais altam. qualificados;masculino;2015;4377.63
Profissionais altam. qualificados;masculino;2016;4608.54
