qualification_level;gender;year;avg_monthly_earnings_eur
Quadros superiores;masculino;2014;2704.73
Quadros superiores;masculino;2015;2709.33
Quadros superiores;masculino;2016;2707.71
Quadros superiores;masculino;2017;2735.76
Quadros superiores;masculino;2018;2778.56
Quadros superiores;masculino;2019;2793.19
Quadros superiores;masculino;2020;2791.22
Quadros superiores;masculino;2021;2823.58
Quadros superiores;masculino;2022;2978.02
Quadros superiores;masculino;2023;3162.63
Quadros superiores;masculino;2024;3378.31
Quadros superiores;feminino;2014;1951.13
Quadros superiores;feminino;2015;1954.51
Quadros superiores;feminino;2016;1958.78
Quadros superiores;feminino;2017;1980.48
Quadros superiores;feminino;2018;2020.57
Quadros superiores;feminino;2019;2054.39
Quadros superiores;feminino;2020;2088.97
Quadros superiores;feminino;2021;2122.55
Quadros superiores;feminino;2022;2217.06
Quadros superiores;feminino;2023;2323.69
Quadros superiores;feminino;2024;2523.38
Quadros medios;masculino;2014;1850.06
Quadros medios;masculino;2015;1856.52
Quadros medios;masculino;2016;1851.23
Quadros medios;masculino;2017;1864.79
Quadros medios;masculino;2018;1897.44
Quadros medios;masculino;2019;1917.32
Quadros medios;masculino;2020;1927.3
Quadros medios;masculino;2021;1953.25
Quadros medios;masculino;2022;2087.28
Quadros medios;masculino;2023;2243.95
Quadros medios;masculino;2024;2362.99
Quadros medios;feminino;2014;1523.64
Quadros medios;feminino;2015;1532.07
Quadros medios;feminino;2016;1542.53
Quadros medios;feminino;2017;1559.89
Quadros medios;feminino;2018;1596.09
Quadros medios;feminino;2019;1621.86
Quadros medios;feminino;2020;1631.51
Quadros medios;feminino;2021;1651.81
Quadros medios;feminino;2022;1745.69
Quadros medios;feminino;2023;1876.78
Quadros medios;feminino;2024;1974.13
Encar. contram. mest.e chefes;masculino;2014;1582.61
Encar. contram. mest.e chefes;masculino;2015;1597.88
Encar. contram. mest.e chefes;masculino;2016;1631.39
Encar. contram. mest.e chefes;masculino;2017;1660.87
Encar. contram. mest.e chefes;masculino;2018;1699.76
Encar. contram. mest.e chefes;masculino;2019;1753.78
Encar. contram. mest.e chefes;masculino;2020;1799.22
Encar. contram. mest.e chefes;masculino;2021;1852.51
Encar. contram. mest.e chefes;masculino;2022;1948.92
Encar. contram. mest.e chefes;masculino;2023;2066.95
Encar. contram. mest.e chefes;masculino;2024;2221.78
Encar. contram. mest.e chefes;feminino;2014;1422.69
Encar. contram. mest.e chefes;feminino;2015;1433.86
Encar. contram. mest.e chefes;feminino;2016;1461.62
Encar. contram. mest.e chefes;feminino;2017;1504.83
Encar. contram. mest.e chefes;feminino;2018;1522.83
Encar. contram. mest.e chefes;feminino;2019;1577.75
Encar. contram. mest.e chefes;feminino;2020;1616.78
Encar. contram. mest.e chefes;feminino;2021;1667.24
Encar. contram. mest.e chefes;feminino;2022;1762.74
Encar. contram. mest.e chefes;feminino;2023;1874.53
Encar. contram. mest.e chefes;feminino;2024;2059.32
Profissionais altam. qualificados;masculino;2014;1548.14
Profissionais altam. qualificados;masculino;2015;1572.9
Profissionais altam. qualificados;masculino;2016;1572.6
Profissionais altam. qualificados;masculino;2017;1584.64
Profissionais altam. qualificados;masculino;2018;1610.47
Profissionais altam. qualificados;masculino;2019;1589.57
Profissionais altam. qualificados;masculino;2020;1610.33
Profissionais altam. qualificados;masculino;2021;1629.33
Profissionais altam. qualificados;masculino;2022;1696.32
Profissionais altam. qualificados;masculino;2023;1817.72
Profissionais altam. qualificados;masculino;2024;1932.22
Profissionais altam. qualificados;feminino;2014;1257.99
Profissionais altam. qualificados;feminino;2015;1254.35
Profissionais altam. qualificados;feminino;2016;1239
Profissionais altam. qualificados;feminino;2017;1248.88
Profissionais altam. qualificados;feminino;2018;1273.29
Profissionais altam. qualificados;feminino;2019;1273.38
Profissionais altam. qualificados;feminino;2020;1284.77
Profissionais altam. qualificados;feminino;2021;1299.05
Profissionais altam. qualificados;feminino;2022;1355.27
Profissionais altam. qualificados;feminino;2023;1471.6
Profissionais altam. qualificados;feminino;2024;1570.29
Profissionais qualificados;masculino;2014;942.04
Profissionais qualificados;masculino;2015;952.22
Profissionais qualificados;masculino;2016;959.35
Profissionais qualificados;masculino;2017;967.68
Profissionais qualificados;masculino;2018;999.9
Profissionais qualificados;masculino;2019;1049.64
Profissionais qualificados;masculino;2020;1076.96
Profissionais qualificados;masculino;2021;1111.47
Profissionais qualificados;masculino;2022;1170.18
Profissionais qualificados;masculino;2023;1254.57
Profissionais qualificados;masculino;2024;1354.16
Profissionais qualificados;feminino;2014;809.38
Profissionais qualificados;feminino;2015;808.86
Profissionais qualificados;feminino;2016;817.35
Profissionais qualificados;feminino;2017;826.04
Profissionais qualificados;feminino;2018;852.62
Profissionais qualificados;feminino;2019;904.67
Profissionais qualificados;feminino;2020;938.34
Profissionais qualificados;feminino;2021;966.28
Profissionais qualificados;feminino;2022;1025
Profissionais qualificados;feminino;2023;1105.16
Profissionais qualificados;feminino;2024;1207.91
Profissionais semi-qualificados;masculino;2014;796.15
Profissionais semi-qualificados;masculino;2015;780.11
Profissionais semi-qualificados;masculino;2016;793.47
Profissionais semi-qualificados;masculino;2017;841.11
Profissionais semi-qualificados;masculino;2018;876.25
Profissionais semi-qualificados;masculino;2019;915.74
Profissionais semi-qualificados;masculino;2020;944.01
Profissionais semi-qualificados;masculino;2021;987.75
Profissionais semi-qualificados;masculino;2022;1039.5
Profissionais semi-qualificados;masculino;2023;1097.93
Profissionais semi-qualificados;masculino;2024;1171.34
Profissionais semi-qualificados;feminino;2014;665.11
Profissionais semi-qualificados;feminino;2015;668.41
Profissionais semi-qualificados;feminino;2016;684.5
Profissionais semi-qualificados;feminino;2017;720.6
Profissionais semi-qualificados;feminino;2018;748.16
Profissionais semi-qualificados;feminino;2019;783.48
Profissionais semi-qualificados;feminino;2020;815.2
Profissionais semi-qualificados;feminino;2021;852.28
Profissionais semi-qualificados;feminino;2022;901.44
Profissionais semi-qualificados;feminino;2023;969.55
Profissionais semi-qualificados;feminino;2024;1045.28
Profissionais nao qualificados;masculino;2014;718.39
Profissionais nao qualificados;masculino;2015;725.24
Profissionais nao qualificados;masculino;2016;734.37
Profissionais nao qualificados;masculino;2017;760.16
Profissionais nao qualificados;masculino;2018;788.9
Profissionais nao qualificados;masculino;2019;809.64
Profissionais nao qualificados;masculino;2020;841.62
Profissionais nao qualificados;masculino;2021;875.97
Profissionais nao qualificados;masculino;2022;916.09
Profissionais nao qualificados;masculino;2023;985.99
Profissionais nao qualificados;masculino;2024;1059.84
Profissionais nao qualificados;feminino;2014;613.38
Profissionais nao qualificados;feminino;2015;617.4
Profissionais nao qualificados;feminino;2016;638.89
Profissionais nao qualificados;feminino;2017;670.42
Profissionais nao qualificados;feminino;2018;697.79
Profissionais nao qualificados;feminino;2019;722.65
Profissionais nao qualificados;feminino;2020;757.86
Profissionais nao qualificados;feminino;2021;791.4
Profissionais nao qualificados;feminino;2022;837.38
Profissionais nao qualificados;feminino;2023;902.36
Profissionais nao qualificados;feminino;2024;974.64
Praticantes e aprendizes;masculino;2014;692.79
Praticantes e aprendizes;masculino;2015;693.71
Praticantes e aprendizes;masculino;2016;705.06
Praticantes e aprendizes;masculino;2017;741.7
Praticantes e aprendizes;masculino;2018;776.13
Praticantes e aprendizes;masculino;2019;806.73
Praticantes e aprendizes;masculino;2020;837.55
Praticantes e aprendizes;masculino;2021;872.98
Praticantes e aprendizes;masculino;2022;921.18
Praticantes e aprendizes;masculino;2023;997.54
Praticantes e aprendizes;masculino;2024;1064.74
Praticantes e aprendizes;feminino;2014;639.35
Praticantes e aprendizes;feminino;2015;638.33
Praticantes e aprendizes;feminino;2016;657.48
Praticantes e aprendizes;feminino;2017;691.32
Praticantes e aprendizes;feminino;2018;726.2
Praticantes e aprendizes;feminino;2019;758.26
Praticantes e aprendizes;feminino;2020;786.47
Praticantes e aprendizes;feminino;2021;825
Praticantes e aprendizes;feminino;2022;875.73
Praticantes e aprendizes;feminino;2023;951.06
Praticantes e aprendizes;feminino;2024;1024.37
