profession_code;profession_description;year;avg_monthly_earnings_foreign_eur
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2014;3314.18
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2015;3165.25
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2016;3269.76
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2017;3475.86
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2018;3451.26
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2019;3467.75
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2020;3809.38
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2021;3973.37
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2022;4155.03
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2023;4422.09
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2024;4558.81
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2014;4864.8
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2015;4405.59
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2016;4817.35
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2017;5546.3
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2018;5336.28
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2019;5650.1
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2020;6009.58
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2021;5973.79
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2022;6252.19
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2023;6726.55
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2024;6553.21
12;Diret.de serv.adm. e comerciais;2014;3939.43
12;Diret.de serv.adm. e comerciais;2015;3799.16
12;Diret.de serv.adm. e comerciais;2016;4018.13
12;Diret.de serv.adm. e comerciais;2017;4098.24
12;Diret.de serv.adm. e comerciais;2018;3916.31
12;Diret.de serv.adm. e comerciais;2019;3828.1
12;Diret.de serv.adm. e comerciais;2020;4013.88
12;Diret.de serv.adm. e comerciais;2021;4260.83
12;Diret.de serv.adm. e comerciais;2022;4568.37
12;Diret.de serv.adm. e comerciais;2023;5002.57
12;Diret.de serv.adm. e comerciais;2024;5065.52
13;Diret.de prod.e de servicos espec.;2014;3653.25
13;Diret.de prod.e de servicos espec.;2015;3642.61
13;Diret.de prod.e de servicos espec.;2016;3561.65
13;Diret.de prod.e de servicos espec.;2017;3647.86
