profession_code;profession_description;year;avg_monthly_earnings_eur
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2014;2418.46
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2015;2441.31
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2016;2466.96
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2017;2498.72
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2018;2561.62
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2019;2612.42
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2020;2704.83
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2021;2777.23
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2022;2899.85
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2023;3072.68
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2024;3295.85
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2014;3059.75
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2015;3074.17
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2016;3068.39
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2017;3238.49
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2018;3288.84
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2019;3413.24
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2020;3508.48
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2021;3576.95
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2022;3682.38
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2023;3923.82
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2024;4213.63
12;Diret.de serv.adm. e comerciais;2014;2844.74
12;Diret.de serv.adm. e comerciais;2015;2852.35
12;Diret.de serv.adm. e comerciais;2016;2868.82
12;Diret.de serv.adm. e comerciais;2017;2868.86
12;Diret.de serv.adm. e comerciais;2018;2962.65
12;Diret.de serv.adm. e comerciais;2019;2956.76
12;Diret.de serv.adm. e comerciais;2020;3036.88
12;Diret.de serv.adm. e comerciais;2021;3091.33
12;Diret.de serv.adm. e comerciais;2022;3246.33
12;Diret.de serv.adm. e comerciais;2023;3415.29
12;Diret.de serv.adm. e comerciais;2024;3637.96
13;Diret.de prod.e de servicos espec.;2014;2531.47
13;Diret.de prod.e de servicos espec.;2015;2564.47
13;Diret.de prod.e de servicos espec.;2016;2541.47
13;Diret.de prod.e de servicos espec.;2017;2572.62
13;Diret.de prod.e de servicos espec.;2018;2639.73
13;Diret.de prod.e de servicos espec.;2019;2675.28
13;Diret.de prod.e de servicos espec.;2020;2773.66
13;Diret.de prod.e de servicos espec.;2021;2825.63
13;Diret.de prod.e de servicos espec.;2022;2986.06
13;Diret.de prod.e de servicos espec.;2023;3169.85
13;Diret.de prod.e de servicos espec.;2024;3369.82
14;Diret.de hot.,restaur.e de out.servicos;2014;1464.34
14;Diret.de hot.,restaur.e de out.servicos;2015;1498.59
14;Diret.de hot.,restaur.e de out.servicos;2016;1577.36
14;Diret.de hot.,restaur.e de out.servicos;2017;1540.96
14;Diret.de hot.,restaur.e de out.servicos;2018;1573.52
14;Diret.de hot.,restaur.e de out.servicos;2019;1688.61
14;Diret.de hot.,restaur.e de out.servicos;2020;1728.78
14;Diret.de hot.,restaur.e de out.servicos;2021;1828.52
14;Diret.de hot.,restaur.e de out.servicos;2022;1905.05
14;Diret.de hot.,restaur.e de out.servicos;2023;2068.64
14;Diret.de hot.,restaur.e de out.servicos;2024;2246.71
2;Especial.das ativ.intelet.e cientif.;2014;1783.54
2;Especial.das ativ.intelet.e cientif.;2015;1779.9
2;Especial.das ativ.intelet.e cientif.;2016;1787.99
2;Especial.das ativ.intelet.e cientif.;2017;1813.14
2;Especial.das ativ.intelet.e cientif.;2018;1857.37
2;Especial.das ativ.intelet.e cientif.;2019;1899.12
2;Especial.das ativ.intelet.e cientif.;2020;1934.48
2;Especial.das ativ.intelet.e cientif.;2021;1994.66
2;Especial.das ativ.intelet.e cientif.;2022;2097.65
2;Especial.das ativ.intelet.e cientif.;2023;2222.79
2;Especial.das ativ.intelet.e cientif.;2024;2400.04
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2014;1913.27
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2015;1890.99
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2016;1880.91
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2017;1846.26
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2018;1885.98
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2019;1937.26
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2020;1973.95
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2021;2018.53
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2022;2130.75
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2023;2265.13
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2024;2423.54
22;Profissionais de saude;2014;1643.21
22;Profissionais de saude;2015;1656.32
22;Profissionais de saude;2016;1682.63
22;Profissionais de saude;2017;1703.88
22;Profissionais de saude;2018;1767.87
22;Profissionais de saude;2019;1797.9
22;Profissionais de saude;2020;1815.11
22;Profissionais de saude;2021;1869.32
22;Profissionais de saude;2022;1907.31
22;Profissionais de saude;2023;1949.99
22;Profissionais de saude;2024;2258.16
23;Professores;2014;1524.07
23;Professores;2015;1531.34
23;Professores;2016;1530.8
23;Professores;2017;1551.61
23;Professores;2018;1584.38
23;Professores;2019;1610.48
23;Professores;2020;1648.81
23;Professores;2021;1684.89
23;Professores;2022;1750.44
23;Professores;2023;1870.18
23;Professores;2024;1969.81
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2014;1924.53
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2015;1926.63
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2016;1932.38
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2017;2016.88
24;Espec. financas,contab., organizacao adm., relacoes publicas e comerciais;2018;2034.37
