qualification_level;year;avg_base_wage_eur
<1.o ciclo do ensino basico;2014;583.58
<1.o ciclo do ensino basico;2015;592.89
<1.o ciclo do ensino basico;2016;608.31
<1.o ciclo do ensino basico;2017;622.05
<1.o ciclo do ensino basico;2018;647.99
<1.o ciclo do ensino basico;2019;668.91
<1.o ciclo do ensino basico;2020;696.57
<1.o ciclo do ensino basico;2021;726.29
<1.o ciclo do ensino basico;2022;766.17
<1.o ciclo do ensino basico;2023;821.44
<1.o ciclo do ensino basico;2024;880.14
Ensino basico;2014;681.33
Ensino basico;2015;685.64
Ensino basico;2016;696.14
Ensino basico;2017;714.43
Ensino basico;2018;738.36
Ensino basico;2019;763.83
Ensino basico;2020;791.06
Ensino basico;2021;822.51
Ensino basico;2022;866.98
Ensino basico;2023;927.83
Ensino basico;2024;995.25
Ensino secundario + pos sec. nao superior nivel IV;2014;881.23
Ensino secundario + pos sec. nao superior nivel IV;2015;873.9
Ensino secundario + pos sec. nao superior nivel IV;2016;872.76
Ensino secundario + pos sec. nao superior nivel IV;2017;878.03
Ensino secundario + pos sec. nao superior nivel IV;2018;891.3
Ensino secundario + pos sec. nao superior nivel IV;2019;910.03
Ensino secundario + pos sec. nao superior nivel IV;2020;929.85
Ensino secundario + pos sec. nao superior nivel IV;2021;955.65
Ensino secundario + pos sec. nao superior nivel IV;2022;997.48
Ensino secundario + pos sec. nao superior nivel IV;2023;1057.23
Ensino secundario + pos sec. nao superior nivel IV;2024;1120.89
Ensino superior (2);2014;1566.87
Ensino superior (2);2015;1550.64
Ensino superior (2);2016;1550.37
Ensino superior (2);2017;1551.97
Ensino superior (2);2018;1571.08
Ensino superior (2);2019;1604.7
Ensino superior (2);2020;1637.25
Ensino superior (2);2021;1680.39
Ensino superior (2);2022;1767.51
Ensino superior (2);2023;1870.81
Ensino superior (2);2024;1990.45
Ignorado;2014;900.34
Ignorado;2015;824.37
Ignorado;2016;895.27
Ignorado;2017;954.09
Ignorado;2018;942.93
Ignorado;2019;929.22
Ignorado;2020;967.95
Ignorado;2021;1031
Ignorado;2022;1083.75
Ignorado;2023;1071.4
Ignorado;2024;1120.2
