qualification_level;year;median_base_wage_eur
<1.o ciclo do ensino basico;2014;519.3
<1.o ciclo do ensino basico;2015;525.99
<1.o ciclo do ensino basico;2016;540
<1.o ciclo do ensino basico;2017;560
<1.o ciclo do ensino basico;2018;585
<1.o ciclo do ensino basico;2019;607
<1.o ciclo do ensino basico;2020;635
<1.o ciclo do ensino basico;2021;666
<1.o ciclo do ensino basico;2022;705
<1.o ciclo do ensino basico;2023;764
<1.o ciclo do ensino basico;2024;820
Ensino basico;2014;569.73
Ensino basico;2015;573
Ensino basico;2016;580
Ensino basico;2017;600
Ensino basico;2018;620
Ensino basico;2019;642
Ensino basico;2020;667.22
Ensino basico;2021;700
Ensino basico;2022;746
Ensino basico;2023;800
Ensino basico;2024;870
Ensino secundario + pos sec. nao superior nivel IV;2014;666.41
Ensino secundario + pos sec. nao superior nivel IV;2015;651.56
Ensino secundario + pos sec. nao superior nivel IV;2016;651.56
Ensino secundario + pos sec. nao superior nivel IV;2017;658.97
Ensino secundario + pos sec. nao superior nivel IV;2018;680
Ensino secundario + pos sec. nao superior nivel IV;2019;700
Ensino secundario + pos sec. nao superior nivel IV;2020;720
Ensino secundario + pos sec. nao superior nivel IV;2021;750
Ensino secundario + pos sec. nao superior nivel IV;2022;798.57
Ensino secundario + pos sec. nao superior nivel IV;2023;850
Ensino secundario + pos sec. nao superior nivel IV;2024;903.8
Ensino superior (2);2014;1200
Ensino superior (2);2015;1201
Ensino superior (2);2016;1201
Ensino superior (2);2017;1201
Ensino superior (2);2018;1201
Ensino superior (2);2019;1235
Ensino superior (2);2020;1260.32
Ensino superior (2);2021;1300
Ensino superior (2);2022;1376
Ensino superior (2);2023;1452.5
Ensino superior (2);2024;1544
Ignorado;2014;600
Ignorado;2015;550
Ignorado;2016;560
Ignorado;2017;591.55
Ignorado;2018;600
Ignorado;2019;615
Ignorado;2020;647.57
Ignorado;2021;700
Ignorado;2022;750
Ignorado;2023;775
Ignorado;2024;830
