qualification_level;year;avg_earnings_eur
<1.o ciclo do ensino basico;2014;685.6
<1.o ciclo do ensino basico;2015;700.54
<1.o ciclo do ensino basico;2016;711.01
<1.o ciclo do ensino basico;2017;730.56
<1.o ciclo do ensino basico;2018;767.66
<1.o ciclo do ensino basico;2019;789.07
<1.o ciclo do ensino basico;2020;817.39
<1.o ciclo do ensino basico;2021;849.53
<1.o ciclo do ensino basico;2022;892.87
<1.o ciclo do ensino basico;2023;968.17
<1.o ciclo do ensino basico;2024;1032.94
Ensino basico;2014;821.84
Ensino basico;2015;826.46
Ensino basico;2016;838.61
Ensino basico;2017;863.74
Ensino basico;2018;895.35
Ensino basico;2019;926.56
Ensino basico;2020;955.61
Ensino basico;2021;990.55
Ensino basico;2022;1044.03
Ensino basico;2023;1122.23
Ensino basico;2024;1209.62
Ensino secundario + pos sec. nao superior nivel IV;2014;1086.31
Ensino secundario + pos sec. nao superior nivel IV;2015;1072.77
Ensino secundario + pos sec. nao superior nivel IV;2016;1068.65
Ensino secundario + pos sec. nao superior nivel IV;2017;1078.59
Ensino secundario + pos sec. nao superior nivel IV;2018;1097.03
Ensino secundario + pos sec. nao superior nivel IV;2019;1117.38
Ensino secundario + pos sec. nao superior nivel IV;2020;1138.63
Ensino secundario + pos sec. nao superior nivel IV;2021;1163.52
Ensino secundario + pos sec. nao superior nivel IV;2022;1217.57
Ensino secundario + pos sec. nao superior nivel IV;2023;1297.59
Ensino secundario + pos sec. nao superior nivel IV;2024;1382.39
Ensino superior (2);2014;1841.04
Ensino superior (2);2015;1820.24
Ensino superior (2);2016;1815.28
Ensino superior (2);2017;1823.4
Ensino superior (2);2018;1854.84
Ensino superior (2);2019;1889.56
Ensino superior (2);2020;1926.07
Ensino superior (2);2021;1969.18
Ensino superior (2);2022;2072.86
Ensino superior (2);2023;2204.65
Ensino superior (2);2024;2363.21
Ignorado;2014;1036.97
Ignorado;2015;946.93
Ignorado;2016;1022.25
Ignorado;2017;1089.48
Ignorado;2018;1112.81
Ignorado;2019;1085.9
Ignorado;2020;1145.42
Ignorado;2021;1210.72
Ignorado;2022;1293.64
Ignorado;2023;1260.92
Ignorado;2024;1331.59
